id,type,name
2023-03-31T18:00:00,Entity,2023-03-31T18:00:00
ArrangementsModule,Entity,ArrangementsModule
owl#Ontology,Entity,owl#Ontology
Financial Industry Business Ontology (FIBO) Foundations (FND) Arrangements Module,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Arrangements Module
Module,Entity,Module
This is the metadata ontology used to describe the Foundations Arrangements Module.,Entity,This is the metadata ontology used to describe the Foundations Arrangements Module.
FIBO FND Arrangements Module,Entity,FIBO FND Arrangements Module
arrangements module,Entity,arrangements module
"This module contains ontologies that define abstract concepts, structures and schemata, such as identifiers and identification schemes, indices and indexing schemes, codes and coding schemes, and classification strategies.",Entity,"This module contains ontologies that define abstract concepts, structures and schemata, such as identifiers and identification schemes, indices and indexing schemes, codes and coding schemes, and classification strategies."
MIT,Entity,MIT
"Copyright (c) 2017-2023 EDM Council, Inc.",Entity,"Copyright (c) 2017-2023 EDM Council, Inc."
2021-03-29T18:00:00,Entity,2021-03-29T18:00:00
owl#NamedIndividual,Entity,owl#NamedIndividual
"Copyright (c) 2017-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2017-2023 Object Management Group, Inc."
,Entity,
Metadata for the EDMC-FIBO Foundations (FND) Arrangements Module,Entity,Metadata for the EDMC-FIBO Foundations (FND) Arrangements Module
