source_id,target_id,relationship
DatesAndTimesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
DatesAndTimesModule,,hasPart
,,owl#imports
,MIT,license
DatesAndTimesModule,Module,22-rdf-syntax-ns#type
,2018-08-27T18:00:00,issued
DatesAndTimesModule,FIBO FND Dates and Times Module,title
,,owl#versionIRI
DatesAndTimesModule,,rdf-schema#seeAlso
DatesAndTimesModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Dates and Times Module,title
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
DatesAndTimesModule,dates and times module,rdf-schema#label
DatesAndTimesModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,owl#Ontology,22-rdf-syntax-ns#type
DatesAndTimesModule,MIT,license
,Metadata for the EDMC-FIBO Foundations (FND) Dates and Times Module,rdf-schema#label
DatesAndTimesModule,"This module includes ontologies describing date and time concepts which are of specific reference in financial services. These cover foundational date and time concepts in a form usable for financial subject matter ontologies, including occurrences and conventions for business days and the like. Business day conventions may be further extended in specialized ontologies for securities and derivatives.",abstract
,2023-01-20T18:00:00,modified
DatesAndTimesModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
,This is the metadata ontology used to describe the Foundations Dates and Times Module.,abstract
