source_id,target_id,relationship
GoalsAndObjectivesModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Goals and Objectives Module,title
,This is the metadata ontology used to describe the Foundations Goals and Objectives Module.,abstract
,Metadata for the EDMC-FIBO Foundations (FND) Goals and Objectives Module,rdf-schema#label
,2020-12-28T18:00:00,issued
,,owl#imports
GoalsAndObjectivesModule,Module,22-rdf-syntax-ns#type
GoalsAndObjectivesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
GoalsAndObjectivesModule,"This module includes ontologies for goals and objectives which may be pursued by people or organizations. Goals form the basis for the definition of an organization, and objectives and related concepts are required for describing business plans.",abstract
,MIT,license
GoalsAndObjectivesModule,goals and objectives module,rdf-schema#label
GoalsAndObjectivesModule,MIT,license
GoalsAndObjectivesModule,,rdf-schema#seeAlso
,,owl#versionIRI
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,owl#Ontology,22-rdf-syntax-ns#type
GoalsAndObjectivesModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,2023-01-20T18:00:00,modified
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
GoalsAndObjectivesModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
GoalsAndObjectivesModule,,hasPart
GoalsAndObjectivesModule,FIBO FND Goals and Objectives Module,title
