source_id,target_id,relationship
PartiesModule,"Copyright (c) 2017-2024 EDM Council, Inc.",copyright
,,owl#imports
,Metadata for the EDMC-FIBO Foundations (FND) Parties Module,rdf-schema#label
,MIT,license
,2018-08-27T18:00:00,issued
PartiesModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Parties Module,title
,2024-11-14T18:00:00,modified
,,owl#versionIRI
PartiesModule,The parties module extends the Commons Parties and Situations ontology with identifiers for party roles and very general tax identifiers.,abstract
,"Copyright (c) 2017-2024 EDM Council, Inc.",copyright
PartiesModule,"Copyright (c) 2017-2024 Object Management Group, Inc.",copyright
PartiesModule,,hasPart
,owl#Ontology,22-rdf-syntax-ns#type
PartiesModule,parties module,rdf-schema#label
PartiesModule,Module,22-rdf-syntax-ns#type
PartiesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,This is the metadata ontology used to describe the Foundations Parties Module.,abstract
,"Copyright (c) 2017-2024 Object Management Group, Inc.",copyright
PartiesModule,FIBO FND Parties Module,title
PartiesModule,,rdf-schema#seeAlso
PartiesModule,MIT,license
