id,type,name
PartiesModule,Entity,PartiesModule
"Copyright (c) 2017-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2017-2024 Object Management Group, Inc."
owl#Ontology,Entity,owl#Ontology
Module,Entity,Module
2024-11-14T18:00:00,Entity,2024-11-14T18:00:00
Metadata for the EDMC-FIBO Foundations (FND) Parties Module,Entity,Metadata for the EDMC-FIBO Foundations (FND) Parties Module
FIBO FND Parties Module,Entity,FIBO FND Parties Module
Financial Industry Business Ontology (FIBO) Foundations (FND) Parties Module,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Parties Module
The parties module extends the Commons Parties and Situations ontology with identifiers for party roles and very general tax identifiers.,Entity,The parties module extends the Commons Parties and Situations ontology with identifiers for party roles and very general tax identifiers.
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
"Copyright (c) 2017-2024 EDM Council, Inc.",Entity,"Copyright (c) 2017-2024 EDM Council, Inc."
MIT,Entity,MIT
owl#NamedIndividual,Entity,owl#NamedIndividual
parties module,Entity,parties module
,Entity,
This is the metadata ontology used to describe the Foundations Parties Module.,Entity,This is the metadata ontology used to describe the Foundations Parties Module.
