source_id,target_id,relationship
PlacesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
PlacesModule,FIBO FND Places Module,title
PlacesModule,places module,rdf-schema#label
,,owl#imports
,This is the metadata ontology used to describe the Foundations Places Module.,abstract
,MIT,license
PlacesModule,Module,22-rdf-syntax-ns#type
PlacesModule,,rdf-schema#seeAlso
,,owl#versionIRI
PlacesModule,MIT,license
,"Copyright (c) 2017-2024 EDM Council, Inc.",copyright
PlacesModule,"Copyright (c) 2017-2024 EDM Council, Inc.",copyright
,2024-10-24T18:00:00,modified
,owl#Ontology,22-rdf-syntax-ns#type
,Metadata for the EDMC-FIBO Foundations (FND) Places Module,rdf-schema#label
PlacesModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Places Module,title
,"Copyright (c) 2017-2024 Object Management Group, Inc.",copyright
PlacesModule,This module includes ontologies defining concepts to do with real or virtual places and the addresses to such places.,abstract
PlacesModule,"Copyright (c) 2017-2024 Object Management Group, Inc.",copyright
,2022-06-14T18:00:00,issued
PlacesModule,,hasPart
