source_id,target_id,relationship
ProductsAndServicesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,,owl#imports
ProductsAndServicesModule,Module,22-rdf-syntax-ns#type
,MIT,license
ProductsAndServicesModule,,rdf-schema#seeAlso
,Metadata for the EDMC-FIBO Foundations (FND) Products and Services Module,rdf-schema#label
,2018-08-27T18:00:00,issued
ProductsAndServicesModule,"This module includes ontologies defining concepts such as buyers, sellers, customers, clients, products and services generally, as well as very high-level relationships between them.",abstract
,,owl#versionIRI
ProductsAndServicesModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,owl#Ontology,22-rdf-syntax-ns#type
ProductsAndServicesModule,MIT,license
ProductsAndServicesModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Products and Services Module,title
,2023-01-20T18:00:00,modified
ProductsAndServicesModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
ProductsAndServicesModule,products and services module,rdf-schema#label
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
ProductsAndServicesModule,FIBO FND Products and Services Module,title
ProductsAndServicesModule,,hasPart
,This is the metadata ontology used to describe the Foundations Products and Services Module.,abstract
