source_id,target_id,relationship
,,owl#imports
RelationsModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
RelationsModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Relations Module,title
,MIT,license
,2018-08-27T18:00:00,issued
,This is the metadata ontology used to describe the Foundations Relations Module.,abstract
,,owl#versionIRI
RelationsModule,"This module contains an ontology defining a number of reusable relationships. These are used, refined or restricted to define relationships among more specific concepts in other FIBO ontologies. Some of these relationships stand in for relationships which are defined in external standards ontologies.",abstract
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
RelationsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
RelationsModule,,hasPart
,owl#Ontology,22-rdf-syntax-ns#type
RelationsModule,relations module,rdf-schema#label
RelationsModule,Module,22-rdf-syntax-ns#type
,2023-01-20T18:00:00,modified
,Metadata for the EDMC-FIBO Foundations (FND) Relations Module,rdf-schema#label
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
RelationsModule,MIT,license
RelationsModule,,rdf-schema#seeAlso
RelationsModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
RelationsModule,FIBO FND Relations Module,title
