id,type,name
This is the metadata ontology used to describe the Foundations Transactions Module.,Entity,This is the metadata ontology used to describe the Foundations Transactions Module.
owl#Ontology,Entity,owl#Ontology
"This module contains ontologies of Transaction concepts based on the Resource, Events Agents (REA) ontology for transactions.",Entity,"This module contains ontologies of Transaction concepts based on the Resource, Events Agents (REA) ontology for transactions."
Module,Entity,Module
Metadata for the EDMC-FIBO Foundations (FND) TransactionsExt Module,Entity,Metadata for the EDMC-FIBO Foundations (FND) TransactionsExt Module
2023-01-20T18:00:00,Entity,2023-01-20T18:00:00
"The content in this module is original conceptual content and does not extend any other module. Some of the concepts represented conceptually in this module have been replaced by partial representations of some transaction concepts in the Products and Services module, sometimes using different labels for similar or equivalent concepts. Much of the content in this module will still be referred to in other FIBO domains, and care is needed in determining whether to replace these references to something in Products and Services versus when to bring forward more of the content in this module.",Entity,"The content in this module is original conceptual content and does not extend any other module. Some of the concepts represented conceptually in this module have been replaced by partial representations of some transaction concepts in the Products and Services module, sometimes using different labels for similar or equivalent concepts. Much of the content in this module will still be referred to in other FIBO domains, and care is needed in determining whether to replace these references to something in Products and Services versus when to bring forward more of the content in this module."
2021-12-27T18:00:00,Entity,2021-12-27T18:00:00
TransactionsExtModule,Entity,TransactionsExtModule
FIBO FND Transactions Module,Entity,FIBO FND Transactions Module
"Copyright (c) 2017-2023 EDM Council, Inc.",Entity,"Copyright (c) 2017-2023 EDM Council, Inc."
MIT,Entity,MIT
owl#NamedIndividual,Entity,owl#NamedIndividual
transactions ext module,Entity,transactions ext module
,Entity,
Financial Industry Business Ontology (FIBO) Foundations (FND) Transactions Module,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Transactions Module
