source_id,target_id,relationship
UtilitiesModule,The utilities module includes ontologies that provide metadata and other basic concepts to be used in other ontologies.,abstract
,,owl#imports
,2020-08-28T18:00:00,issued
,MIT,license
UtilitiesModule,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
,Metadata for the EDMC-FIBO Foundations (FND) Utilities Module,rdf-schema#label
UtilitiesModule,,hasPart
,,owl#versionIRI
,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
,owl#Ontology,22-rdf-syntax-ns#type
UtilitiesModule,FIBO FND Utilities Module,title
UtilitiesModule,Module,22-rdf-syntax-ns#type
UtilitiesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,This is the metadata ontology used to describe the Foundations Utilities Module.,abstract
UtilitiesModule,MIT,license
UtilitiesModule,,rdf-schema#seeAlso
,"Copyright (c) 2017-2023 EDM Council, Inc.",copyright
,2023-01-06T18:00:00,modified
UtilitiesModule,utilities module,rdf-schema#label
UtilitiesModule,"Copyright (c) 2017-2023 Object Management Group, Inc.",copyright
UtilitiesModule,Financial Industry Business Ontology (FIBO) Foundations (FND) Utilities Module,title
