id,type,name
Financial Industry Business Ontology (FIBO) Foundations (FND) Utilities Module,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Utilities Module
owl#Ontology,Entity,owl#Ontology
2020-08-28T18:00:00,Entity,2020-08-28T18:00:00
Module,Entity,Module
Metadata for the EDMC-FIBO Foundations (FND) Utilities Module,Entity,Metadata for the EDMC-FIBO Foundations (FND) Utilities Module
utilities module,Entity,utilities module
The utilities module includes ontologies that provide metadata and other basic concepts to be used in other ontologies.,Entity,The utilities module includes ontologies that provide metadata and other basic concepts to be used in other ontologies.
MIT,Entity,MIT
2023-01-06T18:00:00,Entity,2023-01-06T18:00:00
"Copyright (c) 2017-2023 EDM Council, Inc.",Entity,"Copyright (c) 2017-2023 EDM Council, Inc."
UtilitiesModule,Entity,UtilitiesModule
owl#NamedIndividual,Entity,owl#NamedIndividual
"Copyright (c) 2017-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2017-2023 Object Management Group, Inc."
This is the metadata ontology used to describe the Foundations Utilities Module.,Entity,This is the metadata ontology used to describe the Foundations Utilities Module.
,Entity,
FIBO FND Utilities Module,Entity,FIBO FND Utilities Module
