source_id,target_id,relationship
FNDDomain,"Copyright (c) 2013-2024 EDM Council, Inc.",copyright
FNDDomain,GoalsAndObjectivesModule,hasPart
FNDDomain,DatesAndTimesModule,hasPart
,2021-03-29T18:00:00,issued
,,owl#imports
FNDDomain,PlacesModule,hasPart
,The 'metadata for FND' describes the FND domain.,abstract
FNDDomain,or concepts will be integrated into Foundations as required.,abstract
,MIT,license
,Metadata for the EDMC-FIBO Foundations (FND) Domain,rdf-schema#label
FNDDomain,PartiesModule,hasPart
FNDDomain,"Copyright (c) 2013-2024 Object Management Group, Inc.",copyright
FNDDomain,FIBO+-+FCT+-+Foundations+Home,creator
FNDDomain,AgreementsModule,hasPart
,"Copyright (c) 2013-2024 EDM Council, Inc.",copyright
FNDDomain,foundations domain,rdf-schema#label
,,owl#versionIRI
FNDDomain,FIBO FND Domain,title
,2024-11-19T18:00:00,modified
FNDDomain,OwnershipAndControlModule,hasPart
,owl#Ontology,22-rdf-syntax-ns#type
FNDDomain,TransactionsExtModule,hasPart
FNDDomain,ArrangementsModule,hasPart
FNDDomain,RelationsModule,hasPart
FNDDomain,LawModule,hasPart
,"Copyright (c) 2013-2024 Object Management Group, Inc.",copyright
FNDDomain,owl#NamedIndividual,22-rdf-syntax-ns#type
FNDDomain,Module,22-rdf-syntax-ns#type
FNDDomain,OrganizationsModule,hasPart
FNDDomain,ProductsAndServicesModule,hasPart
FNDDomain,,rdf-schema#seeAlso
FNDDomain,Financial Industry Business Ontology (FIBO) Foundations (FND) Domain,title
FNDDomain,UtilitiesModule,hasPart
FNDDomain,MIT,license
FNDDomain,AgentsAndPeopleModule,hasPart
FNDDomain,AccountingModule,hasPart
