id,type,name
RelationsModule,Entity,RelationsModule
The 'metadata for FND' describes the FND domain.,Entity,The 'metadata for FND' describes the FND domain.
PlacesModule,Entity,PlacesModule
Module,Entity,Module
GoalsAndObjectivesModule,Entity,GoalsAndObjectivesModule
FIBO FND Domain,Entity,FIBO FND Domain
TransactionsExtModule,Entity,TransactionsExtModule
OwnershipAndControlModule,Entity,OwnershipAndControlModule
ArrangementsModule,Entity,ArrangementsModule
AccountingModule,Entity,AccountingModule
foundations domain,Entity,foundations domain
FNDDomain,Entity,FNDDomain
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
AgreementsModule,Entity,AgreementsModule
owl#NamedIndividual,Entity,owl#NamedIndividual
Financial Industry Business Ontology (FIBO) Foundations (FND) Domain,Entity,Financial Industry Business Ontology (FIBO) Foundations (FND) Domain
,Entity,
"Copyright (c) 2013-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2013-2024 Object Management Group, Inc."
2024-11-19T18:00:00,Entity,2024-11-19T18:00:00
Metadata for the EDMC-FIBO Foundations (FND) Domain,Entity,Metadata for the EDMC-FIBO Foundations (FND) Domain
AgentsAndPeopleModule,Entity,AgentsAndPeopleModule
LawModule,Entity,LawModule
PartiesModule,Entity,PartiesModule
owl#Ontology,Entity,owl#Ontology
DatesAndTimesModule,Entity,DatesAndTimesModule
FIBO+-+FCT+-+Foundations+Home,Entity,FIBO+-+FCT+-+Foundations+Home
or concepts will be integrated into Foundations as required.,Entity,or concepts will be integrated into Foundations as required.
MIT,Entity,MIT
UtilitiesModule,Entity,UtilitiesModule
ProductsAndServicesModule,Entity,ProductsAndServicesModule
2021-03-29T18:00:00,Entity,2021-03-29T18:00:00
OrganizationsModule,Entity,OrganizationsModule
