id,type,name
business strategy,Entity,business strategy
N78a20b56c4114d3db514359062329bf5,Entity,N78a20b56c4114d3db514359062329bf5
A strategy may involve activities that are needed in order to achieve specific goals or objectives. It may take into account one or more policies or any number of restrictions and constraints.,Entity,A strategy may involve activities that are needed in order to achieve specific goals or objectives. It may take into account one or more policies or any number of restrictions and constraints.
has strategy,Entity,has strategy
programme identifier,Entity,programme identifier
goal,Entity,goal
hasStrategy,Entity,hasStrategy
business objective,Entity,business objective
programme,Entity,programme
Nee35f7a274364a5f89aae4f7165bc14d,Entity,Nee35f7a274364a5f89aae4f7165bc14d
Program,Entity,Program
program identifier,Entity,program identifier
Nc8feab552a6841e19f19267c62186e7f,Entity,Nc8feab552a6841e19f19267c62186e7f
owl#Restriction,Entity,owl#Restriction
N1e079e991c544a47848b9fcab25d7719,Entity,N1e079e991c544a47848b9fcab25d7719
Situation,Entity,Situation
sales strategy,Entity,sales strategy
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
strategy,Entity,strategy
Objectives.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary and eliminate unnecessary references to LCC.,Entity,Objectives.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary and eliminate unnecessary references to LCC.
XMLSchema#string,Entity,XMLSchema#string
Strategy,Entity,Strategy
Nc937c3fd663e49e497b8d1344eaec039,Entity,Nc937c3fd663e49e497b8d1344eaec039
InvestmentObjective,Entity,InvestmentObjective
hasDatePeriod,Entity,hasDatePeriod
N5192cc78562647a998efbccaff13d831,Entity,N5192cc78562647a998efbccaff13d831
SalesStrategy,Entity,SalesStrategy
objective,Entity,objective
"Objectives.rdf version of this ontology was modified to add the property 'has strategy' for use in linking to pricing, quotation, distribution, delivery, and other strategies or methods.",Entity,"Objectives.rdf version of this ontology was modified to add the property 'has strategy' for use in linking to pricing, quotation, distribution, delivery, and other strategies or methods."
hasObjective,Entity,hasObjective
financial objective,Entity,financial objective
Goal,Entity,Goal
state of affairs and coordinated set of activities designed to obtain benefits not available from managing them individually,Entity,state of affairs and coordinated set of activities designed to obtain benefits not available from managing them individually
investment objective,Entity,investment objective
isMemberOf,Entity,isMemberOf
MIT,Entity,MIT
project identifier,Entity,project identifier
ProgramName,Entity,ProgramName
.,Entity,.
"Objectives.rdf version of this ontology was modified to integrate concepts such as distribution and sales strategy, and to eliminate duplication of concepts in LCC.",Entity,"Objectives.rdf version of this ontology was modified to integrate concepts such as distribution and sales strategy, and to eliminate duplication of concepts in LCC."
Objectives.rdf version of this ontology was modified to address hygiene issues with respect to text formatting.,Entity,Objectives.rdf version of this ontology was modified to address hygiene issues with respect to text formatting.
"state of affairs and unique and temporary organization, designed to deliver a tangible output",Entity,"state of affairs and unique and temporary organization, designed to deliver a tangible output"
project name,Entity,project name
isNameOf,Entity,isNameOf
objective that reflects the strategic goals and direction of a business within a time frame and available resources,Entity,objective that reflects the strategic goals and direction of a business within a time frame and available resources
ContextualName,Entity,ContextualName
owl#ObjectProperty,Entity,owl#ObjectProperty
contextual designation for a project,Entity,contextual designation for a project
"plan or method for achieving a specific goal, objective, solution or outcome",Entity,"plan or method for achieving a specific goal, objective, solution or outcome"
program,Entity,program
"ontology structure
	(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations
	(6) to eliminate an unnecessary hasObjectives property and related imports dependencies.",Entity,"ontology structure
	(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations
	(6) to eliminate an unnecessary hasObjectives property and related imports dependencies."
objective that reflects the strategic financial goals and direction of a party within a time frame and available resources,Entity,objective that reflects the strategic financial goals and direction of a party within a time frame and available resources
N526066ce41af4f17a6974ead1cd35688,Entity,N526066ce41af4f17a6974ead1cd35688
program name,Entity,program name
contextual designation for a program within the context in which that program is administered,Entity,contextual designation for a program within the context in which that program is administered
programme name,Entity,programme name
"A project has a fixed - generally fairly short - timeframe, and a project manager is responsible for delivering the output on time and on budget.",Entity,"A project has a fixed - generally fairly short - timeframe, and a project manager is responsible for delivering the output on time and on budget."
identifies,Entity,identifies
"Objectives.rdf version of this ontology was modified to add the concept of a program, required for IND but also to represent compliance, and other kinds of programs.",Entity,"Objectives.rdf version of this ontology was modified to add the concept of a program, required for IND but also to represent compliance, and other kinds of programs."
isIdentifiedBy,Entity,isIdentifiedBy
ProjectIdentifier,Entity,ProjectIdentifier
ProjectName,Entity,ProjectName
