source_id,target_id,relationship
hasInput,owl#ObjectProperty,22-rdf-syntax-ns#type
OccurrenceBasedDate,owl#Class,22-rdf-syntax-ns#type
OccurrenceKind,loan origination,core#example
OccurrenceKind,"In order for other ontologies to accept FinancialDates without committing to the particular notions of 'Occurrence' and 'OccurrenceKind' that is modeled here, all aspects of Occurrences are captured in this ontolog",usageNote
isTriggeredBy,is triggered by,rdf-schema#label
hasEventDate,has event date,rdf-schema#label
N8488dc5e746a4b5b9bf0e0dca4f0774f,classifies,owl#onProperty
N60e8947810f548f0ac6e1aae3292b218,holdsDuring,owl#onProperty
OccurrenceBasedDate,N28d56aea90f3427992aee52fc6242f80,rdf-schema#subClassOf
N92909abf51834902b9ebc74b8816534a,hasEventDateValue,owl#onProperty
,or non-ISO 704 compliant definitions.,core#changeNote
Occurrence,N7093793d718a41fbacea6336c35d5330,rdf-schema#subClassOf
Occurrence,N83608ce88ebb4dbbbd3371b357e3d84e,rdf-schema#subClassOf
N6f5996f7036b48198cbac9e53b5b5c38,Nb9dc30cd6dec4dfab4131d3383e6b401,22-rdf-syntax-ns#first
N0068b2c46be646c9a8b27567ba505b4e,0,owl#minQualifiedCardinality
N0068b2c46be646c9a8b27567ba505b4e,owl#Restriction,22-rdf-syntax-ns#type
Nda0b733c34254c548df8e9faf334415f,owl#Restriction,22-rdf-syntax-ns#type
N3aefbcf0374146c48c001cd403b6df90,Occurrence,owl#onClass
, version of this ontology was revised to make use of the new composite date type added to Financial Dates.,core#changeNote
N66d0043ddfc845d58fb5556816bde164,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
N663fee0869c04d4abca926fb104faa1a,hasOccurrence,owl#onProperty
Calculation,N879987f9e68744c9ae3efb82b961940f,rdf-schema#subClassOf
RelativeDate,owl#Class,22-rdf-syntax-ns#type
hasOccurrence,has occurrence,rdf-schema#label
N7093793d718a41fbacea6336c35d5330,1,owl#qualifiedCardinality
CalculationEvent,"or recalculation of principal due to a late payment, etc. A calculation event related to an investment might involve the adjustment of the number of shares owned, such as a redemption or dividend related event.",core#note
OccurrenceKind,N8488dc5e746a4b5b9bf0e0dca4f0774f,rdf-schema#subClassOf
N3aefbcf0374146c48c001cd403b6df90,owl#Restriction,22-rdf-syntax-ns#type
Nb9dc30cd6dec4dfab4131d3383e6b401,1,owl#qualifiedCardinality
Calculation,"actual execution of some computation, computational process, or operation that was scheduled or triggered by something",core#definition
Occurrence,occurrence,rdf-schema#label
N66205dc9783f45328f0152f35b7f42aa,hasOccurrence,owl#onProperty
OccurrenceKind,Classifier,rdf-schema#subClassOf
