id,type,name
"Copyright (c) 2014-2024 EDM Council, Inc.",Entity,"Copyright (c) 2014-2024 EDM Council, Inc."
has event date,Entity,has event date
N6f5996f7036b48198cbac9e53b5b5c38,Entity,N6f5996f7036b48198cbac9e53b5b5c38
owl#Restriction,Entity,owl#Restriction
N8484ff7fcf194e19a710e1ab4e27da3e,Entity,N8484ff7fcf194e19a710e1ab4e27da3e
" version of this ontology was revised to address the issue resolutions in the FIBO 2.0 RFC, primarily to add properties that are relevant to the inputs and outputs from processes, events, systems and the like.",Entity," version of this ontology was revised to address the issue resolutions in the FIBO 2.0 RFC, primarily to add properties that are relevant to the inputs and outputs from processes, events, systems and the like."
"identifies events of a given occurrence kind, typically as they occur in a schedule",Entity,"identifies events of a given occurrence kind, typically as they occur in a schedule"
Occurrences Ontology,Entity,Occurrences Ontology
"As types (or categories) of events, OccurenceKinds do not happen; OccurenceKinds describe Occurrences which happen and exemplify an OccurenceKind. As occurrences are things that actually happen, they have an actual date where as OccurenceKinds do not have an actual date.",Entity,"As types (or categories) of events, OccurenceKinds do not happen; OccurenceKinds describe Occurrences which happen and exemplify an OccurenceKind. As occurrences are things that actually happen, they have an actual date where as OccurenceKinds do not have an actual date."
Nda0b733c34254c548df8e9faf334415f,Entity,Nda0b733c34254c548df8e9faf334415f
1,Entity,1
An OccurrenceBasedDate is triggered by an Occurrence that exemplifies the OccurrenceKind.,Entity,An OccurrenceBasedDate is triggered by an Occurrence that exemplifies the OccurrenceKind.
Nd2493f6fcaef4d50945869217cddec45,Entity,Nd2493f6fcaef4d50945869217cddec45
"Each occurrence has a date time stamp, which identifies when the event occurred, and, optionally, a location (possibly virtual), that identifies where the occurrence happened.",Entity,"Each occurrence has a date time stamp, which identifies when the event occurred, and, optionally, a location (possibly virtual), that identifies where the occurrence happened."
"indicates a precondition, requirement, or other contribution (e.g., data) to some activity, process, system, report, analysis, etc.",Entity,"indicates a precondition, requirement, or other contribution (e.g., data) to some activity, process, system, report, analysis, etc."
"This ontology was added to Foundations in advance of the December 2014 Long Beach meeting in support of the SEC specification. It is also needed to provide temporal relationships for Ownership and Control.

These three ontologies are designed for use together:

	* FinancialDates -- financial Dates and Schedules
	* BusinessDates -- business day adjustments
	* Occurrences -- occurrences (events) and kinds of occurrences

They are modularized this way to minimize the ontological committments that are imposed upon ontologies that rely upon them. Ontologies can import FinancialDates alone, or FinancialDates + BusinessDates, or FinancialDates + Occurrences, or all three together.",Entity,"This ontology was added to Foundations in advance of the December 2014 Long Beach meeting in support of the SEC specification. It is also needed to provide temporal relationships for Ownership and Control.

These three ontologies are designed for use together:

	* FinancialDates -- financial Dates and Schedules
	* BusinessDates -- business day adjustments
	* Occurrences -- occurrences (events) and kinds of occurrences

They are modularized this way to minimize the ontological committments that are imposed upon ontologies that rely upon them. Ontologies can import FinancialDates alone, or FinancialDates + BusinessDates, or FinancialDates + Occurrences, or all three together."
N60e8947810f548f0ac6e1aae3292b218,Entity,N60e8947810f548f0ac6e1aae3292b218
hasEventDate,Entity,hasEventDate
Occurrences.rdf version of this ontology was modified to eliminate elements that have been deprecated for several quarters (FND-386).,Entity,Occurrences.rdf version of this ontology was modified to eliminate elements that have been deprecated for several quarters (FND-386).
N3aefbcf0374146c48c001cd403b6df90,Entity,N3aefbcf0374146c48c001cd403b6df90
