id,type,name
Ownership.rdf version of the ontology was modified to better align with revisions to the situation lattice.,Entity,Ownership.rdf version of the ontology was modified to better align with revisions to the situation lattice.
is asset of,Entity,is asset of
owns,Entity,owns
intangible asset,Entity,intangible asset
identifies the actor that holds title to the asset in an ownership situation,Entity,identifies the actor that holds title to the asset in an ownership situation
Undergoer,Entity,Undergoer
is owned by,Entity,is owned by
identifies an asset that an owner owns,Entity,identifies an asset that an owner owns
is owned asset,Entity,is owned asset
owl#Restriction,Entity,owl#Restriction
Situation,Entity,Situation
Ownership Ontology,Entity,Ownership Ontology
1,Entity,1
Ownership.rdf version of the ontology was modified to revise the definition of Asset using the new CombinedDateTime datatype rather than xsd:dateTime to provide increased flexibility.,Entity,Ownership.rdf version of the ontology was modified to revise the definition of Asset using the new CombinedDateTime datatype rather than xsd:dateTime to provide increased flexibility.
Nf0c6073ebb1240199abac5dcc48d973a,Entity,Nf0c6073ebb1240199abac5dcc48d973a
has owning party,Entity,has owning party
N85a06c61f52b48c5afdd2655bcf8e401,Entity,N85a06c61f52b48c5afdd2655bcf8e401
identifies the owner of an asset,Entity,identifies the owner of an asset
Ownership.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,Ownership.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
MIT,Entity,MIT
Ownership.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,Ownership.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
actsOn,Entity,actsOn
Nfa6812a0e9f64541b152e8ac64bc7e98,Entity,Nfa6812a0e9f64541b152e8ac64bc7e98
Party,Entity,Party
owner,Entity,owner
.,Entity,.
"This ontology defines high-level, ownership-related concepts, including owner, asset and ownership along with relationships between them.",Entity,"This ontology defines high-level, ownership-related concepts, including owner, asset and ownership along with relationships between them."
indicates something that someone owns,Entity,indicates something that someone owns
hasOwningParty,Entity,hasOwningParty
"Copyright (c) 2013-2023 EDM Council, Inc.",Entity,"Copyright (c) 2013-2023 EDM Council, Inc."
isOwningParty,Entity,isOwningParty
owl#ObjectProperty,Entity,owl#ObjectProperty
"asset that is a physical, measurable resource, i.e., one that takes a physical form",Entity,"asset that is a physical, measurable resource, i.e., one that takes a physical form"
experiencesDirectly,Entity,experiencesDirectly
indicates the asset in an ownership situation,Entity,indicates the asset in an ownership situation
Actor,Entity,Actor
undergoes,Entity,undergoes
isOwnedAsset,Entity,isOwnedAsset
Asset,Entity,Asset
is asset owner,Entity,is asset owner
N375b52f2d04f421a99bb912c758d4a39,Entity,N375b52f2d04f421a99bb912c758d4a39
"Intangible assets may include intellectual property, patents, copyrights, trademarks, rights-of-way (easements), brands, organizational abilities (know-how), and data.",Entity,"Intangible assets may include intellectual property, patents, copyrights, trademarks, rights-of-way (easements), brands, organizational abilities (know-how), and data."
N6aa0e69e822a43d8bad65b62339b9d13,Entity,N6aa0e69e822a43d8bad65b62339b9d13
TangibleAsset,Entity,TangibleAsset
asset,Entity,asset
economic resource,Entity,economic resource
"Ownership.rdf version of the ontology was modified to integrate the concept of a situation, situational roles, and corresponding relations with the definition of ownership, and eliminate minimum cardinality of 1 in restrictions.",Entity,"Ownership.rdf version of the ontology was modified to integrate the concept of a situation, situational roles, and corresponding relations with the definition of ownership, and eliminate minimum cardinality of 1 in restrictions."
ownership,Entity,ownership
Ownership,Entity,Ownership
"ontology structure
	(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations.",Entity,"ontology structure
	(5) to incorporate changes to the specification metadata to support documentation at the family, specification, module, and ontology level, similar to the abbreviations."
Release,Entity,Release
hasUndergoer,Entity,hasUndergoer
,Entity,
isAssetOf,Entity,isAssetOf
hasAcquisitionDate,Entity,hasAcquisitionDate
or possession,Entity,or possession
Ownership.rdf version of the ontology was modified to reflect the move of hasAquisitionDate from relations to financial dates and eliminate circular definitions.,Entity,Ownership.rdf version of the ontology was modified to reflect the move of hasAquisitionDate from relations to financial dates and eliminate circular definitions.
isOwnedBy,Entity,isOwnedBy
has owned asset,Entity,has owned asset
"Ownership.rdf version of the ontology was modified to add definitions for tangible and intangible asset, etc., as needed for refinement of the concept of collateral and other loan-specific concepts.",Entity,"Ownership.rdf version of the ontology was modified to add definitions for tangible and intangible asset, etc., as needed for refinement of the concept of collateral and other loan-specific concepts."
ownsAsset,Entity,ownsAsset
"Intangible assets include assets that may involve a legal claim to some future benefit, typically a claim to future cash. Intangible assets have become an increasingly larger component of the valuation for all companies, from newer social media companies to even the most established and iconic manufacturers.",Entity,"Intangible assets include assets that may involve a legal claim to some future benefit, typically a claim to future cash. Intangible assets have become an increasingly larger component of the valuation for all companies, from newer social media companies to even the most established and iconic manufacturers."
is owning party,Entity,is owning party
something of monetary value that is owned or provides benefit to some party,Entity,something of monetary value that is owned or provides benefit to some party
playsActiveRoleThatDirectlyAffects,Entity,playsActiveRoleThatDirectlyAffects
indicates the context of ownership in which something is an asset,Entity,indicates the context of ownership in which something is an asset
tangible asset,Entity,tangible asset
Ownership.rdf version of the ontology was modified to address hygiene issues with respect to text formatting.,Entity,Ownership.rdf version of the ontology was modified to address hygiene issues with respect to text formatting.
IntangibleAsset,Entity,IntangibleAsset
"party that is legally recognized as having the right to possess, the privilege to use, and ability to transfer any rights or privileges associated with something, as permitted by law",Entity,"party that is legally recognized as having the right to possess, the privilege to use, and ability to transfer any rights or privileges associated with something, as permitted by law"
actsIn,Entity,actsIn
hasOwnedAsset,Entity,hasOwnedAsset
Owner,Entity,Owner
"Tangible assets include cash, cash equivalents and accounts receivables (AR), inventory, equipment, buildings and real estate, crops, and investments. Tangible assets such as art, furniture, stamps, gold, wine, toys and books of significant value may be included in an individual or organization's asset portfolio.",Entity,"Tangible assets include cash, cash equivalents and accounts receivables (AR), inventory, equipment, buildings and real estate, crops, and investments. Tangible assets such as art, furniture, stamps, gold, wine, toys and books of significant value may be included in an individual or organization's asset portfolio."
hasActor,Entity,hasActor
"Ownership.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"Ownership.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
"Financial Accounting Standards Board (FASB) Statement of Financial Accounting Concepts No. 6, Elements of Financial Statements, paragraph 25.",Entity,"Financial Accounting Standards Board (FASB) Statement of Financial Accounting Concepts No. 6, Elements of Financial Statements, paragraph 25."
Nb0db487f59d443cf9ab765e0f72dfab1,Entity,Nb0db487f59d443cf9ab765e0f72dfab1
owl#Class,Entity,owl#Class
"Copyright (c) 2013-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2013-2023 Object Management Group, Inc."
indicates the context of ownership in which the party plays the role of owner,Entity,indicates the context of ownership in which the party plays the role of owner
"An asset is something that provides probable future economic benefit obtained or controlled by some party as a result of past transactions or events. An asset has three essential characteristics: (a) it embodies a probable future benefit that involves a capacity, singly or in combination with other assets, to contribute directly or indirectly to future net cash inflows, (b) a party can obtain the benefit and control others' access to it, and (c) the transaction or other event giving rise to the party's right to or control of the benefit has already occurred.",Entity,"An asset is something that provides probable future economic benefit obtained or controlled by some party as a result of past transactions or events. An asset has three essential characteristics: (a) it embodies a probable future benefit that involves a capacity, singly or in combination with other assets, to contribute directly or indirectly to future net cash inflows, (b) a party can obtain the benefit and control others' access to it, and (c) the transaction or other event giving rise to the party's right to or control of the benefit has already occurred."
Nbe8d03443b09499f8692be4e23267d10,Entity,Nbe8d03443b09499f8692be4e23267d10
isAffectedBy,Entity,isAffectedBy
CombinedDateTime,Entity,CombinedDateTime
owl#Ontology,Entity,owl#Ontology
indicates something that a party holds title to and may possess,Entity,indicates something that a party holds title to and may possess
"identifiable, non-monetary asset that lacks physical substance",Entity,"identifiable, non-monetary asset that lacks physical substance"
