id,type,name
involves,Entity,involves
isObligationOf,Entity,isObligationOf
N9861a88856224dca81628daaf83acb66,Entity,N9861a88856224dca81628daaf83acb66
owl#Restriction,Entity,owl#Restriction
"satisfies a requirement for payment of some claim, debt, or other obligation",Entity,"satisfies a requirement for payment of some claim, debt, or other obligation"
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
PaymentsAndSchedules.rdf version of this ontology was modified to clean up the definition and augment the restrictions on payment obligation to include the payee.,Entity,PaymentsAndSchedules.rdf version of this ontology was modified to clean up the definition and augment the restrictions on payment obligation to include the payee.
fulfillsObligation,Entity,fulfillsObligation
1,Entity,1
Payment,Entity,Payment
isPlayedBy,Entity,isPlayedBy
hasPartyRole,Entity,hasPartyRole
hasPaymentSchedule,Entity,hasPaymentSchedule
PaymentsAndSchedules.rdf version of this ontology was modified per the issue resolutions identified in the FIBO FND 1.1 RTF report to replace MoneyAmount with MonetaryAmount.,Entity,PaymentsAndSchedules.rdf version of this ontology was modified per the issue resolutions identified in the FIBO FND 1.1 RTF report to replace MoneyAmount with MonetaryAmount.
payer,Entity,payer
PaymentsAndSchedules.rdf version of this ontology was modified to revise payments to better support loan requirements and eliminate duplication of concepts in LCC.,Entity,PaymentsAndSchedules.rdf version of this ontology was modified to revise payments to better support loan requirements and eliminate duplication of concepts in LCC.
specifies the amount of money involved in a payment,Entity,specifies the amount of money involved in a payment
Contract,Entity,Contract
has payment schedule,Entity,has payment schedule
MIT,Entity,MIT
PaymentSchedule,Entity,PaymentSchedule
hasMonetaryAmount,Entity,hasMonetaryAmount
Schedule,Entity,Schedule
has payment amount,Entity,has payment amount
N75aa46220dba48b6a30eea209ce7ea6a,Entity,N75aa46220dba48b6a30eea209ce7ea6a
PaymentObligation,Entity,PaymentObligation
PaymentsAndSchedules.rdf version of this ontology was modified to eliminate remaining circular references.,Entity,PaymentsAndSchedules.rdf version of this ontology was modified to eliminate remaining circular references.
"PaymentsAndSchedules.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"PaymentsAndSchedules.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
schedule for delivery of money in fulfillment of an obligation,Entity,schedule for delivery of money in fulfillment of an obligation
N6220870b70604959aa88ffdeb3b332a8,Entity,N6220870b70604959aa88ffdeb3b332a8
owl#ObjectProperty,Entity,owl#ObjectProperty
N5697b16ab9bf49389f8b0ba40bf62a29,Entity,N5697b16ab9bf49389f8b0ba40bf62a29
hasConstituent,Entity,hasConstituent
appliesTo,Entity,appliesTo
PaymentsAndSchedules.rdf version of this ontology was modified to eliminate deprecated elements.,Entity,PaymentsAndSchedules.rdf version of this ontology was modified to eliminate deprecated elements.
TransactionEvent,Entity,TransactionEvent
legally enforceable duty to pay a sum of money according to the terms stated in a contract,Entity,legally enforceable duty to pay a sum of money according to the terms stated in a contract
Payee,Entity,Payee
payment obligation,Entity,payment obligation
PaymentsAndSchedules.rdf version of this ontology was modified per the FIBO 2.0 RFC to make hasPaymentAmount a child of hasMonetaryAmount and move hasObligation and isObligationOf to Agreements.,Entity,PaymentsAndSchedules.rdf version of this ontology was modified per the FIBO 2.0 RFC to make hasPaymentAmount a child of hasMonetaryAmount and move hasObligation and isObligationOf to Agreements.
"a party to whom a debt should be paid, or to whose order a bill of exchange, note, or check is made payable, or who receives or will receive a payment from a payer in partial or complete fulfillment of an obligation",Entity,"a party to whom a debt should be paid, or to whose order a bill of exchange, note, or check is made payable, or who receives or will receive a payment from a payer in partial or complete fulfillment of an obligation"
N1ec8d18907dc4b1bb2bcd75b7a2b7aa8,Entity,N1ec8d18907dc4b1bb2bcd75b7a2b7aa8
fulfills obligation,Entity,fulfills obligation
an event that involves delivery of money in fulfillment of an obligation,Entity,an event that involves delivery of money in fulfillment of an obligation
Occurrence,Entity,Occurrence
Release,Entity,Release
,Entity,
"Copyright (c) 2013-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2013-2024 Object Management Group, Inc."
Payer,Entity,Payer
payment,Entity,payment
isConferredBy,Entity,isConferredBy
Commitment,Entity,Commitment
Nfe87821f7cb946b4b532189459c6f1f8,Entity,Nfe87821f7cb946b4b532189459c6f1f8
hasObligation,Entity,hasObligation
Duty,Entity,Duty
MonetaryAmount,Entity,MonetaryAmount
"Examples include coupon payment, loan payment, and interest payment schedules, among others.",Entity,"Examples include coupon payment, loan payment, and interest payment schedules, among others."
payee,Entity,payee
isAPartyTo,Entity,isAPartyTo
hasPaymentAmount,Entity,hasPaymentAmount
"delivery of money in fulfillment of an obligation, such as to satisfy a claim or debt",Entity,"delivery of money in fulfillment of an obligation, such as to satisfy a claim or debt"
PaymentsAndSchedules.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,PaymentsAndSchedules.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
specifies the schedule for fulfillment of an obligation,Entity,specifies the schedule for fulfillment of an obligation
N6c1938159b0f44d99e67d168c3eded59,Entity,N6c1938159b0f44d99e67d168c3eded59
owl#Class,Entity,owl#Class
N05d2f81b00e449f7a3c2f4972159b1fa,Entity,N05d2f81b00e449f7a3c2f4972159b1fa
payment event,Entity,payment event
PaymentsAndSchedules.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,PaymentsAndSchedules.rdf version of this ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
Payments and Schedules Ontology,Entity,Payments and Schedules Ontology
"the duty of a borrower to repay a loan, related to the legal right of a lender to enforce payment",Entity,"the duty of a borrower to repay a loan, related to the legal right of a lender to enforce payment"
owl#Ontology,Entity,owl#Ontology
N5c8503e78c82440bbd86e4aa6d304082,Entity,N5c8503e78c82440bbd86e4aa6d304082
payment schedule,Entity,payment schedule
"a party who pays a bill or fees, or who makes payments to a payee in partial or complete fulfillment of an obligation",Entity,"a party who pays a bill or fees, or who makes payments to a payee in partial or complete fulfillment of an obligation"
Obligee,Entity,Obligee
PaymentEvent,Entity,PaymentEvent
Nb16d6cab525843fa9943fe208a48b27f,Entity,Nb16d6cab525843fa9943fe208a48b27f
PaymentsAndSchedules.rdf version of this ontology was modified to fix spelling errors.,Entity,PaymentsAndSchedules.rdf version of this ontology was modified to fix spelling errors.
Obligor,Entity,Obligor
