id,type,name
isProvisionedBy,Entity,isProvisionedBy
"party that makes, offers or contracts to make a sale to an actual or potential buyer",Entity,"party that makes, offers or contracts to make a sale to an actual or potential buyer"
commercial off-the-shelf product,Entity,commercial off-the-shelf product
Ne88d1a57efe44937bf2a5127192bf4ed,Entity,Ne88d1a57efe44937bf2a5127192bf4ed
sells to,Entity,sells to
ProductsAndServices.rdf version of this ontology was modified per the issue resolutions identified in the FIBO FND 1.1 RTF report to replace MoneyAmount with AmountOfMoney.,Entity,ProductsAndServices.rdf version of this ontology was modified per the issue resolutions identified in the FIBO FND 1.1 RTF report to replace MoneyAmount with AmountOfMoney.
client identifier,Entity,client identifier
owl#Restriction,Entity,owl#Restriction
"links a party in the role of outfitter, provisioner, distributor, etc. to something that they provide",Entity,"links a party in the role of outfitter, provisioner, distributor, etc. to something that they provide"
transaction event,Entity,transaction event
Supplier,Entity,Supplier
Situation,Entity,Situation
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
written communication from a seller or service provider reciting the relevant details of a transaction,Entity,written communication from a seller or service provider reciting the relevant details of a transaction
hasBuyer,Entity,hasBuyer
TransactionConfirmation,Entity,TransactionConfirmation
supplies,Entity,supplies
customer,Entity,customer
product that takes the form of an agreement,Entity,product that takes the form of an agreement
consumer,Entity,consumer
"party that utilizes economic goods or services, typically for personal, family, or household purposes",Entity,"party that utilizes economic goods or services, typically for personal, family, or household purposes"
buysFrom,Entity,buysFrom
"ProductsAndServices.rdf version of this ontology was revised to add properties for hasBuyer and hasSeller, integrate properties with the party lattice, and clean-up circular or ambiguous definitions.",Entity,"ProductsAndServices.rdf version of this ontology was revised to add properties for hasBuyer and hasSeller, integrate properties with the party lattice, and clean-up circular or ambiguous definitions."
service agreement,Entity,service agreement
1,Entity,1
isPlayedBy,Entity,isPlayedBy
sequence of characters uniquely identifying a client within the context of some organization,Entity,sequence of characters uniquely identifying a client within the context of some organization
Ne18c1b05d8724d2aa44d9ef7fe71110c,Entity,Ne18c1b05d8724d2aa44d9ef7fe71110c
MutualContractualAgreement,Entity,MutualContractualAgreement
"commercially distributed good that is (1) tangible property, (2) the output or result of a fabrication, manufacturing, or production process, or (3) something that passes through a distribution channel before being consumed or used.",Entity,"commercially distributed good that is (1) tangible property, (2) the output or result of a fabrication, manufacturing, or production process, or (3) something that passes through a distribution channel before being consumed or used."
hasPartyRole,Entity,hasPartyRole
identifies the service provider that provisions the service or facility,Entity,identifies the service provider that provisions the service or facility
contractual product that is finalized through specification of values for parameters defined in a template,Entity,contractual product that is finalized through specification of values for parameters defined in a template
indicates the purchasing party in the context of a sales transaction,Entity,indicates the purchasing party in the context of a sales transaction
"identifies the party (supplier, vendor, distributor, etc.) that makes a product available",Entity,"identifies the party (supplier, vendor, distributor, etc.) that makes a product available"
intangible activity performed by some party for the benefit of another party,Entity,intangible activity performed by some party for the benefit of another party
PartyRole,Entity,PartyRole
client,Entity,client
sale,Entity,sale
sequence of characters uniquely identifying a customer within the context of some organization,Entity,sequence of characters uniquely identifying a customer within the context of some organization
isEvidencedBy,Entity,isEvidencedBy
product identifier,Entity,product identifier
ProductsAndServices.rdf version of this ontology was revised to leverage the new party identifier.,Entity,ProductsAndServices.rdf version of this ontology was revised to leverage the new party identifier.
Products and Services Ontology,Entity,Products and Services Ontology
N77d669dc4f6b4a05b803afcf11f47cf1,Entity,N77d669dc4f6b4a05b803afcf11f47cf1
"links a party in the role of broker, dealer, vendor, or merchandiser to something that they make available for sale",Entity,"links a party in the role of broker, dealer, vendor, or merchandiser to something that they make available for sale"
N641bde6ede844b518971d7fe1372f9a5,Entity,N641bde6ede844b518971d7fe1372f9a5
service contract,Entity,service contract
party that purchases something in exchange for money or other consideration under a contract of sale,Entity,party that purchases something in exchange for money or other consideration under a contract of sale
N66ebf81cd5704600aba3fd9301e20eb0,Entity,N66ebf81cd5704600aba3fd9301e20eb0
