id,type,name
"The REA Economic Agreement may or may not be between two distinct legal persons, as the REA scope includes transactions within organizations. For REA based transaction models which are between separate legal entities or persons, the form of agreement in force is this Contractual Economic Agreement, that is the agreement, backed by a written or implied contract, which is in force between the parties to this agreement.",Entity,"The REA Economic Agreement may or may not be between two distinct legal persons, as the REA scope includes transactions within organizations. For REA based transaction models which are between separate legal entities or persons, the form of agreement in force is this Contractual Economic Agreement, that is the agreement, backed by a written or implied contract, which is in force between the parties to this agreement."
Nc5504341d43c480db4724b1eff6cdd5f,Entity,Nc5504341d43c480db4724b1eff6cdd5f
N46e2c75ea2794213856f4079f6f57309,Entity,N46e2c75ea2794213856f4079f6f57309
transacts with,Entity,transacts with
transaction embodies economic agreement,Entity,transaction embodies economic agreement
2,Entity,2
DatedCollectionConstituent,Entity,DatedCollectionConstituent
EconomicCommitment,Entity,EconomicCommitment
"In REA, transactions may include those which are not between legal entities,such as for example internal transactions within a business and between business units. This term Contractual Transaction Party forms the basis for all party definitions for transactions which have some formal contractual basis as being between discrete legal entities (legal persons or other contractually capable entities e.g. non incorporated entities). This is the basis for all derivatives transactions, securities market transactions and so on.",Entity,"In REA, transactions may include those which are not between legal entities,such as for example internal transactions within a business and between business units. This term Contractual Transaction Party forms the basis for all party definitions for transactions which have some formal contractual basis as being between discrete legal entities (legal persons or other contractually capable entities e.g. non incorporated entities). This is the basis for all derivatives transactions, securities market transactions and so on."
isRegisteredIn,Entity,isRegisteredIn
givesRiseTo,Entity,givesRiseTo
MutualCommitment,Entity,MutualCommitment
EconomicTransaction,Entity,EconomicTransaction
TransactionParty,Entity,TransactionParty
owl#Restriction,Entity,owl#Restriction
is undertaking to,Entity,is undertaking to
EconomicResource,Entity,EconomicResource
transaction event,Entity,transaction event
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
triggers,Entity,triggers
N69bbba559db347229bc0243b81b89449,Entity,N69bbba559db347229bc0243b81b89449
1,Entity,1
The imbalance in Obligations or Rights (depending on the viewpoint from which it is described) between one party and another.,Entity,The imbalance in Obligations or Rights (depending on the viewpoint from which it is described) between one party and another.
has corresponding alternative aspect,Entity,has corresponding alternative aspect
N60e2f6fdbc12453eacd52ad48da81922,Entity,N60e2f6fdbc12453eacd52ad48da81922
Na24dcf5faa2843119077078fee19385b,Entity,Na24dcf5faa2843119077078fee19385b
isPlayedBy,Entity,isPlayedBy
Na0b33c4a0e784e799a4d6972306cd70e,Entity,Na0b33c4a0e784e799a4d6972306cd70e
"The Master Agreement sets out the terms and conditions under which these transactions are to take place between the parties. These are Over the Counter transactions, including OTC Derivatives.",Entity,"The Master Agreement sets out the terms and conditions under which these transactions are to take place between the parties. These are Over the Counter transactions, including OTC Derivatives."
MutualContractualAgreement,Entity,MutualContractualAgreement
ContractualTransaction,Entity,ContractualTransaction
Nb671ce8661894db097025167aed8fee7,Entity,Nb671ce8661894db097025167aed8fee7
hasPartyRole,Entity,hasPartyRole
definedInContextOf,Entity,definedInContextOf
Some undertaking to act.,Entity,Some undertaking to act.
transacted under,Entity,transacted under
PartyRole,Entity,PartyRole
is imbalance in,Entity,is imbalance in
gives rise to,Entity,gives rise to
Contract,Entity,Contract
transactionEmbodiesEconomicAgreement,Entity,transactionEmbodiesEconomicAgreement
N6d573ad5db5b49fe8728470fd4ab487d,Entity,N6d573ad5db5b49fe8728470fd4ab487d
"activity) which can be framed as an economic resource in the context of exchanging it for some other economic resource. Scope Note: Economic Resource may also define things which are not exchanged but are defined as resources in some other context, for example Capital is a kind of economic resource.",Entity,"activity) which can be framed as an economic resource in the context of exchanging it for some other economic resource. Scope Note: Economic Resource may also define things which are not exchanged but are defined as resources in some other context, for example Capital is a kind of economic resource."
isMadeAsPartOf,Entity,isMadeAsPartOf
takesMaterialForm,Entity,takesMaterialForm
has perspective,Entity,has perspective
"This is distinct from a transaction between business units within an enterprise. This is the usual sense of ""Transaction"" and forms the basis for all securities and derivatives transactions, while the parent term ""Economic Transaction"" may also be used to define internal transactions and transactions that have no legal or contractual basis.",Entity,"This is distinct from a transaction between business units within an enterprise. This is the usual sense of ""Transaction"" and forms the basis for all securities and derivatives transactions, while the parent term ""Economic Transaction"" may also be used to define internal transactions and transactions that have no legal or contractual basis."
transactedUnder,Entity,transactedUnder
MIT,Entity,MIT
This describes an event. The event may be delivery of something or settlement of monies in payment for something delivered. A Transaction Event will have terms describing the commitment embodied in that side of that transaction.,Entity,This describes an event. The event may be delivery of something or settlement of monies in payment for something delivered. A Transaction Event will have terms describing the commitment embodied in that side of that transaction.
hasMonetaryAmount,Entity,hasMonetaryAmount
An economic transaction which has some contractual basis.,Entity,An economic transaction which has some contractual basis.
A contract relating to and governing an economic transaction between two parties.,Entity,A contract relating to and governing an economic transaction between two parties.
Some exchange of some items of economic value between two parties (economic agents).,Entity,Some exchange of some items of economic value between two parties (economic agents).
Informative,Entity,Informative
"Some Commitment which forms part of the subject of some Transaction, being an undertaking by one or other of the parties to the transaction, extended to the other party to that same transaction.",Entity,"Some Commitment which forms part of the subject of some Transaction, being an undertaking by one or other of the parties to the transaction, extended to the other party to that same transaction."
N5b8bb360ba8f4731af598c2276176128,Entity,N5b8bb360ba8f4731af598c2276176128
"An economic agreement forming part of a transaction, which has contractual standing as evidenced by a contract between the two parties to the Agreement.",Entity,"An economic agreement forming part of a transaction, which has contractual standing as evidenced by a contract between the two parties to the Agreement."
economic commitment,Entity,economic commitment
Agreement,Entity,Agreement
CoveredTransaction,Entity,CoveredTransaction
LedgerAccount,Entity,LedgerAccount
hasCorresponding,Entity,hasCorresponding
transactionEventFollowsBusinessProcess,Entity,transactionEventFollowsBusinessProcess
Nbb285387b73741af999e7e3cc8668fa5,Entity,Nbb285387b73741af999e7e3cc8668fa5
ContractParty,Entity,ContractParty
defined in context of,Entity,defined in context of
A transaction covered by some Master Agreement.,Entity,A transaction covered by some Master Agreement.
transaction party,Entity,transaction party
owl#ObjectProperty,Entity,owl#ObjectProperty
ContractualCommitment,Entity,ContractualCommitment
N2ee36a6bff50443ab637bc7bba542d33,Entity,N2ee36a6bff50443ab637bc7bba542d33
Na80c30fb399b43a192e666dc166d10f0,Entity,Na80c30fb399b43a192e666dc166d10f0
r e a claim,Entity,r e a claim
ContractualTransactionParty,Entity,ContractualTransactionParty
