source_id,target_id,relationship
RealEstate,real estate asset,synonym
RealProperty,"Real property may be classified according to its general use as residential, commercial, agricultural, industrial, or special purpose. This term is sometimes used synonymously with 'real estate', though not in all circumstances under US law.",explanatoryNote
RealProperty,real property,rdf-schema#label
RealPropertyIdentifier,unique identifier given to identify a specific real property in some jurisidiction,core#definition
RealPropertyAppraisal,N13937f54e1ed474392c251480864cd97,rdf-schema#subClassOf
RealEstate,RealEstate,owl#equivalentClass
N32de737a41254e10a79ec5431fd85046,RealProperty,owl#someValuesFrom
TractOfLand,N143b059df1b94f2aa664f5de52301234,rdf-schema#subClassOf
RealEstate,Asset,rdf-schema#subClassOf
N1df3dbad200b4baba1f9a21cc1c96cab,Jurisdiction,owl#onClass
RealPropertyAppraisal,N32de737a41254e10a79ec5431fd85046,rdf-schema#subClassOf
RealPropertyAppraisal,real property appraisal,rdf-schema#label
,"This ontology defines concepts including real and personal property from a legal perspective, as well as assessments of those assets, for reference for taxation, lending, and related purposes.",abstract
PropertyInspection,"The concept of a property inspection is separate from conducting an overarching appraisal. Examples are termite inspections, construction inspections, evaluation for completion of some milestone, improvement, correction, etc.",explanatoryNote
RealProperty,parcel,synonym
,Real Property Ontology,rdf-schema#label
RealProperty,N7ef1ebcea73b48d68b83b55eff5ae653,rdf-schema#subClassOf
RealProperty,600.101,adaptedFrom
RealPropertyAppraisal,owl#Class,22-rdf-syntax-ns#type
N143b059df1b94f2aa664f5de52301234,GeographicRegion,owl#someValuesFrom
RealPropertyIdentifier,Ne82f4a3f0e8a42b58138373d8908a4f6,rdf-schema#subClassOf
Ne82f4a3f0e8a42b58138373d8908a4f6,0,owl#minQualifiedCardinality
RealPropertyAppraisal,The valuation uses one or more methodologies and is conducted by an appraiser or technology with a logical model that performs the same function.,explanatoryNote
PersonalProperty,"Personal property may include tangible assets, such as machinery, furniture, vehicles, artwork, and jewelry, regardless of whether such assets are owned by a person or organization, and intangible assets, including but not limited to intellectual property and financial instruments.",explanatoryNote
PropertyInspectionReport,AssessmentReport,rdf-schema#subClassOf
PersonalProperty,owl#Class,22-rdf-syntax-ns#type
N13937f54e1ed474392c251480864cd97,0,owl#minQualifiedCardinality
N75be46bc6a874fd7b29834901510a94b,RealProperty,owl#someValuesFrom
N13937f54e1ed474392c251480864cd97,owl#Restriction,22-rdf-syntax-ns#type
Na776e5be51094f6f8382b7c706286ee5,0,owl#minQualifiedCardinality
Na776e5be51094f6f8382b7c706286ee5,owl#Restriction,22-rdf-syntax-ns#type
N04633676f5fd4edfbf48254aa68d5b57,owl#Restriction,22-rdf-syntax-ns#type
RealProperty,RealEstate,rdf-schema#subClassOf
TractOfLand,"or a narrative description, such as 'metes and bounds', which provides a qualitative, but less precise, legal description of the location. The system(s) used to describe the tract are specified in local, regional, and national law.",explanatoryNote
,"Copyright (c) 2024 Object Management Group, Inc.",copyright
PersonalProperty,RealProperty,owl#disjointWith
,,owl#imports
N7ef1ebcea73b48d68b83b55eff5ae653,RealPropertyAppraisal,owl#onClass
N143b059df1b94f2aa664f5de52301234,owl#Restriction,22-rdf-syntax-ns#type
TractIdentifier,unique identifier given to identify a tract in some jurisidiction,core#definition
N195d22fcc99c46b99d7684cc7c92f77d,evaluates,owl#onProperty
PropertyInspectionReport,report covering the findings of a property inspection,core#definition
PropertyInspection,event that involves analyzing one or more aspects of a real property,core#definition
N1df3dbad200b4baba1f9a21cc1c96cab,isApplicableIn,owl#onProperty
N017d14219e7d4644840ab1c381f35a8a,identifies,owl#onProperty
,,owl#versionIRI
N7ef1ebcea73b48d68b83b55eff5ae653,0,owl#minQualifiedCardinality
N7f5e4f4e60ec4025ab510554177febf0,isEvaluatedBy,owl#onProperty
TractIdentifier,N1df3dbad200b4baba1f9a21cc1c96cab,rdf-schema#subClassOf
PersonalProperty,N7f5e4f4e60ec4025ab510554177febf0,rdf-schema#subClassOf
RealPropertyIdentifier,real property identifier,rdf-schema#label
RealEstate,real estate,rdf-schema#label
,owl#Ontology,22-rdf-syntax-ns#type
TractIdentifier,ContextualIdentifier,rdf-schema#subClassOf
TractIdentifier,owl#Class,22-rdf-syntax-ns#type
PersonalProperty,personal property,rdf-schema#label
N017d14219e7d4644840ab1c381f35a8a,1,owl#qualifiedCardinality
N7ef1ebcea73b48d68b83b55eff5ae653,isEvaluatedBy,owl#onProperty
