id,type,name
isHeldBy,Entity,isHeldBy
"Note that the hasTextualName property has an implicit range of rdfs:Literal. This is purposeful, so that users can specify any element that has a name with or without a language tag without concern for conflicting datatypes (i.e., xsd:string vs. rdf:langString, which are logically disjoint).",Entity,"Note that the hasTextualName property has an implicit range of rdfs:Literal. This is purposeful, so that users can specify any element that has a name with or without a language tag without concern for conflicting datatypes (i.e., xsd:string vs. rdf:langString, which are logically disjoint)."
involves,Entity,involves
"something that another concept stands for, exemplifies, symbolizes, or otherwise mentions",Entity,"something that another concept stands for, exemplifies, symbolizes, or otherwise mentions"
"Relations.rdf version of this ontology was modified to eliminate duplication with concepts in LCC and remove the unused hasDispositionDate property, whose semantics were unclear at best.",Entity,"Relations.rdf version of this ontology was modified to eliminate duplication with concepts in LCC and remove the unused hasDispositionDate property, whose semantics were unclear at best."
exchanges,Entity,exchanges
is produced by,Entity,is produced by
"a relationship between a right or obligation and the vehicle, such as an agreement or contract, that vests (or confers) said right or obligation",Entity,"a relationship between a right or obligation and the vehicle, such as an agreement or contract, that vests (or confers) said right or obligation"
"relates a contract, agreement, jurisdiction, or other legal construct and the regulation, policy, procedure, or legal person that regulates or oversees (governs) it",Entity,"relates a contract, agreement, jurisdiction, or other legal construct and the regulation, policy, procedure, or legal person that regulates or oversees (governs) it"
combination of alphanumeric characters corresponding to a label for something,Entity,combination of alphanumeric characters corresponding to a label for something
relates a party to something that it directs in some way,Entity,relates a party to something that it directs in some way
is governed by,Entity,is governed by
wasFormerlyKnownAs,Entity,wasFormerlyKnownAs
is ascertained or determined by,Entity,is ascertained or determined by
is controlled by,Entity,is controlled by
"Copyright (c) 2013-2024 EDM Council, Inc.",Entity,"Copyright (c) 2013-2024 EDM Council, Inc."
is made available by,Entity,is made available by
has alias,Entity,has alias
relates something to another thing that has some role in directing its affairs,Entity,relates something to another thing that has some role in directing its affairs
XMLSchema#string,Entity,XMLSchema#string
isIssuedBy,Entity,isIssuedBy
Relations.rdf version of the ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,Relations.rdf version of the ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
"relates a responsibility, capacity, or action to that which requires it",Entity,"relates a responsibility, capacity, or action to that which requires it"
hasCommonName,Entity,hasCommonName
"Text-valued tags may be useful for automated transformation or encoding systems, such as those used to produce IETF compliant language tags in XML. Such tags are required to be string-valued in FIBO, but not language-tagged strings.",Entity,"Text-valued tags may be useful for automated transformation or encoding systems, such as those used to produce IETF compliant language tags in XML. Such tags are required to be string-valued in FIBO, but not language-tagged strings."
"relationship between an event or set of events or factors (the cause) and a second event, phenomenon, situation, or result (the effect), where the second event or outcome is understood as a consequence of the first",Entity,"relationship between an event or set of events or factors (the cause) and a second event, phenomenon, situation, or result (the effect), where the second event or outcome is understood as a consequence of the first"
has tag,Entity,has tag
(of a situation or event) includes (something) as a necessary part or result,Entity,(of a situation or event) includes (something) as a necessary part or result
hasTextualName,Entity,hasTextualName
indicates the party that has assigned or appointed someone to an office or position,Entity,indicates the party that has assigned or appointed someone to an office or position
is made concrete or is realized by,Entity,is made concrete or is realized by
isGeneratedBy,Entity,isGeneratedBy
specifies the name used to refer to a party in legal communications,Entity,specifies the name used to refer to a party in legal communications
"This property is intended to cover assigning a job or role to someone, selecting or designating someone to fill an office or a position, and fixing or setting by authority or by mutual agreement.",Entity,"This property is intended to cover assigning a job or role to someone, selecting or designating someone to fill an office or a position, and fixing or setting by authority or by mutual agreement."
'is signified by' relates a concept to some textual or other symbol which is intended to convey the sense of that concept or to some form of words that sets out the meaning of that concept.,Entity,'is signified by' relates a concept to some textual or other symbol which is intended to convey the sense of that concept or to some form of words that sets out the meaning of that concept.
invests with,Entity,invests with
is a concrete realization or example of,Entity,is a concrete realization or example of
owl#DatatypeProperty,Entity,owl#DatatypeProperty
MIT,Entity,MIT
Relations.rdf version of this ontology was modified to remove the deprecated hasTag property.,Entity,Relations.rdf version of this ontology was modified to remove the deprecated hasTag property.
is issued by,Entity,is issued by
"Relations.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"Relations.rdf version of this ontology was modified to move the property, 'is conferred on' to the Legal Capacity ontology and to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
"identifies some party or something that produces something via some equation, logic, or rules",Entity,"identifies some party or something that produces something via some equation, logic, or rules"
This property should be read as being the property of some thing and as referring to a logical union of social construct (in the informative abstractions ontology) and legal person.,Entity,This property should be read as being the property of some thing and as referring to a logical union of social construct (in the informative abstractions ontology) and legal person.
has formal name,Entity,has formal name
"creates through a fabrication, manufacturing or production process",Entity,"creates through a fabrication, manufacturing or production process"
controls,Entity,controls
"indicates a name by which something is frequently referred, without reference to any formal usage or structure",Entity,"indicates a name by which something is frequently referred, without reference to any formal usage or structure"
isProducedBy,Entity,isProducedBy
generates,Entity,generates
.,Entity,.
mandates,Entity,mandates
isExemplifiedBy,Entity,isExemplifiedBy
