source_id,target_id,relationship
Lake,LK,preferredDesignation
River,river,rdf-schema#label
Mount,MT,commonDesignation
Mall,StreetSuffix,22-rdf-syntax-ns#type
Heights,StreetSuffix,22-rdf-syntax-ns#type
Divide,DVD,commonDesignation
Drives,DRIVES,commonDesignation
Spurs,spurs,rdf-schema#label
Cove,CV,preferredDesignation
Well,owl#NamedIndividual,22-rdf-syntax-ns#type
Ports,StreetSuffix,22-rdf-syntax-ns#type
Stream,owl#NamedIndividual,22-rdf-syntax-ns#type
RI,owl#NamedIndividual,22-rdf-syntax-ns#type
Ferry,FRY,preferredDesignation
DE,Delaware,denotes
US-TN,owl#NamedIndividual,22-rdf-syntax-ns#type
Extension,EXTN,commonDesignation
Fort,FT,commonDesignation
Meadow,StreetSuffix,22-rdf-syntax-ns#type
CA-PE,owl#NamedIndividual,22-rdf-syntax-ns#type
WY,UnitedStatesOfAmerica,isUsedBy
Ridges,owl#NamedIndividual,22-rdf-syntax-ns#type
Way,way,rdf-schema#label
US-AE,"subdivision code for the state designation for Armed Forces Europe, the Middle East, and Canada",core#definition
Crossroads,crossroads,rdf-schema#label
AK,US-specific code for the designation for Alaska,core#definition
Orchard,StreetSuffix,22-rdf-syntax-ns#type
ArmedForcesAmericas,"state designation for Armed Forces Americas, excluding Canada",core#definition
AK,Alaska,identifies
Meadows,MEADOWS,commonDesignation
Ranch,RNCH,commonDesignation
CO,CO,hasTag
Wells,owl#NamedIndividual,22-rdf-syntax-ns#type
Junctions,JCTNS,commonDesignation
CA,US-specific code for the designation for California,core#definition
Corners,corners,rdf-schema#label
Place,StreetSuffix,22-rdf-syntax-ns#type
Circle,CIRC,commonDesignation
GU,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Bluff,owl#NamedIndividual,22-rdf-syntax-ns#type
Summit,SMT,preferredDesignation
Plains,PLAINS,commonDesignation
CA-SK,owl#NamedIndividual,22-rdf-syntax-ns#type
Station,StreetSuffix,22-rdf-syntax-ns#type
Wells,StreetSuffix,22-rdf-syntax-ns#type
FL,UnitedStatesOfAmerica,isUsedBy
,,owl#versionIRI
US-IA,IA,preferredDesignation
Cliffs,cliffs,rdf-schema#label
Dam,StreetSuffix,22-rdf-syntax-ns#type
US-PA,owl#NamedIndividual,22-rdf-syntax-ns#type
IL,Illinois,identifies
Mall,MALL,preferredDesignation
Greens,StreetSuffix,22-rdf-syntax-ns#type
OK,Oklahoma,identifies
Harbors,HBRS,preferredDesignation
Circle,StreetSuffix,22-rdf-syntax-ns#type
Rapid,RPD,preferredDesignation
Corners,CORS,commonDesignation
US-DC,owl#NamedIndividual,22-rdf-syntax-ns#type
RI,RI,rdf-schema#label
US-WY,owl#NamedIndividual,22-rdf-syntax-ns#type
NT,NT,preferredDesignation
MT,MT,preferredDesignation
MA,US-specific code for the designation for Massachusetts,core#definition
NE,NE,hasTag
ArmedForcesEurope,owl#NamedIndividual,22-rdf-syntax-ns#type
OR,owl#NamedIndividual,22-rdf-syntax-ns#type
WV,WV,hasTag
MA,MA,rdf-schema#label
Ferry,ferry,rdf-schema#label
US-AP,owl#NamedIndividual,22-rdf-syntax-ns#type
Mountain,MOUNTIN,commonDesignation
US-MD,MD,preferredDesignation
Falls,FLS,commonDesignation
Parkway,owl#NamedIndividual,22-rdf-syntax-ns#type
ID,ID,rdf-schema#label
Loop,LOOP,preferredDesignation
NS,NovaScotia,identifies
Shores,shores,rdf-schema#label
SK,Saskatchewan,identifies
ArmedForcesAmericas,owl#NamedIndividual,22-rdf-syntax-ns#type
Harbors,HARBORS,commonDesignation
GU,US-specific code for the designation for Guam,core#definition
Bend,bend,rdf-schema#label
WI,Wisconsin,identifies
UT,UT,hasTag
Crossing,CROSSING,commonDesignation
Road,StreetSuffix,22-rdf-syntax-ns#type
Canyon,owl#NamedIndividual,22-rdf-syntax-ns#type
KS,Kansas,identifies
US-AZ,owl#NamedIndividual,22-rdf-syntax-ns#type
CA,owl#NamedIndividual,22-rdf-syntax-ns#type
ME,owl#NamedIndividual,22-rdf-syntax-ns#type
CT,RegionSpecificIdentifier,22-rdf-syntax-ns#type
MO,MO,hasTag
Pike,owl#NamedIndividual,22-rdf-syntax-ns#type
AA,owl#NamedIndividual,22-rdf-syntax-ns#type
Passage,PASSAGE,commonDesignation
Orchard,ORCHRD,commonDesignation
Streets,STS,preferredDesignation
Circles,owl#NamedIndividual,22-rdf-syntax-ns#type
Light,light,rdf-schema#label
Lakes,lakes,rdf-schema#label
PA,Pennsylvania,identifies
Overpass,overpass,rdf-schema#label
Junction,owl#NamedIndividual,22-rdf-syntax-ns#type
Mission,owl#NamedIndividual,22-rdf-syntax-ns#type
Pike,StreetSuffix,22-rdf-syntax-ns#type
Keys,KYS,commonDesignation
,pub28.pdf,rdf-schema#seeAlso
Isle,StreetSuffix,22-rdf-syntax-ns#type
WI,owl#NamedIndividual,22-rdf-syntax-ns#type
Vista,VSTA,commonDesignation
Cliffs,owl#NamedIndividual,22-rdf-syntax-ns#type
Pike,pike,rdf-schema#label
Forge,owl#NamedIndividual,22-rdf-syntax-ns#type
Bluffs,"multiple broad, rounded cliffs",core#definition
US-DC,DC,preferredDesignation
Mission,StreetSuffix,22-rdf-syntax-ns#type
KY,US-specific code for the designation for Kentucky,core#definition
MI,MI,rdf-schema#label
Greens,GREENS,commonDesignation
Groves,GRVS,preferredDesignation
US-SC,owl#NamedIndividual,22-rdf-syntax-ns#type
Garden,GARDEN,commonDesignation
Port,port,rdf-schema#label
Junction,JCT,preferredDesignation
CT,owl#NamedIndividual,22-rdf-syntax-ns#type
Valley,owl#NamedIndividual,22-rdf-syntax-ns#type
Radial,RADIAL,commonDesignation
ID,US-specific code for the designation for Idaho,core#definition
Course,StreetSuffix,22-rdf-syntax-ns#type
,USPostalServiceAddressesIndividuals.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,core#changeNote
Route,ROUTE,commonDesignation
Extensions,extensions,rdf-schema#label
ON,ON,preferredDesignation
TN,RegionSpecificIdentifier,22-rdf-syntax-ns#type
US-OH,OH,preferredDesignation
Expressway,EXPRESSWAY,commonDesignation
DE,DE,hasTag
Valleys,VLYS,commonDesignation
ArmedForcesEurope,UnitedStatesOfAmerica,isSubregionOf
MB,Manitoba,denotes
Glen,GLN,commonDesignation
HI,HI,hasTag
Extension,EXT,preferredDesignation
Burg,BURG,commonDesignation
NL,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Roads,RDS,preferredDesignation
Spring,SPNG,commonDesignation
Fork,StreetSuffix,22-rdf-syntax-ns#type
LA,RegionSpecificIdentifier,22-rdf-syntax-ns#type
MB,MB,rdf-schema#label
Brook,"small, natural freshwater stream",core#definition
Canyon,CNYN,commonDesignation
VA,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Track,TRAK,preferredDesignation
Radial,RADL,preferredDesignation
Fords,StreetSuffix,22-rdf-syntax-ns#type
NM,NM,hasTag
Mill,StreetSuffix,22-rdf-syntax-ns#type
AE,ArmedForcesEurope,identifies
Station,STN,commonDesignation
Boulevard,"broad thoroughfare in a city, usually having areas at the sides or center for trees, grass, or flowers",core#definition
US-WY,WY,preferredDesignation
Track,owl#NamedIndividual,22-rdf-syntax-ns#type
Arcade,"arched or covered passageway, usually with shops on each side",core#definition
NY,NY,hasTag
Forge,FRG,preferredDesignation
Bridge,BRG,commonDesignation
SD,RegionSpecificIdentifier,22-rdf-syntax-ns#type
Crescent,CRSNT,commonDesignation
Center,CENT,commonDesignation
Cliffs,CLFS,preferredDesignation
PR,PR,hasTag
AZ,US-specific code for the designation for Arizona,core#definition
WY,WY,hasTag
MI,US-specific code for the designation for Michigan,core#definition
IN,UnitedStatesOfAmerica,isUsedBy
Brook,BRK,commonDesignation
Shoals,StreetSuffix,22-rdf-syntax-ns#type
US-OH,owl#NamedIndividual,22-rdf-syntax-ns#type
Mountains,StreetSuffix,22-rdf-syntax-ns#type
Forks,FORKS,commonDesignation
Bottom,bottom,rdf-schema#label
Course,course,rdf-schema#label
Spurs,StreetSuffix,22-rdf-syntax-ns#type
Rue,RUE,preferredDesignation
,owl#Ontology,22-rdf-syntax-ns#type
