id,type,name
PH,Entity,PH
Key,Entity,Key
"delivery address whose delivery address line uses an abbreviation for the unit or command such as 'CMR', 'PSC', or 'UNIT', or 'HC', followed by the unit identifier, followed by 'BOX' followed by box number, in place of a street address, either 'APO' or 'FPO' as the literal value for the city and the appropriate armed forces subdivision code in place of a subdivision (state) code",Entity,"delivery address whose delivery address line uses an abbreviation for the unit or command such as 'CMR', 'PSC', or 'UNIT', or 'HC', followed by the unit identifier, followed by 'BOX' followed by box number, in place of a street address, either 'APO' or 'FPO' as the literal value for the city and the appropriate armed forces subdivision code in place of a subdivision (state) code"
Ndd0b9cf871c74b93ab0fa6a9f375e5b3,Entity,Ndd0b9cf871c74b93ab0fa6a9f375e5b3
N25901fca39424bbca861f22b7d528019,Entity,N25901fca39424bbca861f22b7d528019
has urbanization,Entity,has urbanization
component of a Department of State address that includes 'UNIT' followed by the unit identifier,Entity,component of a Department of State address that includes 'UNIT' followed by the unit identifier
A complete address may be required on mail at some automation rates.,Entity,A complete address may be required on mail at some automation rates.
N76aa5dda1bb74684a5d100e625b67cd7,Entity,N76aa5dda1bb74684a5d100e625b67cd7
post office box designator,Entity,post office box designator
hasUrbanization,Entity,hasUrbanization
standardized address,Entity,standardized address
Department,Entity,Department
HNGR,Entity,HNGR
RR,Entity,RR
PrivateMailBoxAddress,Entity,PrivateMailBoxAddress
Country,Entity,Country
owl#Restriction,Entity,owl#Restriction
MailboxDesignator,Entity,MailboxDesignator
Nfd44e37f4aae443c83842e6f6f4b1b64,Entity,Nfd44e37f4aae443c83842e6f6f4b1b64
"The correct format for a numeric ZIP+4 code is five digits, a hyphen, and four digits. The first five digits represent the 5-digit ZIP Code; the sixth and seventh digits (the first two after the hyphen) identify an area known as a sector; the eighth and ninth digits identify a smaller area known as a segment. Together, the final four digits identify geographic units such as a side of a street between intersections, both sides of a street between intersections, a building, a floor or group of floors in a building, a firm within a building, a span of boxes on a rural route, or a group of Post Office boxes to which a single USPS employee makes delivery.",Entity,"The correct format for a numeric ZIP+4 code is five digits, a hyphen, and four digits. The first five digits represent the 5-digit ZIP Code; the sixth and seventh digits (the first two after the hyphen) identify an area known as a sector; the eighth and ninth digits identify a smaller area known as a segment. Together, the final four digits identify geographic units such as a side of a street between intersections, both sides of a street between intersections, a building, a floor or group of floors in a building, a firm within a building, a span of boxes on a rural route, or a group of Post Office boxes to which a single USPS employee makes delivery."
S,Entity,S
overseas military address,Entity,overseas military address
Penthouse,Entity,Penthouse
owl#NamedIndividual,Entity,owl#NamedIndividual
XMLSchema#string,Entity,XMLSchema#string
HighwayContractRouteDesignator,Entity,HighwayContractRouteDesignator
U.S. Postal Service address identifier,Entity,U.S. Postal Service address identifier
DEPT,Entity,DEPT
UNIT,Entity,UNIT
DepartmentOfStateUnitComponent,Entity,DepartmentOfStateUnitComponent
1,Entity,1
Pier,Entity,Pier
CodeSet,Entity,CodeSet
Suroeste,Entity,Suroeste
DeliveryAddressCodeSet,Entity,DeliveryAddressCodeSet
Na170959ee848494bb83c4bf5f9f59d8a,Entity,Na170959ee848494bb83c4bf5f9f59d8a
CodeElement,Entity,CodeElement
Nd0285990f5f34d348f92b1ef8a3bb30e,Entity,Nd0285990f5f34d348f92b1ef8a3bb30e
West,Entity,West
NE,Entity,NE
Postcode,Entity,Postcode
PhysicalAddress,Entity,PhysicalAddress
Slip,Entity,Slip
"This ontology augments the Addresses ontology in FND with concepts that conform to the USPS Pub 28. The USPS provides automated address verification services that use the concepts defined herein for that purpose, and which many financial services entities use for data quality purposes.",Entity,"This ontology augments the Addresses ontology in FND with concepts that conform to the USPS Pub 28. The USPS provides automated address verification services that use the concepts defined herein for that purpose, and which many financial services entities use for data quality purposes."
N4979014ca59b4af99ca9c3bd3a184215,Entity,N4979014ca59b4af99ca9c3bd3a184215
Upper,Entity,Upper
highway contract address,Entity,highway contract address
BLDG,Entity,BLDG
"delivery address that is fully spelled out, abbreviated by using the Postal Service standard abbreviations or as given in the current Postal Service ZIP+4 file",Entity,"delivery address that is fully spelled out, abbreviated by using the Postal Service standard abbreviations or as given in the current Postal Service ZIP+4 file"
FRNT,Entity,FRNT
GENERAL DELIVERY,Entity,GENERAL DELIVERY
HighwayContractRouteAddress,Entity,HighwayContractRouteAddress
N30a695615c5348189abf0049b0325a52,Entity,N30a695615c5348189abf0049b0325a52
DeliveryPointCode,Entity,DeliveryPointCode
Sureste,Entity,Sureste
ZIP+4 Code,Entity,ZIP+4 Code
USPostalServiceAddresses.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,USPostalServiceAddresses.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
Suite,Entity,Suite
PO BOX,Entity,PO BOX
N1adac9ebfcaf4379ac252a64a6924b25,Entity,N1adac9ebfcaf4379ac252a64a6924b25
Southeast,Entity,Southeast
mailbox,Entity,mailbox
SW,Entity,SW
"mailbox, other than a U.S. Post Office box, associated with an address",Entity,"mailbox, other than a U.S. Post Office box, associated with an address"
REAR,Entity,REAR
isMemberOf,Entity,isMemberOf
MIT,Entity,MIT
