source_id,target_id,relationship
,"Bureau of Economic Analysis (BEA, US Department of Commerce)",contributor
,"The 'all' ontology for IND example individuals is provided for convenience for FIBO users. This ontology does not add new assertions, but imports all of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), Indices and Indicators (IND), and Securities (SEC) domains, including all individuals, with examples of how to encode information for benchmarks such as the Dow Jones Industrial Average (DJIA). Note that in order to model such benchmarks, the example securities provided in SEC are reused.",explanatoryNote
,Statistics Canada,contributor
,"Copyright (c) 2014-2023 EDM Council, Inc.",copyright
,,owl#imports
,Thematix Partners LLC,contributor
,Deutsche Bank,contributor
,MIT,license
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,Federal Reserve Bank of Kansas City,contributor
,2018-08-27T18:00:00,issued
,Bloomberg LP,contributor
,John F. Gemski,contributor
,Census Bureau (US Department of Commerce),contributor
,agnos.ai UK Ltd,contributor
,"Bureau of Labor Statistics (BLS, US Department of Commerce)",contributor
,,owl#versionIRI
,owl#Ontology,22-rdf-syntax-ns#type
,Bank of New York Mellon,contributor
,"The FIBO Indices and Indicators Domain (IND) covers market indices and reference rates including economic indicators, foreign exchange, interest rates, and other benchmarks. The ontologies cover quoted interest rates, economic measures such as employment rates, and quoted indices required to support baskets of securities, including specific kinds of securities in share indices or bond indices, as well as credit indices.",abstract
,"Indices and Indicators Domain, Example Individuals",rdf-schema#label
,Citigroup,contributor
,2023-02-06T18:00:00,modified
,88 Solutions,contributor
,No Magic,contributor
,"Adaptive, Inc.",contributor
, Mphasis,contributor
,Nordea Bank AB,contributor
,"Office of Financial Research (OFR), U.S. Department of the Treasury",contributor
,John F. Tierney,contributor
,"Wells Fargo Bank, N. A.",contributor
,"Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Domain, Example Individuals Extension",title
,"Pinnacle Bank (Morgan Hill, California)",contributor
,Tahoe Blue Ltd,contributor
,"Copyright (c) 2014-2023 Object Management Group, Inc.",copyright
