id,type,name
BasketIndices.rdf version of this ontology was revised to remedy an illegal property chain (replacing it with an existing non-chained property) in the definition of market capitalization.,Entity,BasketIndices.rdf version of this ontology was revised to remedy an illegal property chain (replacing it with an existing non-chained property) in the definition of market capitalization.
constituent of a basket of credit risks,Entity,constituent of a basket of credit risks
indicates the notional amount represented by the index when it is first constituted,Entity,indicates the notional amount represented by the index when it is first constituted
"BasketIndices.rdf version of this ontology was revised to loosen the restriction on a reference index to simply reference any weighted basket so that one could include commodity indices, for example.",Entity,"BasketIndices.rdf version of this ontology was revised to loosen the restriction on a reference index to simply reference any weighted basket so that one could include commodity indices, for example."
has spread range,Entity,has spread range
BasketIndices.rdf version of this ontology was revised to address text processing hygiene issues.,Entity,BasketIndices.rdf version of this ontology was revised to address text processing hygiene issues.
DatedCollectionConstituent,Entity,DatedCollectionConstituent
indicates a premium payable for a contract based on the index,Entity,indicates a premium payable for a contract based on the index
"Copyright (c) 2014-2024 EDM Council, Inc.",Entity,"Copyright (c) 2014-2024 EDM Council, Inc."
has up front fee,Entity,has up front fee
basket of equities,Entity,basket of equities
owl#Restriction,Entity,owl#Restriction
"An index is a function based on a set of structured calculations with respect to a basket of credit risks, financial instruments or other indices over time. Analysis may be computed based on historical values, projected values, etc.",Entity,"An index is a function based on a set of structured calculations with respect to a basket of credit risks, financial instruments or other indices over time. Analysis may be computed based on historical values, projected values, etc."
hasMarketCapitalizationValue,Entity,hasMarketCapitalizationValue
"This ontology defines market indices as hypothetical portfolios of investment holdings that correspond to some segment of the financial market, whose value is determined by the prices of the underlying holdings. Coverage includes credit indices, security-based indices, economic indicator based indices, and combinations thereof.",Entity,"This ontology defines market indices as hypothetical portfolios of investment holdings that correspond to some segment of the financial market, whose value is determined by the prices of the underlying holdings. Coverage includes credit indices, security-based indices, economic indicator based indices, and combinations thereof."
has market capitalization value,Entity,has market capitalization value
XMLSchema#string,Entity,XMLSchema#string
hasSpreadRange,Entity,hasSpreadRange
basket of credit risks,Entity,basket of credit risks
hasArgument,Entity,hasArgument
BasketOfEquities,Entity,BasketOfEquities
hasIndexName,Entity,hasIndexName
hasDebtRanking,Entity,hasDebtRanking
1,Entity,1
number of shares outstanding x price per share,Entity,number of shares outstanding x price per share
CreditIndex,Entity,CreditIndex
BasketIndices.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old and to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,BasketIndices.rdf version of the ontology was modified to eliminate deprecations that are more than 6 months old and to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
hasIndexValue,Entity,hasIndexValue
ListedShare,Entity,ListedShare
hasNotionalAmount,Entity,hasNotionalAmount
hasReportingPeriod,Entity,hasReportingPeriod
N8655923550a848818245d85e096a07a2,Entity,N8655923550a848818245d85e096a07a2
owl#DatatypeProperty,Entity,owl#DatatypeProperty
specifies a formal name for the index,Entity,specifies a formal name for the index
MIT,Entity,MIT
"BasketIndices.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate.",Entity,"BasketIndices.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC), eliminating redundancies in FIBO as appropriate."
ScopedMeasure,Entity,ScopedMeasure
hasUpFrontFee,Entity,hasUpFrontFee
N7a312d7bfb504c2bb111fa6131a35858,Entity,N7a312d7bfb504c2bb111fa6131a35858
hasMonetaryAmount,Entity,hasMonetaryAmount
XMLSchema#nonNegativeInteger,Entity,XMLSchema#nonNegativeInteger
basket of securities whose constituents are listed shares,Entity,basket of securities whose constituents are listed shares
Nf8b017f2286e4418b262ce3304b4086e,Entity,Nf8b017f2286e4418b262ce3304b4086e
refersTo,Entity,refersTo
N12e87664efba4126b55fe2b1589da041,Entity,N12e87664efba4126b55fe2b1589da041
indicates the monetary amount representing the market capitalization of some issuer as of some date,Entity,indicates the monetary amount representing the market capitalization of some issuer as of some date
hasSharesOutstanding,Entity,hasSharesOutstanding
AssetClass,Entity,AssetClass
IndustrySectorClassifier,Entity,IndustrySectorClassifier
ExplicitDatePeriod,Entity,ExplicitDatePeriod
owl#ObjectProperty,Entity,owl#ObjectProperty
has original notional value,Entity,has original notional value
isConstituentOf,Entity,isConstituentOf
Basket Indices Ontology,Entity,Basket Indices Ontology
Currency,Entity,Currency
WeightedBasket,Entity,WeightedBasket
has index value,Entity,has index value
market capitalization,Entity,market capitalization
hasFormalName,Entity,hasFormalName
XMLSchema#decimal,Entity,XMLSchema#decimal
Nd255928148fe4353bdfed80b093b514c,Entity,Nd255928148fe4353bdfed80b093b514c
has premium,Entity,has premium
specifies a fee payable by any party that wishes to participate in a contract based on the index after the start of its life,Entity,specifies a fee payable by any party that wishes to participate in a contract based on the index after the start of its life
N1a7d8f065b2c474abc5062669a1ebdfb,Entity,N1a7d8f065b2c474abc5062669a1ebdfb
the range of credit spread for the constituents of the index,Entity,the range of credit spread for the constituents of the index
CreditEvent,Entity,CreditEvent
comprises,Entity,comprises
Nab5b6fc219bd4b53aebf294739c1e50f,Entity,Nab5b6fc219bd4b53aebf294739c1e50f
hasConstituent,Entity,hasConstituent
appliesTo,Entity,appliesTo
N42049c005dbf46dea206af3bc9a3c70d,Entity,N42049c005dbf46dea206af3bc9a3c70d
isClassifiedBy,Entity,isClassifiedBy
SecuritiesBasketConstituent,Entity,SecuritiesBasketConstituent
N9ed5a1608a22456d814a0eccc11e9e38,Entity,N9ed5a1608a22456d814a0eccc11e9e38
hasReleaseDate,Entity,hasReleaseDate
N1a868adce4254064a260739d4e0979e7,Entity,N1a868adce4254064a260739d4e0979e7
"Such an index does not necessarily reference a static portfolio, as there may be provisions for replacing defaulted securities on which the index depends.",Entity,"Such an index does not necessarily reference a static portfolio, as there may be provisions for replacing defaulted securities on which the index depends."
N5484f68c225742ee8c5a43d869aff57e,Entity,N5484f68c225742ee8c5a43d869aff57e
Date,Entity,Date
has market capitalization,Entity,has market capitalization
Nbee41b73d8ec4303bb3600cc7da2bc92,Entity,Nbee41b73d8ec4303bb3600cc7da2bc92
hasOriginalNotionalValue,Entity,hasOriginalNotionalValue
Release,Entity,Release
,Entity,
N006f034938f744ff845060b71c3a86dc,Entity,N006f034938f744ff845060b71c3a86dc
benchmark,Entity,benchmark
hasPremium,Entity,hasPremium
WeightingFunction,Entity,WeightingFunction
BasketIndices.rdf version of this ontology was revised to reflect the move of hasTerm from FinancialInstruments to Contracts.,Entity,BasketIndices.rdf version of this ontology was revised to reflect the move of hasTerm from FinancialInstruments to Contracts.
N3dd91bd80d0c413ab4960e3cdb3b54ce,Entity,N3dd91bd80d0c413ab4960e3cdb3b54ce
weighting function derived from the relative market capitalization (share price times the number of shares outstanding) of the companies tracked by an index,Entity,weighting function derived from the relative market capitalization (share price times the number of shares outstanding) of the companies tracked by an index
PricePerShare,Entity,PricePerShare
ShareIssuer,Entity,ShareIssuer
reference index that is a function of credit events that change the value of an underlying portfolio,Entity,reference index that is a function of credit events that change the value of an underlying portfolio
EquityIndex,Entity,EquityIndex
ReferenceIndex,Entity,ReferenceIndex
Expression,Entity,Expression
hasPeriodicity,Entity,hasPeriodicity
indicates the ranking of this debt instrument with respect to the credit index as a whole,Entity,indicates the ranking of this debt instrument with respect to the credit index as a whole
Nbae5848dd40240ff94d7656079204860,Entity,Nbae5848dd40240ff94d7656079204860
BasketOfCreditRisks,Entity,BasketOfCreditRisks
N4d50ff2f5a294314825bb8a450e97dd9,Entity,N4d50ff2f5a294314825bb8a450e97dd9
CapitalizationBasedWeightingFunction,Entity,CapitalizationBasedWeightingFunction
indicates the market capitalization of some issuer as of some date,Entity,indicates the market capitalization of some issuer as of some date
MonetaryAmount,Entity,MonetaryAmount
hasObservedDateTime,Entity,hasObservedDateTime
BasketIndices.rdf version of this ontology was revised to eliminate the restriction on reference index that it has an index value - the restriction should be on the quantity value such that the value refers to the indicator it represents.,Entity,BasketIndices.rdf version of this ontology was revised to eliminate the restriction on reference index that it has an index value - the restriction should be on the quantity value such that the value refers to the indicator it represents.
credit index,Entity,credit index
BasketIndices.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,BasketIndices.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
N22e86060bcd24b7a8b36deef06a043bc,Entity,N22e86060bcd24b7a8b36deef06a043bc
hasReleaseDateTime,Entity,hasReleaseDateTime
benchmark whose constituents are exclusively equity instruments,Entity,benchmark whose constituents are exclusively equity instruments
capitalization-based weighting function,Entity,capitalization-based weighting function
N01ed454c392a497a9c0770c150505b35,Entity,N01ed454c392a497a9c0770c150505b35
N383b44293ffb4055a3c2276f37b7f2ea,Entity,N383b44293ffb4055a3c2276f37b7f2ea
equity index,Entity,equity index
22-rdf-syntax-ns#nil,Entity,22-rdf-syntax-ns#nil
has debt ranking,Entity,has debt ranking
hasMarketCapitalization,Entity,hasMarketCapitalization
has index name,Entity,has index name
"Note that the risk related to a given constituent may be calculated based on either (1) the overall credit risk associated with the entity or, (2) the combined risk associated with an entity and the specific instrument identified, or (3) risk associated with the instrument on its own. Criteria for constituents is based on sectors (emerging market, financial, sovereign, etc), spread range (investment grade, non-investment grade), or asset type (loan, bond, mortgage-backed, asset-backed), second criteria is based on maturity of protection (2,3,5,7,10 yrs). Markit manages over 2000 CDS indexes, for example.",Entity,"Note that the risk related to a given constituent may be calculated based on either (1) the overall credit risk associated with the entity or, (2) the combined risk associated with an entity and the specific instrument identified, or (3) risk associated with the instrument on its own. Criteria for constituents is based on sectors (emerging market, financial, sovereign, etc), spread range (investment grade, non-investment grade), or asset type (loan, bond, mortgage-backed, asset-backed), second criteria is based on maturity of protection (2,3,5,7,10 yrs). Markit manages over 2000 CDS indexes, for example."
CreditIndexConstituent,Entity,CreditIndexConstituent
measure of change in the value of the contents of a basket over a given period of time,Entity,measure of change in the value of the contents of a basket over a given period of time
"Copyright (c) 2014-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2014-2024 Object Management Group, Inc."
N53f47e078099462887a98927de2c1549,Entity,N53f47e078099462887a98927de2c1549
hasCurrency,Entity,hasCurrency
N4da45b8624e34f15a6c354c5ad701430,Entity,N4da45b8624e34f15a6c354c5ad701430
Ne790c1bf6c124ccd959dfa9907dba14d,Entity,Ne790c1bf6c124ccd959dfa9907dba14d
isBasedOn,Entity,isBasedOn
DatedStructuredCollection,Entity,DatedStructuredCollection
reference index,Entity,reference index
owl#Class,Entity,owl#Class
BasketIndices.rdf version of this ontology was revised to add the details needed to calculate market cap for a capitalization-based weighting function.,Entity,BasketIndices.rdf version of this ontology was revised to add the details needed to calculate market cap for a capitalization-based weighting function.
BasketIndices.rdf version of the ontology was modified to eliminate punning in the definition of market cap.,Entity,BasketIndices.rdf version of the ontology was modified to eliminate punning in the definition of market cap.
market cap,Entity,market cap
BasketOfSecurities,Entity,BasketOfSecurities
specifies the value of a given index as of the release date,Entity,specifies the value of a given index as of the release date
Na9a4b680b1864004a61adc2ed19ae958,Entity,Na9a4b680b1864004a61adc2ed19ae958
hasNumericValue,Entity,hasNumericValue
0,Entity,0
"basket of instruments, legal entities, or a combination thereof collected for the purpose of analyzing risk",Entity,"basket of instruments, legal entities, or a combination thereof collected for the purpose of analyzing risk"
CombinedDateTime,Entity,CombinedDateTime
owl#Ontology,Entity,owl#Ontology
