source_id,target_id,relationship
ProducerPriceIndex,owl#Class,22-rdf-syntax-ns#type
CivilianNonInstitutionalPerson,owl#Class,22-rdf-syntax-ns#type
UnemploymentRate,"Persons are classified as unemployed if they do not have a job, have actively looked for work in the prior 4 weeks, and are currently available for work. Workers expecting to be recalled from layoff are counted as unemployed, whether or not they have engaged in a specific jobseeking activity. In all other cases, the individual must have been engaged in at least one active job search activity in the 4 weeks preceding the interview and be available for work (except for temporary illness).",explanatoryNote
CivilianNonInstitutionalPerson,working-age-population.asp,rdf-schema#seeAlso
EconomicIndicator,economic indicator,rdf-schema#label
N010917118c2648a1a84e0394a423f323,ExplicitRecurrenceInterval,owl#onClass
,"EconomicIndicators.rdf version of this ontology was modified to eliminate references to external dictionary sites that no longer resolve, added a synonym to fixed basket and eliminated the restriction with respect to date period, which is not the primary concern of a fixed basket, revised the name of the 'goods or services population' to 'goods population' to eliminate a hygiene issue and reflect the synonym of 'basket of goods', and merged the statistical information publisher class from economic indicator publishers into this ontology.",core#changeNote
CivilianLaborForceParticipationRate,"The labor force participation rate is the percentage of the population that is either employed or unemployed (that is, either working or actively seeking work).",explanatoryNote
hasIndicatorValue,ScalarQuantityValue,rdf-schema#range
EmployedPopulation,employed population,rdf-schema#label
N2ab9e7e5f41d409b936369cadb37eb6a,N3176c959f2904dce98662a73eb8f8f6d,22-rdf-syntax-ns#rest
,EconomicIndicators.rdf version of this ontology was modified to add definitions for alternative unemployment calculations and correct a circular property definition.,core#changeNote
PopulationNotInLaborForce,"subset of the civilian, noninstitutional population, that is considered neither employed nor unemployed by the reporting agency during the reporting period",core#definition
CivilianNonInstitutionalPopulation,viewpage.action?pageId=6358041,adaptedFrom
Enterprise,FunctionalBusinessEntity,rdf-schema#subClassOf
UnemploymentRate,economic indicator representing the ratio of the unemployed population with respect to the civilian labor force of a given economy for some specified period,core#definition
Nb88f9d0785c24208897443cdea93b2f4,N7022d9bb7ab044668aed617cba3c815e,22-rdf-syntax-ns#rest
Weekly,P7D,hasDurationValue
hasBaselinePopulation,refersTo,rdf-schema#subPropertyOf
InstitutionalPerson,viewpage.action?pageId=6358041,adaptedFrom
UltimateConsumer,"person that is the ultimate user of a good, product or service",core#definition
GovernmentSpecifiedStatisticalArea,statistical area defined by a government agency,core#definition
CivilianLaborForce,civilian labor force,rdf-schema#label
hasDurationOfUnemployment,owl#ObjectProperty,22-rdf-syntax-ns#type
UltimateConsumer,"For the purposes of the CPI and related statistics, the definition of consumer is limited to humans. In general, a consumer could include a pet, as the consumer of pet food, for example, although the pet owner would likely be the purchaser and target of advertising.",explanatoryNote
hasDurationOfUnemployment,definitions.htm,adaptedFrom
N52bbf6b5447e4fd58e9366902d86e9e0,N2ea90a44aac04bf992e383cea78df20a,22-rdf-syntax-ns#rest
UnemploymentRate,owl#Class,22-rdf-syntax-ns#type
CivilianLaborForceParticipationRate,EconomicIndicator,rdf-schema#subClassOf
Nbdd782c3971f44639bcbe62fd9b8cb26,N38f4ab9abdc24e6cba7f233ab9dd8125,owl#unionOf
CivilianNonInstitutionalPopulation,civilian non-institutional population,rdf-schema#label
MarginallyAttachedPopulation,owl#Class,22-rdf-syntax-ns#type
EmployedPopulationPartTime,"The definition of part-time varies considerably from country to country according to the OECD. Classification may be based on (1) employee perception, (2) usual working hours, which is the most reliable measure, or (3) actual working hours, which varies due to holidays, illness, etc.",explanatoryNote
Monthly,"explicit recurrence interval of exactly one (1) month, regardless of the length in days of a given calendar month, but typically 30 days",core#definition
AverageWeeklyEarnings,measure of the average weekly wage an employee makes over the reporting period,core#definition
CivilianNonInstitutionalPopulation,The civilian non-institutional population is typically reported in thousands.,core#scopeNote
AverageDailyEarnings,measure of the average daily wage an employee makes over the reporting period,core#definition
ConsumerPriceIndex,EconomicIndicator,rdf-schema#subClassOf
Nd5efdf9ed35d452fa7e14dbd8641ee6d,owl#Restriction,22-rdf-syntax-ns#type
Weekly,owl#NamedIndividual,22-rdf-syntax-ns#type
Nc904b032ca2748aebfc3c6fc84cd5dce,owl#Restriction,22-rdf-syntax-ns#type
Monthly,ExplicitRecurrenceInterval,22-rdf-syntax-ns#type
InstitutionalUnit,institutional unit,rdf-schema#label
StatisticalInformationPublisher,Publisher,rdf-schema#subClassOf
MetropolitanStatisticalArea,2020-standards-for-delineating-core-based-statistical-areas,adaptedFrom
Establishment,an enterprise (or part of an enterprise) that operates from a single physical location,core#definition
FixedBasketPopulation,or services population,synonym
CivilianLaborForce,viewpage.action?pageId=6358041,adaptedFrom
hasBaselinePopulation,specifies the starting point statistical universe or population used for comparison or analysis,core#definition
N7022d9bb7ab044668aed617cba3c815e,EstablishmentPopulation,22-rdf-syntax-ns#first
CapitalLaborEnergyMaterialsMultifactorProductivity,capital-labor-energy-materials multifactor productivity,rdf-schema#label
CombinedStatisticalArea,06282010_metro_standards-Complete.pdf,adaptedFrom
excludesEnergyAndFood,ConsumerPriceIndex,rdf-schema#domain
