id,type,name
has rate reset time of day,Entity,has rate reset time of day
ClassificationScheme,Entity,ClassificationScheme
hasRateResetTimeOfDay,Entity,hasRateResetTimeOfDay
N0dfbd5f71a274f6dad27c3c4ec1aba1d,Entity,N0dfbd5f71a274f6dad27c3c4ec1aba1d
N4876392b37bf41c7946b2810e341f2cd,Entity,N4876392b37bf41c7946b2810e341f2cd
P20Y,Entity,P20Y
P4Y,Entity,P4Y
"The overnight rate is the lowest available interest rate, and as such, it is only available to the most creditworthy institutions. It is the underlying rate for Overnight Interest Rate Swaps (IOS).",Entity,"The overnight rate is the lowest available interest rate, and as such, it is only available to the most creditworthy institutions. It is the underlying rate for Overnight Interest Rate Swaps (IOS)."
eighteen months,Entity,eighteen months
DateTime,Entity,DateTime
EighteenMonths,Entity,EighteenMonths
duration of exactly thirty years,Entity,duration of exactly thirty years
interbank rate that represents the mid-point between bid and offer rates,Entity,interbank rate that represents the mid-point between bid and offer rates
owl#Restriction,Entity,owl#Restriction
"InterestRates.rdf version of this ontology was modified per the FIBO 2.0 RFC, including adding support for reference rates from FpML.",Entity,"InterestRates.rdf version of this ontology was modified per the FIBO 2.0 RFC, including adding support for reference rates from FpML."
ThirtySixMonths,Entity,ThirtySixMonths
BaseRate,Entity,BaseRate
OneDay,Entity,OneDay
P1M,Entity,P1M
QuantityKind,Entity,QuantityKind
owl#NamedIndividual,Entity,owl#NamedIndividual
InterestRateAuthority,Entity,InterestRateAuthority
P18M,Entity,P18M
1,Entity,1
SpecificProviderInterestRateBenchmark,Entity,SpecificProviderInterestRateBenchmark
Nf9e87f6786f4478f923e91b283927450,Entity,Nf9e87f6786f4478f923e91b283927450
twenty years,Entity,twenty years
P360M,Entity,P360M
duration of exactly ten years,Entity,duration of exactly ten years
FourYears,Entity,FourYears
duration of exactly three years,Entity,duration of exactly three years
N1be2755023994ba89a20112f4b72ebc7,Entity,N1be2755023994ba89a20112f4b72ebc7
P1D,Entity,P1D
duration of exactly fifteen years,Entity,duration of exactly fifteen years
interest rate authority,Entity,interest rate authority
TwentyFourMonths,Entity,TwentyFourMonths
two years,Entity,two years
InterestRates.rdf version of this ontology was modified to eliminate deprecated elements.,Entity,InterestRates.rdf version of this ontology was modified to eliminate deprecated elements.
