id,type,name
Fenics Market Data functional entity that is a financial service and market data provider and division of BGC Partners,Entity,Fenics Market Data functional entity that is a financial service and market data provider and division of BGC Partners
"MarketDataProviders.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate.",Entity,"MarketDataProviders.rdf version of this ontology was modified to use the Commons Ontology Library (Commons) rather than the OMG's Languages, Countries and Codes (LCC) and to eliminate redundancies in FIBO as appropriate."
Cantor Fitzgerald,Entity,Cantor Fitzgerald
MarketDataProviders.rdf version of this ontology was revised to reflect the move of market data provider from interest rates in IND to publishers in BE.,Entity,MarketDataProviders.rdf version of this ontology was revised to reflect the move of market data provider from interest rates in IND to publishers in BE.
UnitedStatesOfAmerica,Entity,UnitedStatesOfAmerica
L-TF1LXM1YNB81WKUH5G19-LEI,Entity,L-TF1LXM1YNB81WKUH5G19-LEI
Tradition,Entity,Tradition
Fenics Market Data,Entity,Fenics Market Data
CanadianBankingRegulatoryAgencyAndCentralBank,Entity,CanadianBankingRegulatoryAgencyAndCentralBank
T16:15:00,Entity,T16:15:00
owl#NamedIndividual,Entity,owl#NamedIndividual
InterestRateAuthority,Entity,InterestRateAuthority
"BGC Partners, Inc. legal entity identifier",Entity,"BGC Partners, Inc. legal entity identifier"
EuropeanMoneyMarketsInstitute,Entity,EuropeanMoneyMarketsInstitute
LegalEntityIdentifier,Entity,LegalEntityIdentifier
3051512,Entity,3051512
BGCPartnersIncHeadquartersAddress,Entity,BGCPartnersIncHeadquartersAddress
"Delaware Division of Corporations business entity identifier for BGC Partners, Inc. b",Entity,"Delaware Division of Corporations business entity identifier for BGC Partners, Inc. b"
LegalEntityIdentifierRegistryEntry,Entity,LegalEntityIdentifierRegistryEntry
"With respect to LIBOR, for example, the Bank of England will request the principal London office of each of the Reference Banks to provide a quotation of its rate. If at least two such quotations are provided, the rate for such date will be the arithmetic mean of the quotations. If fewer than two quotations are provided as requested, the rate for such date will be the arithmetic mean of the rates quoted by major banks in New York City selected by the Bank, at approximately 11:00 a.m. New York City time for loans in U.S. Dollars to leading European banks for such Interest Period and in an amount approximately equal to the amount requested LIBOR-Reference Banks Loan.",Entity,"With respect to LIBOR, for example, the Bank of England will request the principal London office of each of the Reference Banks to provide a quotation of its rate. If at least two such quotations are provided, the rate for such date will be the arithmetic mean of the quotations. If fewer than two quotations are provided as requested, the rate for such date will be the arithmetic mean of the rates quoted by major banks in New York City selected by the Bank, at approximately 11:00 a.m. New York City time for loans in U.S. Dollars to leading European banks for such Interest Period and in an amount approximately equal to the amount requested LIBOR-Reference Banks Loan."
EuropeanMoneyMarketsInstituteBenchmarkPublisher,Entity,EuropeanMoneyMarketsInstituteBenchmarkPublisher
MarketDataProviders.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.,Entity,MarketDataProviders.rdf version of the ontology was modified to use the Commons Ontology Library (Commons) Annotation Vocabulary rather than the OMG's Specification Metadata vocabulary.
EntityValidationLevelFullyCorroborated,Entity,EntityValidationLevelFullyCorroborated
"market data provider of interest rate benchmarks representing a group of one or more swap dealers that either individually, or in aggregate, provide quoted rates that contribute to the benchmark",Entity,"market data provider of interest rate benchmarks representing a group of one or more swap dealers that either individually, or in aggregate, provide quoted rates that contribute to the benchmark"
"legal entity identifier registry entry for BGC Partners, Inc.",Entity,"legal entity identifier registry entry for BGC Partners, Inc."
SwapMarker,Entity,SwapMarker
MIT,Entity,MIT
