source_id,target_id,relationship
,Metadata about the EDMC-FIBO Indices and Indicators (IND) Economic Indicators Module,rdf-schema#label
EconomicIndicatorsModule,Thematix Partners LLC,contributor
EconomicIndicatorsModule,Module,22-rdf-syntax-ns#type
,,owl#imports
EconomicIndicatorsModule,"Bureau of Economic Analysis (BEA, US Department of Commerce)",contributor
EconomicIndicatorsModule,Statistics Canada,contributor
EconomicIndicatorsModule,FIBO IND Economic Indicators Module,title
EconomicIndicatorsModule,State Street Bank and Trust,contributor
EconomicIndicatorsModule,,rdf-schema#seeAlso
EconomicIndicatorsModule,Deutsche Bank,contributor
,MIT,license
EconomicIndicatorsModule,John F. Gemski,contributor
EconomicIndicatorsModule,Bloomberg LP,contributor
EconomicIndicatorsModule,"Bureau of Labor Statistics (BLS, US Department of Commerce)",contributor
EconomicIndicatorsModule,economic indicators module,rdf-schema#label
EconomicIndicatorsModule,MIT,license
,2018-08-27T18:00:00,issued
EconomicIndicatorsModule,agnos.ai UK Ltd,contributor
EconomicIndicatorsModule,Federal Reserve Bank of Kansas City,contributor
,,owl#versionIRI
EconomicIndicatorsModule,Census Bureau (US Department of Commerce),contributor
EconomicIndicatorsModule,Bank of New York Mellon,contributor
,owl#Ontology,22-rdf-syntax-ns#type
EconomicIndicatorsModule,"Adaptive, Inc.",contributor
,2023-02-06T18:00:00,modified
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
EconomicIndicatorsModule,"Wells Fargo Bank, N. A.",contributor
EconomicIndicatorsModule,Nordea Bank AB,contributor
,"The economic indicators module includes ontologies defining concepts to do with published economic indicators. These give some indication of the state of some economy. Indicators of this type are usually published by governments or government agencies, or by international agencies or agencies of countries other than the ones reported on. Examples include Gross Domestic Product (GDP) and unemployment rates.",abstract
EconomicIndicatorsModule, Mphasis,contributor
EconomicIndicatorsModule,No Magic,contributor
EconomicIndicatorsModule,"Pinnacle Bank (Morgan Hill, California)",contributor
EconomicIndicatorsModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
EconomicIndicatorsModule,88 Solutions,contributor
EconomicIndicatorsModule,,hasPart
EconomicIndicatorsModule,"Office of Financial Research (OFR), U.S. Department of the Treasury",contributor
EconomicIndicatorsModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
EconomicIndicatorsModule,Citigroup,contributor
EconomicIndicatorsModule,John F. Tierney,contributor
EconomicIndicatorsModule,"The economic indicators module includes ontologies defining concepts to do with published economic indicators. These give some indication of the state of some economy. Indicators of this type are usually published by governments or goernment agencies, or by international agencies or agencies of countries other than the ones reported on. Examples include Gross Domestic Product (GDP) and unemployment rates.",abstract
EconomicIndicatorsModule,Tahoe Blue Ltd,contributor
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
EconomicIndicatorsModule,owl#NamedIndividual,22-rdf-syntax-ns#type
EconomicIndicatorsModule,Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Economic Indicators Module,title
