id,type,name
Census Bureau (US Department of Commerce),Entity,Census Bureau (US Department of Commerce)
Nordea Bank AB,Entity,Nordea Bank AB
Module,Entity,Module
Deutsche Bank,Entity,Deutsche Bank
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
"The economic indicators module includes ontologies defining concepts to do with published economic indicators. These give some indication of the state of some economy. Indicators of this type are usually published by governments or government agencies, or by international agencies or agencies of countries other than the ones reported on. Examples include Gross Domestic Product (GDP) and unemployment rates.",Entity,"The economic indicators module includes ontologies defining concepts to do with published economic indicators. These give some indication of the state of some economy. Indicators of this type are usually published by governments or government agencies, or by international agencies or agencies of countries other than the ones reported on. Examples include Gross Domestic Product (GDP) and unemployment rates."
Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Economic Indicators Module,Entity,Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Economic Indicators Module
agnos.ai UK Ltd,Entity,agnos.ai UK Ltd
Thematix Partners LLC,Entity,Thematix Partners LLC
"Wells Fargo Bank, N. A.",Entity,"Wells Fargo Bank, N. A."
Statistics Canada,Entity,Statistics Canada
economic indicators module,Entity,economic indicators module
Federal Reserve Bank of Kansas City,Entity,Federal Reserve Bank of Kansas City
Citigroup,Entity,Citigroup
2023-02-06T18:00:00,Entity,2023-02-06T18:00:00
"The economic indicators module includes ontologies defining concepts to do with published economic indicators. These give some indication of the state of some economy. Indicators of this type are usually published by governments or goernment agencies, or by international agencies or agencies of countries other than the ones reported on. Examples include Gross Domestic Product (GDP) and unemployment rates.",Entity,"The economic indicators module includes ontologies defining concepts to do with published economic indicators. These give some indication of the state of some economy. Indicators of this type are usually published by governments or goernment agencies, or by international agencies or agencies of countries other than the ones reported on. Examples include Gross Domestic Product (GDP) and unemployment rates."
John F. Tierney,Entity,John F. Tierney
"Bureau of Labor Statistics (BLS, US Department of Commerce)",Entity,"Bureau of Labor Statistics (BLS, US Department of Commerce)"
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
Metadata about the EDMC-FIBO Indices and Indicators (IND) Economic Indicators Module,Entity,Metadata about the EDMC-FIBO Indices and Indicators (IND) Economic Indicators Module
,Entity,
88 Solutions,Entity,88 Solutions
"Pinnacle Bank (Morgan Hill, California)",Entity,"Pinnacle Bank (Morgan Hill, California)"
"Bureau of Economic Analysis (BEA, US Department of Commerce)",Entity,"Bureau of Economic Analysis (BEA, US Department of Commerce)"
No Magic,Entity,No Magic
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
"Adaptive, Inc.",Entity,"Adaptive, Inc."
State Street Bank and Trust,Entity,State Street Bank and Trust
owl#Ontology,Entity,owl#Ontology
John F. Gemski,Entity,John F. Gemski
"Office of Financial Research (OFR), U.S. Department of the Treasury",Entity,"Office of Financial Research (OFR), U.S. Department of the Treasury"
Bank of New York Mellon,Entity,Bank of New York Mellon
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
FIBO IND Economic Indicators Module,Entity,FIBO IND Economic Indicators Module
 Mphasis,Entity, Mphasis
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
EconomicIndicatorsModule,Entity,EconomicIndicatorsModule
