source_id,target_id,relationship
InterestRatesModule,"Wells Fargo Bank, N. A.",contributor
InterestRatesModule,Nordea Bank AB,contributor
InterestRatesModule,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
InterestRatesModule,Citigroup,contributor
InterestRatesModule,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
,,owl#imports
InterestRatesModule, Mphasis,contributor
InterestRatesModule,"Office of Financial Research (OFR), U.S. Department of the Treasury",contributor
,MIT,license
InterestRatesModule,John F. Tierney,contributor
InterestRatesModule,owl#NamedIndividual,22-rdf-syntax-ns#type
InterestRatesModule,Tahoe Blue Ltd,contributor
,2018-08-27T18:00:00,issued
InterestRatesModule,88 Solutions,contributor
InterestRatesModule,"Bureau of Economic Analysis (BEA, US Department of Commerce)",contributor
InterestRatesModule,,hasPart
,,owl#versionIRI
InterestRatesModule,Module,22-rdf-syntax-ns#type
,"This module includes ontologies defining concepts for reference interest rates, that is, rates of interest paid on capital by central banks, groups of banks and other lenders, including inter-bank lending rates and rates of certain representative debt instruments.",abstract
InterestRatesModule,State Street Bank and Trust,contributor
InterestRatesModule,Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Interest Rates Module,title
InterestRatesModule,Thematix Partners LLC,contributor
,owl#Ontology,22-rdf-syntax-ns#type
,Metadata about the EDMC-FIBO Indices and Indicators (IND) Interest Rates Module,rdf-schema#label
,2023-02-06T18:00:00,modified
InterestRatesModule,Statistics Canada,contributor
,"Copyright (c) 2015-2023 EDM Council, Inc.",copyright
InterestRatesModule,Bloomberg LP,contributor
InterestRatesModule,Deutsche Bank,contributor
InterestRatesModule,MIT,license
InterestRatesModule,Bank of New York Mellon,contributor
InterestRatesModule,agnos.ai UK Ltd,contributor
InterestRatesModule,,rdf-schema#seeAlso
InterestRatesModule,"Bureau of Labor Statistics (BLS, US Department of Commerce)",contributor
InterestRatesModule,interest rates module,rdf-schema#label
InterestRatesModule,"This module includes ontologies defining concepts for reference interest rates, that is, rates of interest paid on capital by central banks, groups of banks and other lenders, including inter-bank lending rates and rates of certain representative debt instruments.",abstract
InterestRatesModule,Federal Reserve Bank of Kansas City,contributor
InterestRatesModule,"Adaptive, Inc.",contributor
InterestRatesModule,John F. Gemski,contributor
InterestRatesModule,Census Bureau (US Department of Commerce),contributor
InterestRatesModule,FIBO IND Interest Rates Module,title
,"Copyright (c) 2015-2023 Object Management Group, Inc.",copyright
InterestRatesModule,No Magic,contributor
InterestRatesModule,"Pinnacle Bank (Morgan Hill, California)",contributor
