source_id,target_id,relationship
INDDomain,"Wells Fargo Bank, N. A.",contributor
INDDomain,Nordea Bank AB,contributor
INDDomain,88 Solutions,contributor
INDDomain,Citigroup,contributor
,"Copyright (c) 2014-2023 EDM Council, Inc.",copyright
INDDomain,No Magic,contributor
,,owl#imports
INDDomain,"Pinnacle Bank (Morgan Hill, California)",contributor
INDDomain,InterestRatesModule,hasPart
INDDomain,"Office of Financial Research (OFR), U.S. Department of the Treasury",contributor
INDDomain,Tahoe Blue Ltd,contributor
INDDomain,John F. Tierney,contributor
,MIT,license
INDDomain,owl#NamedIndividual,22-rdf-syntax-ns#type
INDDomain,EconomicIndicatorsModule,hasPart
,2018-08-27T18:00:00,issued
INDDomain,"Bureau of Economic Analysis (BEA, US Department of Commerce)",contributor
INDDomain,"Copyright (c) 2014-2023 EDM Council, Inc.",copyright
,Metadata about the EDMC-FIBO Indices and Indicators (IND) Domain,rdf-schema#label
INDDomain,"Copyright (c) 2014-2023 Object Management Group, Inc.",copyright
,,owl#versionIRI
,"This ontology provides metadata about the FIBO Indices and Indicators (IND) Domain, which covers market indices and reference rates including economic indicators, foreign exchange, interest rates, and other benchmarks.",abstract
INDDomain,Thematix Partners LLC,contributor
INDDomain,"The FIBO Indices and Indicators (IND) Domain covers market indices and reference rates including economic indicators, foreign exchange, interest rates, and other benchmarks. The ontologies cover quoted interest rates, economic measures such as employment rates, and quoted indices required to support baskets of securities, including specific kinds of securities in share indices or bond indices, as well as credit indices.",abstract
INDDomain,Module,22-rdf-syntax-ns#type
INDDomain,FIBO IND Domain,title
,owl#Ontology,22-rdf-syntax-ns#type
INDDomain,Financial Industry Business Ontology (FIBO) Indices and Indicators (IND) Domain,title
INDDomain,State Street Bank and Trust,contributor
INDDomain,Statistics Canada,contributor
INDDomain,,rdf-schema#seeAlso
,2023-03-31T18:00:00,modified
INDDomain,Bloomberg LP,contributor
INDDomain,Deutsche Bank,contributor
INDDomain,John F. Gemski,contributor
INDDomain,Census Bureau (US Department of Commerce),contributor
INDDomain,ForeignExchangeModule,hasPart
INDDomain,agnos.ai UK Ltd,contributor
INDDomain,"Bureau of Labor Statistics (BLS, US Department of Commerce)",contributor
INDDomain,MIT,license
INDDomain,indices and indicators module,rdf-schema#label
INDDomain,MarketIndicesModule,hasPart
INDDomain,Federal Reserve Bank of Kansas City,contributor
INDDomain,FIBO+-+FCT+-+Indices+and+Indicators+Home,creator
INDDomain,Bank of New York Mellon,contributor
INDDomain,"Adaptive, Inc.",contributor
INDDomain,IndicatorsModule,hasPart
INDDomain, Mphasis,contributor
,"Copyright (c) 2014-2023 Object Management Group, Inc.",copyright
