source_id,target_id,relationship
N0ce5a4fef36c4e66888a48e8d6f669d6,CivilianNonInstitutionalPopulation,owl#someValuesFrom
,USEconomicIndicators.rdf version of this ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,core#changeNote
CurrentEmploymentStatistics,owl#Class,22-rdf-syntax-ns#type
CurrentPopulationSurvey,StatisticalProgram,rdf-schema#subClassOf
PointOfPurchaseSurvey,,adaptedFrom
UrbanConsumersUniverse,"In the United States, the CPI-U population, which covers about 88 percent of the U.S. population, covers households in all areas of the United States except people living in rural nonmetropolitan areas, in farm households, on military installations, in religious communities, and in institutions such as prisons and mental hospitals.",explanatoryNote
EmploymentSituationSurvey,CurrentEmploymentStatistics,rdf-schema#subClassOf
N0fdbd755149445058e003dca59bcad57,owl#Restriction,22-rdf-syntax-ns#type
Nf39b896791f94454975d7d68ee862feb,owl#Restriction,22-rdf-syntax-ns#type
Nfefb3b71a06a41edb358dc31d08042b5,ConsumerExpenditureSurvey,owl#someValuesFrom
N0ce5a4fef36c4e66888a48e8d6f669d6,specifies,owl#onProperty
PointOfPurchaseSurvey,a program conducted on a regular basis that provides information on purchases of various items and services by consumers,core#definition
Nc399c075dc71402cbc52e2d47302e26b,UrbanConsumersUniverse,owl#someValuesFrom
,USEconomicIndicators.rdf version of this ontology was revised to merge statistical information publisher with economic indicators.,core#changeNote
,USEconomicIndicators.rdf version of this ontology was added to the IND specification per the issue resolutions identified in the FIBO IND 1.0 FTF 3 report.,core#changeNote
N27993cd064e04f109c710942d373dd15,owl#Restriction,22-rdf-syntax-ns#type
EmploymentSituationSurvey,N3ff024d63c3747b9a0a1ccb049cfc2ba,rdf-schema#subClassOf
UrbanConsumerPriceIndex,N0fdbd755149445058e003dca59bcad57,rdf-schema#subClassOf
N0fdbd755149445058e003dca59bcad57,hasArgument,owl#onProperty
UrbanConsumersUniverse,,adaptedFrom
CurrentPopulationSurvey,owl#Class,22-rdf-syntax-ns#type
EmploymentSituationHouseholdSurvey,employment situation household survey,rdf-schema#label
ConsumerExpenditureSurvey,StatisticalProgram,rdf-schema#subClassOf
