id,type,name
"survey conducted on a regular basis that presents analytical information related to the general population of a given statistical area with respect to labor force, employment, unemployment, persons not in the labor force, hours of work, earnings, and other demographic and labor force characteristics",Entity,"survey conducted on a regular basis that presents analytical information related to the general population of a given statistical area with respect to labor force, employment, unemployment, persons not in the labor force, hours of work, earnings, and other demographic and labor force characteristics"
CPI-U,Entity,CPI-U
PointOfPurchaseSurvey,Entity,PointOfPurchaseSurvey
Bureau of Labor Statistics,Entity,Bureau of Labor Statistics
GovernmentDepartment,Entity,GovernmentDepartment
USEconomicIndicators.rdf version of this ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).,Entity,USEconomicIndicators.rdf version of this ontology was modified to replace additional content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380).
N0fdbd755149445058e003dca59bcad57,Entity,N0fdbd755149445058e003dca59bcad57
UnitedStatesOfAmerica,Entity,UnitedStatesOfAmerica
owl#Restriction,Entity,owl#Restriction
GovernmentAgency,Entity,GovernmentAgency
Nb5cb6737060d4b7388faa3c3f821ae26,Entity,Nb5cb6737060d4b7388faa3c3f821ae26
owl#NamedIndividual,Entity,owl#NamedIndividual
"Its mission is to collect, analyze, and disseminate essential economic information to support public and private decision-making. As an independent statistical agency, BLS serves its diverse user communities by providing products and services that are objective, timely, accurate, and relevant.",Entity,"Its mission is to collect, analyze, and disseminate essential economic information to support public and private decision-making. As an independent statistical agency, BLS serves its diverse user communities by providing products and services that are objective, timely, accurate, and relevant."
hasArgument,Entity,hasArgument
UnitedStatesJurisdiction,Entity,UnitedStatesJurisdiction
1,Entity,1
N43ef0d458b98416fb443d754889f4194,Entity,N43ef0d458b98416fb443d754889f4194
DOL,Entity,DOL
point of purchase survey,Entity,point of purchase survey
specifies,Entity,specifies
ConsumerExpenditureSurvey,Entity,ConsumerExpenditureSurvey
"USEconomicIndicators.rdf version of this ontology was revised to eliminate duplication of concepts in LCC, merge countries with locations in FND, and eliminate a redundant superclass declaration on UrbanConsumerPriceIndex.",Entity,"USEconomicIndicators.rdf version of this ontology was revised to eliminate duplication of concepts in LCC, merge countries with locations in FND, and eliminate a redundant superclass declaration on UrbanConsumerPriceIndex."
N0ce5a4fef36c4e66888a48e8d6f669d6,Entity,N0ce5a4fef36c4e66888a48e8d6f669d6
USEconomicIndicators.rdf version of this ontology was revised per the FIBO 2.0 RFC.,Entity,USEconomicIndicators.rdf version of this ontology was revised per the FIBO 2.0 RFC.
Establishment,Entity,Establishment
MIT,Entity,MIT
N27993cd064e04f109c710942d373dd15,Entity,N27993cd064e04f109c710942d373dd15
USEconomicIndicators.rdf version of this ontology was revised to reflect the new hasCoverageArea property and migration of statistical measures in FND.,Entity,USEconomicIndicators.rdf version of this ontology was revised to reflect the new hasCoverageArea property and migration of statistical measures in FND.
CivilianNonInstitutionalPopulation,Entity,CivilianNonInstitutionalPopulation
isSeasonallyAdjusted,Entity,isSeasonallyAdjusted
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
AmericanStatisticsPublisher,Entity,AmericanStatisticsPublisher
current employment statistics,Entity,current employment statistics
N13309f528a9c4044859c43d4c2180cd6,Entity,N13309f528a9c4044859c43d4c2180cd6
about.htm,Entity,about.htm
N3ff024d63c3747b9a0a1ccb049cfc2ba,Entity,N3ff024d63c3747b9a0a1ccb049cfc2ba
CurrentEmploymentStatistics,Entity,CurrentEmploymentStatistics
UrbanConsumerPriceIndex,Entity,UrbanConsumerPriceIndex
