source_id,target_id,relationship
,Loans (LOAN) Domain,rdf-schema#label
,,owl#imports
,agnos.ai U.K. Ltd,contributor
,FIUTUR,contributor
,"Copyright (c) 2015-2024 Object Management Group, Inc.",copyright
,Thematix Partners LLC,contributor
,Financial Industry Business Ontology (FIBO) Loans (LOAN) Domain,title
,"Semantic Arts, Inc.",contributor
,MIT,license
,2024-11-11T18:00:00,modified
,"Copyright (c) 2015-2024 EDM Council, Inc.",copyright
,John F. Gemski,contributor
,2018-03-31T18:00:00,issued
,,owl#versionIRI
,Wells Fargo,contributor
,owl#Ontology,22-rdf-syntax-ns#type
,Office of Financial Research (US Dept of the Treasury),contributor
,Federated Knowledge LLC,contributor
,"Adaptive, Inc.",contributor
,Hypercube Ltd.,contributor
,"The 'all' ontology for LOAN is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), and Loans (LOAN) domains, excluding individuals for governments and jurisdictions, financial services, regulatory organizations and related registries, and reference individuals, as well as the LCC region-specific ontologies.",explanatoryNote
,"ProBanker Simulations, LLC",contributor
,Tahoe Blue Ltd,contributor
