source_id,target_id,relationship
VisaNetwork,Visa network,rdf-schema#label
N502b7b5ccc174ae7bba3058ea22a25ac,isPlayedBy,owl#onProperty
CardAccount,owl#Class,22-rdf-syntax-ns#type
PaymentCard,"The term payment card includes credit cards, debit cards, and stored-value cards, as well as payment through any distinctive marks of a payment card (such as a credit card number). A payment card is issued under an agreement that provides standards and mechanisms for settling the transactions between a merchant acquiring bank or similar entity and the providers who accept the cards as payment.",explanatoryNote
N9897d0b4b3d44644868606dfe4acb374,CreditCard,owl#someValuesFrom
N428049117fd14a6aa36edb0b8d3e4992,1,owl#qualifiedCardinality
Nc0bee6bda5b74b2fa34e0c2ae8686667,owl#Restriction,22-rdf-syntax-ns#type
CommercialCreditCardAgreement,"credit card agreement for a card issued to, or in conjunction with, a formal organization, such as a small business, middle market business, local, state, or national government, or large corporation",core#definition
Nc496477859a849958b9dd49096784a88,CreditCardAccount,owl#someValuesFrom
N226f75e4937c410da3a8f234eca5ef1e,owl#Restriction,22-rdf-syntax-ns#type
N1a34e411c3d54b2b89eb8759a6e105e3,isIdentifiedBy,owl#onProperty
N807b9126ea104fb0b3cc2a8387509c4e,1,owl#qualifiedCardinality
,CardAccounts.rdf version of the ontology was modified to replace concepts from several FIBO FND ontologies with their counterparts added to the Commons Ontology Library (Commons) v1.1.,core#changeNote
CreditCard,PaymentCard,rdf-schema#subClassOf
Nbe2975f1905d4bbc8f7e5f57cb2c0cbe,owl#Restriction,22-rdf-syntax-ns#type
N2234ae1deb334173bec55bea112fff3d,hasContractParty,owl#onProperty
CreditCard,"In its non-physical form, a credit card represents a payment mechanism which facilitates both consumer and commercial business transactions, including purchases and cash advances. A credit card generally operates as a substitute for cash or a check and most often provides an unsecured revolving line of credit. The borrower is required to pay at least part of the card's outstanding balance each billing cycle, depending on the terms as set forth in the cardholder agreement. As the debt reduces, the available credit increases for accounts in good standing. These complex financial arrangements have ever-shifting terms and prices. A charge card differs from a credit card in that the charge card must be paid in full each month.",explanatoryNote
CardVerificationValue2,CVV2,synonym
MagneticStripeVerificationCodeValue,magnetic stripe verification code or value,rdf-schema#label
CardAccount,Ndacc036271214079a00d2b25e54c2424,rdf-schema#subClassOf
usesCurrency,uses,rdf-schema#subPropertyOf
Naa4ecb9522354343a183e4cb5df0dbbd,owl#Restriction,22-rdf-syntax-ns#type
Nca047c13973540d6b7e819cebd1f85ae,owl#Restriction,22-rdf-syntax-ns#type
