source_id,target_id,relationship
N32838966791148af93f5a780e415f4c9,Consumer,22-rdf-syntax-ns#first
UnsecuredConsumerLoan,owl#Class,22-rdf-syntax-ns#type
HomeEquityLineOfCredit,RevolvingLineOfCredit,rdf-schema#subClassOf
,,owl#imports
,Release,hasMaturityLevel
N5708f532a25243edb9263432866515e8,22-rdf-syntax-ns#nil,22-rdf-syntax-ns#rest
MotorVehicleLoan,motor vehicle loan,rdf-schema#label
N902a1cf35a5643a4b64233f412262bdd,owl#Restriction,22-rdf-syntax-ns#type
SecuredConsumerLoan,secured consumer loan,rdf-schema#label
HomeEquityLineOfCredit,HELOC,acronym
SecuredConsumerLoan,"loan to one or more individuals for household, family, or other personal expenditures in which the borrower pledges some asset via a security agreement as collateral for the loan, or that is secured via third-party guarantee",core#definition
SecuredConsumerLoan,ConsumerLoan,rdf-schema#subClassOf
N32838966791148af93f5a780e415f4c9,N5708f532a25243edb9263432866515e8,22-rdf-syntax-ns#rest
,MIT,license
ConsumerLoan,228.12,adaptedFrom
UnsecuredConsumerLoan,"loan to one or more individuals for household, family, or other personal expenditures granted based on the strength of the borrower's credit history or reputation in the community",core#definition
N8021ffbbe477411bb32726115c3368d0,N32838966791148af93f5a780e415f4c9,owl#unionOf
HomeEquityLineOfCredit,"Usually, the term of a HELOC can vary from 5 to up to 25 years, with an initial draw period during which the borrower can access the line of credit, followed by a repayment period during which monthly payments on principal and interest are due until the loan is paid in full. Note that there are restrictions in the US on the nature of the property that may be used as collateral for a HELOC - it must be classified as a 1-4 family dwelling. That determination is independent from the use of proceeds.",explanatoryNote
ConsumerLoan,Nc40a25d21ce046a9b370e01ff1b068d0,rdf-schema#subClassOf
,"Copyright (c) 2015-2024 EDM Council, Inc.",copyright
MotorVehicleLoan,CollateralizedLoan,rdf-schema#subClassOf
N7977624f14014ca3b6a080336b60ddde,owl#Restriction,22-rdf-syntax-ns#type
HomeEquityLineOfCredit,line of credit granted to a homeowner secured by the equity value in a borrower's home or other property,core#definition
N902a1cf35a5643a4b64233f412262bdd,LegallyCompetentNaturalPerson,owl#someValuesFrom
UnsecuredConsumerLoan,UnsecuredLoan,rdf-schema#subClassOf
N5708f532a25243edb9263432866515e8,N902a1cf35a5643a4b64233f412262bdd,22-rdf-syntax-ns#first
MotorVehicleLoan,owl#Class,22-rdf-syntax-ns#type
HomeEquityLineOfCredit,home equity line of credit,rdf-schema#label
,Consumer Loans Ontology,rdf-schema#label
,,owl#versionIRI
HomeEquityLineOfCredit,owl#Class,22-rdf-syntax-ns#type
N8021ffbbe477411bb32726115c3368d0,owl#Class,22-rdf-syntax-ns#type
ConsumerLoan,consumer loan,rdf-schema#label
,owl#Ontology,22-rdf-syntax-ns#type
UnsecuredConsumerLoan,ConsumerLoan,rdf-schema#subClassOf
MotorVehicleLoan,N7977624f14014ca3b6a080336b60ddde,rdf-schema#subClassOf
MotorVehicleLoan,228.12,adaptedFrom
UnsecuredConsumerLoan,unsecured consumer loan,rdf-schema#label
N7977624f14014ca3b6a080336b60ddde,isCollateralizedBy,owl#onProperty
Nc40a25d21ce046a9b370e01ff1b068d0,N8021ffbbe477411bb32726115c3368d0,owl#someValuesFrom
ConsumerLoan,Loan,rdf-schema#subClassOf
MotorVehicleLoan,auto loan,synonym
ConsumerLoan,"loan to one or more individuals for household, family, or other personal expenditures, excluding mortgages and student loans",core#definition
MotorVehicleLoan,"collateralized, simple-interest loan that is repaid in monthly installments over a period of typically three to five years, for the purpose of purchasing a vehicle",core#definition
MotorVehicleLoan,SecuredConsumerLoan,rdf-schema#subClassOf
,"Copyright (c) 2023-2024 Object Management Group, Inc.",copyright
MotorVehicleLoan,"Many lenders will only approve auto loans for vehicles (i.e., cars, trucks) that are a certain age (typically 5 years or less) due to depreciation of the value of the vehicle. Because an auto loan is a 'secured' type of loan, the vehicle that is being financed is used as collateral (i.e. if the borrower fails to repay the loan, the vehicle may be seized by the lender).",explanatoryNote
SecuredConsumerLoan,owl#Class,22-rdf-syntax-ns#type
HomeEquityLineOfCredit,LoanSecuredByRealEstate,rdf-schema#subClassOf
,ConsumerLoans.rdf version of the ontology was modified to replace content that is now available in the OMG Commons Ontology Library (Commons) v1.1 (FND-380) and to integrate the concept that a HELOC is a loan secured by real estate (LOAN-169).,core#changeNote
ConsumerLoan,owl#Class,22-rdf-syntax-ns#type
Nc40a25d21ce046a9b370e01ff1b068d0,owl#Restriction,22-rdf-syntax-ns#type
,"The consumer loans ontology defines concepts specific to loans that are offered only to consumers rather than to organization, primarily for personal, family, or household purposes.",abstract
N902a1cf35a5643a4b64233f412262bdd,isPlayedBy,owl#onProperty
ConsumerLoan,"further-details-about-total-lending-to-individuals-data. This definition is broader than the definition used in the US, however.",explanatoryNote
HomeEquityLineOfCredit,"Home equity loans allow the borrower to borrow against the difference between the fair market value of the property, as determined by an appraisal, and the amount of any outstanding debt on that property, which is typically a first mortgage. Common practice is to set the maximum amount that can be borrowed of up to 80 percent of the fair market value less any outstanding debt.",explanatoryNote
SecuredConsumerLoan,SecuredLoan,rdf-schema#subClassOf
ConsumerLoan,"Other secured consumer loans may include loans against insurance policies, against securities held in a retirement account, loans secured with collateral other than for the loan's stated purpose, lines of credit other than credit card agreements, and so forth.",core#example
ConsumerLoan,"In the United States, consumer loans do not include a home mortgage, small business, or small farm loans. They are defined by law to include the following: (1) Motor vehicle loan, which is a consumer loan extended for the purchase of and secured by a motor vehicle; (2) Credit card loan, which is a line of credit for household, family, or other personal expenditures that is accessed by a borrower's use of a 'credit card,' as this term is defined in § 1026.2 of 12 CFR § 228.12; (3) Other secured consumer loan, which is a secured consumer loan that is not included in one of the other categories of consumer loans; and (4) Other unsecured consumer loan, which is an unsecured consumer loan that is not included in one of the other categories of consumer loans.",explanatoryNote
N7977624f14014ca3b6a080336b60ddde,PhysicalCollateral,owl#someValuesFrom
HomeEquityLineOfCredit,SecuredConsumerLoan,rdf-schema#subClassOf
Nc40a25d21ce046a9b370e01ff1b068d0,hasBorrower,owl#onProperty
