id,type,name
GreenProjectUseOfProceedsProvision,Entity,GreenProjectUseOfProceedsProvision
"indicates the scope, limits, and context for an environmental or sustainability project",Entity,"indicates the scope, limits, and context for an environmental or sustainability project"
SustainabilityPerformanceTargetIdentifier,Entity,SustainabilityPerformanceTargetIdentifier
involves,Entity,involves
"The borrower must demonstrate that the project meets predefined eligibility criteria for green financing. These criteria are usually aligned with the taxonomy or standards set forth by the Green Loan Principles, the EU Taxonomy for Sustainable Activities, or other regional or international guidelines.",Entity,"The borrower must demonstrate that the project meets predefined eligibility criteria for green financing. These criteria are usually aligned with the taxonomy or standards set forth by the Green Loan Principles, the EU Taxonomy for Sustainable Activities, or other regional or international guidelines."
UseOfProceedsProvision,Entity,UseOfProceedsProvision
N14533414fcd74882bf3aca8f4bfc5133,Entity,N14533414fcd74882bf3aca8f4bfc5133
DatedCollectionConstituent,Entity,DatedCollectionConstituent
hasStrategy,Entity,hasStrategy
"The use of proceeds in relation to a SLL is not a determinant in its categorisation and, in most instances, SLLs will be used for general corporate purposes. Instead, SLLs look to support a borrower in improving its sustainability performance.",Entity,"The use of proceeds in relation to a SLL is not a determinant in its categorisation and, in most instances, SLLs will be used for general corporate purposes. Instead, SLLs look to support a borrower in improving its sustainability performance."
N91b9448727794ad280c023a4e0fc96ae,Entity,N91b9448727794ad280c023a4e0fc96ae
N118985cb8f834430b2404c8ecb5d973b,Entity,N118985cb8f834430b2404c8ecb5d973b
Ncd7297f47a0f4ec7b64edd2dd401f675,Entity,Ncd7297f47a0f4ec7b64edd2dd401f675
"use of proceeds provision specifying that funds obtained through financing, such as through a credit agreement, offering, warrant, or other instrument are intended to be used for Green Projects (including other related and supporting expenditures, including research and development)",Entity,"use of proceeds provision specifying that funds obtained through financing, such as through a credit agreement, offering, warrant, or other instrument are intended to be used for Green Projects (including other related and supporting expenditures, including research and development)"
ObservedIndicatorValueStructure,Entity,ObservedIndicatorValueStructure
Program,Entity,Program
TransitionStrategy,Entity,TransitionStrategy
sustainability-linked loan,Entity,sustainability-linked loan
owl#Restriction,Entity,owl#Restriction
"Green projects must align with established green finance principles, such as the Green Loan Principles (GLP) issued by the Loan Market Association (LMA), or other recognized sustainability frameworks.",Entity,"Green projects must align with established green finance principles, such as the Green Loan Principles (GLP) issued by the Loan Market Association (LMA), or other recognized sustainability frameworks."
SustainabilityStructuringAgent,Entity,SustainabilityStructuringAgent
sustainability performance target,Entity,sustainability performance target
N521a483d01b4440ca3eb7d621725714c,Entity,N521a483d01b4440ca3eb7d621725714c
N6e182b56cd87406bb493c91a013b5299,Entity,N6e182b56cd87406bb493c91a013b5299
XMLSchema#string,Entity,XMLSchema#string
or equivalent metrics that measure improvements in the borrower's sustainability profile.,Entity,or equivalent metrics that measure improvements in the borrower's sustainability profile.
Green_Loan_Principles_23_February_2023.pdf,Entity,Green_Loan_Principles_23_February_2023.pdf
"All designated Green Projects should provide clear environmental benefits, which will be assessed, and where feasible, quantified, measured and reported by the borrower, per requirements outlined in the LMA Green Loan Principles (GLP). Where funds are to be used, in whole or part, for refinancing, it is recommended that borrowers provide an estimate of the share of financing versus refinancing. Where appropriate, they should also clarify which investments or project portfolios may be refinanced, and, to the extent relevant, the expected look-back period for refinanced Green Projects. A green loan may take the form of one or more tranches of a loan facility. In such cases, the green tranche(s) must be clearly designated, with proceeds of the green tranche(s) credited to a separate account or tracked by the borrower in an appropriate manner. 
		
		The GLP explicitly recognise several broad categories of eligibility for Green Projects with the objective of addressing key areas of environmental concern such as climate change, natural resources depletion, loss of biodiversity, and air, water and soil pollution. This non-exhaustive list, set out in Appendix 1, is intended to capture the most usual types of projects supported, and expected to be supported, by the green loan market. However, it is recognised that definitions of green and green projects may vary depending on sector and geography",Entity,"All designated Green Projects should provide clear environmental benefits, which will be assessed, and where feasible, quantified, measured and reported by the borrower, per requirements outlined in the LMA Green Loan Principles (GLP). Where funds are to be used, in whole or part, for refinancing, it is recommended that borrowers provide an estimate of the share of financing versus refinancing. Where appropriate, they should also clarify which investments or project portfolios may be refinanced, and, to the extent relevant, the expected look-back period for refinanced Green Projects. A green loan may take the form of one or more tranches of a loan facility. In such cases, the green tranche(s) must be clearly designated, with proceeds of the green tranche(s) credited to a separate account or tracked by the borrower in an appropriate manner. 
		
		The GLP explicitly recognise several broad categories of eligibility for Green Projects with the objective of addressing key areas of environmental concern such as climate change, natural resources depletion, loss of biodiversity, and air, water and soil pollution. This non-exhaustive list, set out in Appendix 1, is intended to capture the most usual types of projects supported, and expected to be supported, by the green loan market. However, it is recognised that definitions of green and green projects may vary depending on sector and geography"
Site,Entity,Site
TransitionProject,Entity,TransitionProject
observation (measurement) of a key performance indicator measured at specific date and time,Entity,observation (measurement) of a key performance indicator measured at specific date and time
green project use of proceeds provision,Entity,green project use of proceeds provision
hasDatePeriod,Entity,hasDatePeriod
hasAssessmentBoundary,Entity,hasAssessmentBoundary
"Examples include: renewable energy projects (e.g., solar, wind, hydroelectric power), green buildings certified by recognized standards (e.g., LEED, BREEAM), sustainable water and wastewater management systems, pollution reduction technologies and systems, sustainable forestry and agriculture initiatives, circular economy projects, such as recycling or waste-to-energy facilities, low-carbon transportation infrastructure (e.g., electric vehicle charging stations, public transit projects), and the like.",Entity,"Examples include: renewable energy projects (e.g., solar, wind, hydroelectric power), green buildings certified by recognized standards (e.g., LEED, BREEAM), sustainable water and wastewater management systems, pollution reduction technologies and systems, sustainable forestry and agriculture initiatives, circular economy projects, such as recycling or waste-to-energy facilities, low-carbon transportation infrastructure (e.g., electric vehicle charging stations, public transit projects), and the like."
SustainabilityKeyPerformanceIndicator,Entity,SustainabilityKeyPerformanceIndicator
KeyPerformanceIndicator,Entity,KeyPerformanceIndicator
hasTargetValue,Entity,hasTargetValue
hasObjective,Entity,hasObjective
"This role is typically present in sustainability-linked loans (SLLs) or green loans, which tie the loan's terms to the borrower's environmental, social, and governance (ESG) performance. The sustainability structuring agent's role is crucial in ensuring that the loan's sustainability metrics align with both the borrower's goals and the expectations of the participating lenders.",Entity,"This role is typically present in sustainability-linked loans (SLLs) or green loans, which tie the loan's terms to the borrower's environmental, social, and governance (ESG) performance. The sustainability structuring agent's role is crucial in ensuring that the loan's sustainability metrics align with both the borrower's goals and the expectations of the participating lenders."
target indicator value,Entity,target indicator value
N021048a16da340abb2c4bedf76462f21,Entity,N021048a16da340abb2c4bedf76462f21
transition strategy,Entity,transition strategy
isEvidencedBy,Entity,isEvidencedBy
