source_id,target_id,relationship
N4189c2a40e704c73831f297d7488ff20,N6bf78694e78d47a7bfad57cd9822bc20,owl#someValuesFrom
HowSubmitted,2015 Revised HMDA regulation,adaptedFrom
HMDA-Disposition,Classifier,rdf-schema#subClassOf
Na68d853b8a9a4a41a98f481c4f1e10da,owl#Restriction,22-rdf-syntax-ns#type
HMDA-Disposition-PreapprovalRequestApprovedButNotAccepted,owl#NamedIndividual,22-rdf-syntax-ns#type
N3a4ef2ccb9f642f5879e9dfac1459a81,classifies,owl#onProperty
HMDA-PreApprovalRequest,owl#Class,22-rdf-syntax-ns#type
Na6c36d0ba7f144cab3af74aebb8e6a0f,Nef1e53feea1647abaf849554e058fba2,22-rdf-syntax-ns#rest
HMDA-Report,"The filter class on the hasReportingAgent restriction comes from the hasIdentity restriction on FinancialServiceProvider, which, unfortunately,  is a PartyInRole.",core#editorialNote
UniversalLoanIdentifier,"In the US, the structure of this identifier is defined in the 2015 revision to the Home Mortgage Disclosure Act.",explanatoryNote
HMDA-Disposition-ApplicationWithdrawn,owl#NamedIndividual,22-rdf-syntax-ns#type
N6bf78694e78d47a7bfad57cd9822bc20,Na6c36d0ba7f144cab3af74aebb8e6a0f,owl#intersectionOf
N710e8f3c38e343be81baa2bec8a46134,HowSubmitted,owl#someValuesFrom
HMDA-PreApprovalRequest,the 2015 Revised HMDA regulation.,adaptedFrom
HMDA-CoveredLoanContract,the Revised HMDA regulatory text.,adaptedFrom
Nf854f699f9864556930d0394210306d4,LoanSecuredByRealEstate,owl#onClass
Race,N237ff145b2f14cc095a8f2692851a9d2,rdf-schema#subClassOf
ConstructionType_SiteBuilt,owl#NamedIndividual,22-rdf-syntax-ns#type
HMDA-Report,Na68d853b8a9a4a41a98f481c4f1e10da,rdf-schema#subClassOf
HMDA-Disposition-LoanPurchasedByYourInstitution,HMDA-Disposition,22-rdf-syntax-ns#type
hasHMDA-DispositionDate,the date associated with the HMDA Disposition for a HMDA Covered Loan,core#definition
N710e8f3c38e343be81baa2bec8a46134,owl#Restriction,22-rdf-syntax-ns#type
