id,type,name
the date associated with the HMDA Disposition for a HMDA Covered Loan,Entity,the date associated with the HMDA Disposition for a HMDA Covered Loan
"This ontology defines concepts specific to mortgages that are covered by the Home Mortgage Disclosure Act (HMDA) and related regulations. This includes the concept of a HMDA report as well as specializations of the core classes for pre-approval requests, covered loan contracts.",Entity,"This ontology defines concepts specific to mortgages that are covered by the Home Mortgage Disclosure Act (HMDA) and related regulations. This includes the concept of a HMDA report as well as specializations of the core classes for pre-approval requests, covered loan contracts."
a factory-built dwelling not on a permanent chassis,Entity,a factory-built dwelling not on a permanent chassis
HMDA pre-approval request,Entity,HMDA pre-approval request
"a request for pre-approval of a home purchase loan up to a certain amount, and subject to certain non-credit related conditions",Entity,"a request for pre-approval of a home purchase loan up to a certain amount, and subject to certain non-credit related conditions"
HMDA-Disposition-LoanOriginated,Entity,HMDA-Disposition-LoanOriginated
HMDA-Disposition-ApplicationDenied,Entity,HMDA-Disposition-ApplicationDenied
FormalOrganization,Entity,FormalOrganization
owl#Restriction,Entity,owl#Restriction
on frame modular,Entity,on frame modular
UniversalLoanIdentifier,Entity,UniversalLoanIdentifier
N710e8f3c38e343be81baa2bec8a46134,Entity,N710e8f3c38e343be81baa2bec8a46134
owl#NamedIndividual,Entity,owl#NamedIndividual
N3a4ef2ccb9f642f5879e9dfac1459a81,Entity,N3a4ef2ccb9f642f5879e9dfac1459a81
a closed-end mortgage loan or open-end line of credit that is not an excluded transaction for HMDA reporting under US section 1003.3(c) of the Revised Home Mortgage Disclosure Act of 2015,Entity,a closed-end mortgage loan or open-end line of credit that is not an excluded transaction for HMDA reporting under US section 1003.3(c) of the Revised Home Mortgage Disclosure Act of 2015
1,Entity,1
LegalEntityIdentifier,Entity,LegalEntityIdentifier
isPlayedBy,Entity,isPlayedBy
a report prepared to satisfy HMDA regulatory reporting requirements as described US section 1003.3(c) of the Revised Home Mortgage Disclosure Act of 2015,Entity,a report prepared to satisfy HMDA regulatory reporting requirements as described US section 1003.3(c) of the Revised Home Mortgage Disclosure Act of 2015
HMDA-Disposition-FileClosedForIncompleteness,Entity,HMDA-Disposition-FileClosedForIncompleteness
HMDA report,Entity,HMDA report
Race,Entity,Race
the 2015 Revised HMDA regulation.,Entity,the 2015 Revised HMDA regulation.
a dwelling unit constructed on a base frame which features wheels and axles to be used in transporting home from place to place,Entity,a dwelling unit constructed on a base frame which features wheels and axles to be used in transporting home from place to place
N1d30fc9a3ad741c280945dc5459c5572,Entity,N1d30fc9a3ad741c280945dc5459c5572
MIT,Entity,MIT
hasHMDA-DispositionDate,Entity,hasHMDA-DispositionDate
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
"describes construction process, indicating that most elements are created at the homes permanent site. May include some prefabricated components",Entity,"describes construction process, indicating that most elements are created at the homes permanent site. May include some prefabricated components"
HMDA-Disposition-LoanPurchasedByYourInstitution,Entity,HMDA-Disposition-LoanPurchasedByYourInstitution
N0af04fed34fd4dc2b73ed3dcc7d2b840,Entity,N0af04fed34fd4dc2b73ed3dcc7d2b840
hasDate,Entity,hasDate
PreApprovalRequest,Entity,PreApprovalRequest
HMDA-Report,Entity,HMDA-Report
owl#ObjectProperty,Entity,owl#ObjectProperty
LegallyCompetentNaturalPerson,Entity,LegallyCompetentNaturalPerson
"In the US, the structure of this identifier is defined in the 2015 revision to the Home Mortgage Disclosure Act.",Entity,"In the US, the structure of this identifier is defined in the 2015 revision to the Home Mortgage Disclosure Act."
HowSubmitted-notDirectly,Entity,HowSubmitted-notDirectly
HowSubmitted,Entity,HowSubmitted
It does not meet HUD code.,Entity,It does not meet HUD code.
HMDA-Disposition-PreapprovalRequestApprovedButNotAccepted,Entity,HMDA-Disposition-PreapprovalRequestApprovedButNotAccepted
