id,type,name
mortgage insurance denied,Entity,mortgage insurance denied
date on which an application was signed and submitted,Entity,date on which an application was signed and submitted
"ratio of all monthly debt payments of all borrowers, including proposed expenses, with respect to the income of the borrowers as relied upon to make a credit decision",Entity,"ratio of all monthly debt payments of all borrowers, including proposed expenses, with respect to the income of the borrowers as relied upon to make a credit decision"
LifecycleStatus,Entity,LifecycleStatus
BorrowerMonthlyIncome,Entity,BorrowerMonthlyIncome
IncomeVerificationReport,Entity,IncomeVerificationReport
AssessmentReport,Entity,AssessmentReport
loan application status,Entity,loan application status
hasStage,Entity,hasStage
N353c6eb131454f6f80928ef3a3dfaa59,Entity,N353c6eb131454f6f80928ef3a3dfaa59
Nb56af92eafc44288a1bde70a96ea9178,Entity,Nb56af92eafc44288a1bde70a96ea9178
Na3a4cdacf9224665a2d315f3716ab412,Entity,Na3a4cdacf9224665a2d315f3716ab412
DenialReason-InsufficientEmploymentHistory,Entity,DenialReason-InsufficientEmploymentHistory
"If the risk assessment is based on one of the automated underwriting sytems, then the underwriting automation category is 'automated'. This dependency could be automated (as it were).",Entity,"If the risk assessment is based on one of the automated underwriting sytems, then the underwriting automation category is 'automated'. This dependency could be automated (as it were)."
PublicRecordCategory-BankruptcyRecord,Entity,PublicRecordCategory-BankruptcyRecord
lien record,Entity,lien record
has approved amount,Entity,has approved amount
DenialReason-InsufficientIncome,Entity,DenialReason-InsufficientIncome
Na6afaaea56244448aa121c3fc0cfdbb7,Entity,Na6afaaea56244448aa121c3fc0cfdbb7
CreditReport,Entity,CreditReport
hasDateOfAssessment,Entity,hasDateOfAssessment
CreditRiskAssessment,Entity,CreditRiskAssessment
DenialReason-CreditApplicationIncomplete,Entity,DenialReason-CreditApplicationIncomplete
IndividualPersonCreditRating,Entity,IndividualPersonCreditRating
loan at application stage,Entity,loan at application stage
owl#Restriction,Entity,owl#Restriction
"A commitment from a lender to a borrower to extend a home purchase loan up to a certain amount, and subject to certain non-credit related conditions.  This commitment is entered into after a comprehensive analysis of the credit worthiness of the borrower is carried out.",Entity,"A commitment from a lender to a borrower to extend a home purchase loan up to a certain amount, and subject to certain non-credit related conditions.  This commitment is entered into after a comprehensive analysis of the credit worthiness of the borrower is carried out."
Loan Applications Ontology,Entity,Loan Applications Ontology
N7dfea0d2ef424ed6907a57e554cfee08,Entity,N7dfea0d2ef424ed6907a57e554cfee08
N7a279d5bc7674b2ca28ceba928e92b69,Entity,N7a279d5bc7674b2ca28ceba928e92b69
hasDateReceived,Entity,hasDateReceived
assessment report detailing information about the borrower and their credit history that may be relevant to the loan application,Entity,assessment report detailing information about the borrower and their credit history that may be relevant to the loan application
insufficient collateral value,Entity,insufficient collateral value
garnishment record,Entity,garnishment record
owl#NamedIndividual,Entity,owl#NamedIndividual
XMLSchema#string,Entity,XMLSchema#string
"The application was denied because the credit history was too limited, unacceptable, or not at sufficient standing.",Entity,"The application was denied because the credit history was too limited, unacceptable, or not at sufficient standing."
has gross income,Entity,has gross income
1,Entity,1
UnderwritingDecision-Ineligible,Entity,UnderwritingDecision-Ineligible
N0a875391c9d0433391572f198c5a7d0d,Entity,N0a875391c9d0433391572f198c5a7d0d
"relates something, e.g. a loan, to the amount of funds approved",Entity,"relates something, e.g. a loan, to the amount of funds approved"
hasPartyRole,Entity,hasPartyRole
"There is intentionally no range for this property, so as not to limit what can be used as a factor. Often it will be a measure such as borrower monthly income. Thus, having a class called Factor seems unhelpful.",Entity,"There is intentionally no range for this property, so as not to limit what can be used as a factor. Often it will be a measure such as borrower monthly income. Thus, having a class called Factor seems unhelpful."
income verification report,Entity,income verification report
PublicRecordCategory-LienRecord,Entity,PublicRecordCategory-LienRecord
underwriting was performed using an automated underwriting system,Entity,underwriting was performed using an automated underwriting system
insufficient credit history,Entity,insufficient credit history
total debt expense ratio,Entity,total debt expense ratio
isEvidencedBy,Entity,isEvidencedBy
N3bf42b0ab84c4565816488de59c3d39e,Entity,N3bf42b0ab84c4565816488de59c3d39e
credit application incomplete,Entity,credit application incomplete
the 2015 Revised HMDA regulation.,Entity,the 2015 Revised HMDA regulation.
Requester,Entity,Requester
"This ontology defines concepts for the loan application process, along with kinds of loan application and the parties thereto. Another major thread of this ontology is credit risk assessment at the highest level, which includes security agreements, pre-approvals, and credit reports.",Entity,"This ontology defines concepts for the loan application process, along with kinds of loan application and the parties thereto. Another major thread of this ontology is credit risk assessment at the highest level, which includes security agreements, pre-approvals, and credit reports."
hasIntendedLoanPurpose,Entity,hasIntendedLoanPurpose
AssessmentActivity,Entity,AssessmentActivity
"relates something, e.g. a request for a loan, to the amount of funds requested",Entity,"relates something, e.g. a request for a loan, to the amount of funds requested"
owl#DatatypeProperty,Entity,owl#DatatypeProperty
DenialReason-InsufficientCreditHistory,Entity,DenialReason-InsufficientCreditHistory
MIT,Entity,MIT
record about an action involving a party that is publicly available from a court or other government agency,Entity,record about an action involving a party that is publicly available from a court or other government agency
isAbout,Entity,isAbout
LoanApplicationPhase,Entity,LoanApplicationPhase
classifier indicating whether a loan was underwritten manually or using an automated underwriting system,Entity,classifier indicating whether a loan was underwritten manually or using an automated underwriting system
LoanApplicationAtAgreementStage,Entity,LoanApplicationAtAgreementStage
Nae8cc461a16c4b84b2957b5510e3f33d,Entity,Nae8cc461a16c4b84b2957b5510e3f33d
hasRequestDate,Entity,hasRequestDate
insufficient cash,Entity,insufficient cash
PublicRecordCategory-PersonalPropertyRecord,Entity,PublicRecordCategory-PersonalPropertyRecord
N074aa097f3c54d009bb34e1394baee42,Entity,N074aa097f3c54d009bb34e1394baee42
"indicates whether a pre-approval has been requested, in conjunction with a loan application",Entity,"indicates whether a pre-approval has been requested, in conjunction with a loan application"
isPreApprovalRequested,Entity,isPreApprovalRequested
