id,type,name
isDeliveredBy,Entity,isDeliveredBy
Prepayment,Entity,Prepayment
XMLSchema#boolean,Entity,XMLSchema#boolean
assessment activity resulting in the valuation of real property as collateral,Entity,assessment activity resulting in the valuation of real property as collateral
disbursement date,Entity,disbursement date
Appraiser,Entity,Appraiser
hasMonetaryAmount,Entity,hasMonetaryAmount
"Copyright (c) 2015-2023 Object Management Group, Inc.",Entity,"Copyright (c) 2015-2023 Object Management Group, Inc."
>,Entity,>
"This ontology defines a wide range of events relating to loans. These include legal proceedings, prepayments, and so forth.",Entity,"This ontology defines a wide range of events relating to loans. These include legal proceedings, prepayments, and so forth."
Jurisdiction,Entity,Jurisdiction
p&gt;,Entity,p&gt;
hasDisbursementDate,Entity,hasDisbursementDate
Provisional,Entity,Provisional
LoanPaidInFull,Entity,LoanPaidInFull
loan phase,Entity,loan phase
loan paid in full,Entity,loan paid in full
inDefault,Entity,inDefault
hasJudgementAmount,Entity,hasJudgementAmount
CourtJudgment,Entity,CourtJudgment
N4be09aa9c8564b54b74b0b6b6ed37c53,Entity,N4be09aa9c8564b54b74b0b6b6ed37c53
owl#Restriction,Entity,owl#Restriction
repayment phase,Entity,repayment phase
N704261a79fc04f1897eece39009daebf,Entity,N704261a79fc04f1897eece39009daebf
isGovernedBy,Entity,isGovernedBy
N7a81e429002e4835b1192bc840606674,Entity,N7a81e429002e4835b1192bc840606674
Collateral,Entity,Collateral
Whether the loan is in default.,Entity,Whether the loan is in default.
is against,Entity,is against
evaluates,Entity,evaluates
"legal step or action taken at the direction of, or by the authority of, a court or agency",Entity,"legal step or action taken at the direction of, or by the authority of, a court or agency"
court judgment,Entity,court judgment
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
RepaymentPhase,Entity,RepaymentPhase
has judgement amount,Entity,has judgement amount
CourtOfLaw,Entity,CourtOfLaw
owl#ObjectProperty,Entity,owl#ObjectProperty
,Entity,
Occurrence,Entity,Occurrence
is delivered by,Entity,is delivered by
 approved = servicing mode. Something happens (non payment) =&gt; Default Grace Period followed by negotiation. Some threshold whereby after a given amount of delinquency it needs to go into some other process moving towards foreclosure. Do State Diagram. Stages of loan.,Entity, approved = servicing mode. Something happens (non payment) =&gt; Default Grace Period followed by negotiation. Some threshold whereby after a given amount of delinquency it needs to go into some other process moving towards foreclosure. Do State Diagram. Stages of loan.
loan default proceeding,Entity,loan default proceeding
collateral valuation,Entity,collateral valuation
owl#Class,Entity,owl#Class
LoanPhase,Entity,LoanPhase
hasDefaultAmount,Entity,hasDefaultAmount
has default amount,Entity,has default amount
Payment,Entity,Payment
Nfd8b51f6fcbf41388fb5586fb565e412,Entity,Nfd8b51f6fcbf41388fb5586fb565e412
isAgainst,Entity,isAgainst
LegalPerson,Entity,LegalPerson
isProvidedBy,Entity,isProvidedBy
isDeferred,Entity,isDeferred
decision by a court or other tribunal that resolves a controversy and determines the rights and obligations of the parties,Entity,decision by a court or other tribunal that resolves a controversy and determines the rights and obligations of the parties
CollateralValuation,Entity,CollateralValuation
legal proceeding,Entity,legal proceeding
0,Entity,0
Loan,Entity,Loan
in default,Entity,in default
owl#Ontology,Entity,owl#Ontology
LegalProceeding,Entity,LegalProceeding
LoanDefaultProceeding,Entity,LoanDefaultProceeding
ExplicitDate,Entity,ExplicitDate
is deferred,Entity,is deferred
Nb548b4b5a41c40a4a24c8cc87d311b0d,Entity,Nb548b4b5a41c40a4a24c8cc87d311b0d
AssessmentActivity,Entity,AssessmentActivity
owl#DatatypeProperty,Entity,owl#DatatypeProperty
LifecycleStage,Entity,LifecycleStage
prepayment,Entity,prepayment
N2d728a38b73848749730de5f4d3e8d94,Entity,N2d728a38b73848749730de5f4d3e8d94
amount before the application of sale proceeds and recoveries,Entity,amount before the application of sale proceeds and recoveries
MIT,Entity,MIT
hasExplicitDate,Entity,hasExplicitDate
LoanEvents,Entity,LoanEvents
MonetaryAmount,Entity,MonetaryAmount
