id,type,name
ProductDisclosureRight,Entity,ProductDisclosureRight
N36dba12d06344c3080b937fd6923bdf7,Entity,N36dba12d06344c3080b937fd6923bdf7
loan purpose,Entity,loan purpose
owl#Restriction,Entity,owl#Restriction
personal loan,Entity,personal loan
motorhome loan purpose,Entity,motorhome loan purpose
auto loan,Entity,auto loan
owl#NamedIndividual,Entity,owl#NamedIndividual
Nae90bd3975154e14a0c19b3120d4c82a,Entity,Nae90bd3975154e14a0c19b3120d4c82a
LoanProductOffering,Entity,LoanProductOffering
HomeEquityLoanPurpose,Entity,HomeEquityLoanPurpose
LoanProductDisclosureRight,Entity,LoanProductDisclosureRight
line item,Entity,line item
N661a1c30b40c4dfb8fd72f4517fdb071,Entity,N661a1c30b40c4dfb8fd72f4517fdb071
AutoLoanPurpose,Entity,AutoLoanPurpose
has preconditions,Entity,has preconditions
small business loan,Entity,small business loan
MIT,Entity,MIT
isAbout,Entity,isAbout
WorkingCapitalPurpose,Entity,WorkingCapitalPurpose
Nbf73c8cacf0940caa0d105e65d396c1d,Entity,Nbf73c8cacf0940caa0d105e65d396c1d
This is related to the mortgage loan purpose: 'business or commercial'.,Entity,This is related to the mortgage loan purpose: 'business or commercial'.
Ndf40d9c4298a46e8975d7f2d805f0886,Entity,Ndf40d9c4298a46e8975d7f2d805f0886
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
hasPreconditions,Entity,hasPreconditions
N65090b2036ec42838b25e263aecaac96,Entity,N65090b2036ec42838b25e263aecaac96
loan product,Entity,loan product
LoanMarketCategory-Education,Entity,LoanMarketCategory-Education
refersTo,Entity,refersTo
hasCost,Entity,hasCost
isExemplifiedBy,Entity,isExemplifiedBy
N7027ad2d0ceb4841b9fc4610db58fee6,Entity,N7027ad2d0ceb4841b9fc4610db58fee6
Collateral,Entity,Collateral
LoanMarketCategory-Mortgage,Entity,LoanMarketCategory-Mortgage
category indicating the market domain in which the loan product is offered,Entity,category indicating the market domain in which the loan product is offered
IndustrySectorClassifier,Entity,IndustrySectorClassifier
owl#ObjectProperty,Entity,owl#ObjectProperty
OrdinaryLoanPurpose,Entity,OrdinaryLoanPurpose
residential houseboat loan purpose,Entity,residential houseboat loan purpose
construction loan purpose,Entity,construction loan purpose
credit card receivable purpose,Entity,credit card receivable purpose
BridgingLoanPurpose,Entity,BridgingLoanPurpose
XMLSchema#decimal,Entity,XMLSchema#decimal
ResidentialHouseboatLoanPurpose,Entity,ResidentialHouseboatLoanPurpose
mortgage loan,Entity,mortgage loan
working capital purpose,Entity,working capital purpose
loan product disclosure right,Entity,loan product disclosure right
LoanProduct,Entity,LoanProduct
LoanProductRepresentations,Entity,LoanProductRepresentations
N27a8862b6c9d4e10999ff858dc79e3cd,Entity,N27a8862b6c9d4e10999ff858dc79e3cd
LoanPurpose,Entity,LoanPurpose
Loan Products Ontology,Entity,Loan Products Ontology
LoanMarketCategory-SmallBusiness,Entity,LoanMarketCategory-SmallBusiness
appliesTo,Entity,appliesTo
hasConstituent,Entity,hasConstituent
LoanMarketCategory-Personal,Entity,LoanMarketCategory-Personal
isClassifiedBy,Entity,isClassifiedBy
financial product that is realized as a loan that a party may acquire from a lending institution with specific characteristics and terms,Entity,financial product that is realized as a loan that a party may acquire from a lending institution with specific characteristics and terms
ConstructionLoanPurpose,Entity,ConstructionLoanPurpose
auto loan purpose,Entity,auto loan purpose
Future consideration: move this property to ProductsAndServices ontology (fibo-fnd-pas-pas).,Entity,Future consideration: move this property to ProductsAndServices ontology (fibo-fnd-pas-pas).
education loan,Entity,education loan
Product,Entity,Product
overdraft facility purpose,Entity,overdraft facility purpose
MortgageProduct,Entity,MortgageProduct
