source_id,target_id,relationship
N7d170a6675cd43a6ba95b05f1b750576,RegulatoryAgency,owl#someValuesFrom
administeredBy,owl#ObjectProperty,22-rdf-syntax-ns#type
N7d170a6675cd43a6ba95b05f1b750576,administeredBy,owl#onProperty
ConsumerCreditProtectionLaw,consumer credit protection law,rdf-schema#label
N503feb97fa5943c9a66d7e98df2b08b6,GoodFaithEstimate,owl#someValuesFrom
RightOfCreditRecordCorrection,CreditReferenceAgencyRequirements,rdf-schema#subClassOf
ConsumerCreditReferenceAgency,FormalOrganization,rdf-schema#subClassOf
LenderRight,LegalRight,rdf-schema#subClassOf
requirementSectionAndParagraph,requirement section and paragraph,rdf-schema#label
Ne5199f97044d43ad874de4b2ff476493,ProductDisclosureRight,owl#someValuesFrom
Na830d9dee7184fb2af91952037442e0e,Loan,owl#someValuesFrom
requirementActReference,requirement act reference,rdf-schema#label
Nb7d8761e391f485dad7cbfddd5f4214d,owl#Restriction,22-rdf-syntax-ns#type
requirementActReference,XMLSchema#string,rdf-schema#range
DisclosureRequirement,Requirement for disclosure to borrowers or potential borrowers. There are two kinds of disclosure requirement: 1. Disclosure about the information held on the borrower 2. Disclsure about the product.,core#definition
N168c180b4973429a8eb414b5923a8a0d,confers,owl#onProperty
Ndad31b9309af454da32d71ea7090976b,governs,owl#onProperty
GoodFaithEstimate,LoanProductRepresentations,rdf-schema#subClassOf
ConsumerProtectionAgency,owl#Class,22-rdf-syntax-ns#type
N3e164b51ef3e4c89b202a6303b996754,owl#Restriction,22-rdf-syntax-ns#type
administeredBy,LoanRegulatoryRequirement,rdf-schema#domain
LoanProductRepresentations,owl#Class,22-rdf-syntax-ns#type
RegZ,"Creditors may delivery disclosures electronic if they obtain consumer's consent. Also relate to international, and foreign languages. This is disclosures about the Product.",explanatoryNote
LoanRegulatoryRequirement,A regulatory requirement defined in regulations by a comsumer credit act or other legislation.,core#definition
RegB,DisclosureRequirement,rdf-schema#subClassOf
LoanRegulatoryRequirement,Presence of a loan regulatory requirement associated with a loan indicates that the loan is regulated by the UK Consumer credit act or the equivalent in continental Europe.,explanatoryNote
N3e164b51ef3e4c89b202a6303b996754,ConsumerCreditProtectionLaw,owl#someValuesFrom
ProductDisclosureRight,owl#Class,22-rdf-syntax-ns#type
BorrowerDisclosureRequirement,Ne5199f97044d43ad874de4b2ff476493,rdf-schema#subClassOf
DataProtectionRequirement,data protection requirement,rdf-schema#label
BorrowerDataProtectionRequirement,Ndad31b9309af454da32d71ea7090976b,rdf-schema#subClassOf
BorrowerDisclosureRequirement,owl#Class,22-rdf-syntax-ns#type
Ndad31b9309af454da32d71ea7090976b,ConsumerCreditReferenceAgency,owl#someValuesFrom
overseenBy,ConsumerCreditRequirement,rdf-schema#domain
BorrowerRight,borrower right,rdf-schema#label
LoanRegulatoryRequirement,N3e164b51ef3e4c89b202a6303b996754,rdf-schema#subClassOf
Ne5199f97044d43ad874de4b2ff476493,owl#Restriction,22-rdf-syntax-ns#type
overseenBy,overseen by,rdf-schema#label
overseenBy,ConsumerProtectionAgency,rdf-schema#range
ConsumerProtectionLaw,owl#Class,22-rdf-syntax-ns#type
GoodFaithEstimate,GFE - representation by the lender on the costs and implications of settlement (early termination) of the loan.,core#definition
ConsumerCreditRequirement,N7f0ecfa1373541bb9ef73ebb05cfefae,rdf-schema#subClassOf
ConsumerProtectionAgency,consumer protection agency,rdf-schema#label
N09d2caadc06041af83cb9eea48863187,governs,owl#onProperty
ProductDisclosureRight,InformationRight,rdf-schema#subClassOf
DataProtectionRequirement,owl#Class,22-rdf-syntax-ns#type
EqualTreatmentRight,The right to equal treatment under the law.,core#definition
,,owl#imports
N503feb97fa5943c9a66d7e98df2b08b6,governs,owl#onProperty
ConsumerCreditEqualTreatmentRequirement,N168c180b4973429a8eb414b5923a8a0d,rdf-schema#subClassOf
InformationRight,BorrowerRight,rdf-schema#subClassOf
InformationRight,owl#Class,22-rdf-syntax-ns#type
ProductDisclosureRight,"Includes retail, insurance and financial product disclosures",explanatoryNote
LoanProductRepresentations,loan product representations,rdf-schema#label
N09d2caadc06041af83cb9eea48863187,BorrowerAssessment,owl#someValuesFrom
N7d170a6675cd43a6ba95b05f1b750576,owl#Restriction,22-rdf-syntax-ns#type
BorrowerDataProtectionRequirement,owl#Class,22-rdf-syntax-ns#type
overseenBy,owl#ObjectProperty,22-rdf-syntax-ns#type
ConsumerCreditRequirement,owl#Class,22-rdf-syntax-ns#type
ConsumerRight,consumer right,rdf-schema#label
ConsumerCreditReferenceAgency,consumer credit reference agency,rdf-schema#label
N09d2caadc06041af83cb9eea48863187,owl#Restriction,22-rdf-syntax-ns#type
