id,type,name
reg b,Entity,reg b
equal treatment right,Entity,equal treatment right
ProductDisclosureRight,Entity,ProductDisclosureRight
"Includes retail, insurance and financial product disclosures",Entity,"Includes retail, insurance and financial product disclosures"
requirementSectionAndParagraph,Entity,requirementSectionAndParagraph
"REquirements other than data protection, governing what a credit reference agency can or cannot do.",Entity,"REquirements other than data protection, governing what a credit reference agency can or cannot do."
Provided in a timely way. Also associated with cooling off periods,Entity,Provided in a timely way. Also associated with cooling off periods
"This ontology contains concepts relating to regulatory requirements around loans, including disclosure rights and a small number of regulation-specific concepts. These include definitions of rights conferred on borrowers under consumer protection law, rights to equal treatment and the like.",Entity,"This ontology contains concepts relating to regulatory requirements around loans, including disclosure rights and a small number of regulation-specific concepts. These include definitions of rights conferred on borrowers under consumer protection law, rights to equal treatment and the like."
DisclosureRequirement,Entity,DisclosureRequirement
ProductDisclosureRequirement,Entity,ProductDisclosureRequirement
N503feb97fa5943c9a66d7e98df2b08b6,Entity,N503feb97fa5943c9a66d7e98df2b08b6
N09d2caadc06041af83cb9eea48863187,Entity,N09d2caadc06041af83cb9eea48863187
reg z,Entity,reg z
FormalOrganization,Entity,FormalOrganization
owl#Restriction,Entity,owl#Restriction
ConsumerCreditReferenceAgency,Entity,ConsumerCreditReferenceAgency
"A requirement governing what representations can be made about a product, as it affects the consumer.",Entity,"A requirement governing what representations can be made about a product, as it affects the consumer."
regulates,Entity,regulates
N3e164b51ef3e4c89b202a6303b996754,Entity,N3e164b51ef3e4c89b202a6303b996754
XMLSchema#string,Entity,XMLSchema#string
StatuteLaw,Entity,StatuteLaw
LoansRegulatory,Entity,LoansRegulatory
LoanRegulatoryRequirement,Entity,LoanRegulatoryRequirement
requirement section and paragraph,Entity,requirement section and paragraph
Representations about the loan product and the appropriateness of this for the borrower.,Entity,Representations about the loan product and the appropriateness of this for the borrower.
lender right,Entity,lender right
N7f0ecfa1373541bb9ef73ebb05cfefae,Entity,N7f0ecfa1373541bb9ef73ebb05cfefae
The right to information about products at the point of purchasing these.,Entity,The right to information about products at the point of purchasing these.
data protection requirement,Entity,data protection requirement
N7d170a6675cd43a6ba95b05f1b750576,Entity,N7d170a6675cd43a6ba95b05f1b750576
ConsumerCreditEqualTreatmentRequirement,Entity,ConsumerCreditEqualTreatmentRequirement
"US Fed regulation ""Truth in Lending Act"" uniform standards for electronic delivery of disclosures",Entity,"US Fed regulation ""Truth in Lending Act"" uniform standards for electronic delivery of disclosures"
owl#DatatypeProperty,Entity,owl#DatatypeProperty
ConsumerProtectionLaw,Entity,ConsumerProtectionLaw
ConsumerCreditProtectionLaw,Entity,ConsumerCreditProtectionLaw
MIT,Entity,MIT
consumer credit equal treatment requirement,Entity,consumer credit equal treatment requirement
consumer credit requirement,Entity,consumer credit requirement
LegalObligation,Entity,LegalObligation
N168c180b4973429a8eb414b5923a8a0d,Entity,N168c180b4973429a8eb414b5923a8a0d
ConsumerProtectionAgency,Entity,ConsumerProtectionAgency
disclosure requirement,Entity,disclosure requirement
The right to equal treatment under the law.,Entity,The right to equal treatment under the law.
information right,Entity,information right
