source_id,target_id,relationship
LoansGeneralModule,Office of Financial Research (US Dept of the Treasury),contributor
LoansGeneralModule,Federated Knowledge LLC,contributor
LoansGeneralModule,FIBO LOAN Loans General Module,title
LoansGeneralModule,"This module contains ontologies defining concepts that apply to most loans, including but not limited to applications.",abstract
,,owl#imports
LoansGeneralModule,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
LoansGeneralModule,,hasPart
LoansGeneralModule,Tahoe Blue Ltd,contributor
,MIT,license
LoansGeneralModule,Financial Industry Business Ontology (FIBO) Loans (LOAN) Loans General Module,title
,2023-02-03T18:00:00,modified
LoansGeneralModule,Hypercube Ltd.,contributor
LoansGeneralModule,owl#NamedIndividual,22-rdf-syntax-ns#type
LoansGeneralModule,agnos.ai U.K. Ltd,contributor
,2018-03-31T18:00:00,issued
,,owl#versionIRI
LoansGeneralModule,loans general module,rdf-schema#label
LoansGeneralModule,Thematix Partners LLC,contributor
LoansGeneralModule,Module,22-rdf-syntax-ns#type
,owl#Ontology,22-rdf-syntax-ns#type
LoansGeneralModule,,rdf-schema#seeAlso
LoansGeneralModule,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
LoansGeneralModule,John F. Gemski,contributor
LoansGeneralModule,MIT,license
,"This module contains ontologies defining concepts that apply to most loans, including but not limited to applications.",abstract
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
LoansGeneralModule,"Semantic Arts, Inc.",contributor
LoansGeneralModule,Wells Fargo,contributor
,Metadata for the EDMC-FIBO Loans (LOAN) Loans General Module,rdf-schema#label
LoansGeneralModule,"Adaptive, Inc.",contributor
