source_id,target_id,relationship
,2024-11-08T18:00:00,modified
,,owl#imports
LoansSpecificModule,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
LoansSpecificModule,"This module contains ontologies of concepts descriptive of a range of loans, excluding real estate, including commercial and consumer loans differentiated by purpose.",abstract
LoansSpecificModule,Module,22-rdf-syntax-ns#type
LoansSpecificModule,owl#NamedIndividual,22-rdf-syntax-ns#type
LoansSpecificModule,loans specific module,rdf-schema#label
LoansSpecificModule,,hasPart
,MIT,license
LoansSpecificModule,Tahoe Blue Ltd,contributor
,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
LoansSpecificModule,Financial Industry Business Ontology (FIBO) Loans (LOAN) Loans Specific Module,title
,2018-03-31T18:00:00,issued
LoansSpecificModule,agnos.ai U.K. Ltd,contributor
,,owl#versionIRI
LoansSpecificModule,FIBO LOAN Loans Specific Module,title
LoansSpecificModule,Thematix Partners LLC,contributor
,owl#Ontology,22-rdf-syntax-ns#type
LoansSpecificModule,"Semantic Arts, Inc.",contributor
LoansSpecificModule,MIT,license
,Metadata for the EDMC-FIBO Loans (LOAN) Loans - Specific Module,rdf-schema#label
LoansSpecificModule,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
LoansSpecificModule,,rdf-schema#seeAlso
LoansSpecificModule,John F. Gemski,contributor
LoansSpecificModule,Wells Fargo,contributor
LoansSpecificModule,FIÙTUR,contributor
LoansSpecificModule,"Adaptive, Inc.",contributor
,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
LoansSpecificModule,Office of Financial Research (US Dept of the Treasury),contributor
,"This module contains ontologies of concepts descriptive of a range of loans, excluding real estate, including commercial and consumer, loans differentiated by purpose, and their differentiating characteristics.",abstract
LoansSpecificModule,Federated Knowledge LLC,contributor
LoansSpecificModule,Hypercube Ltd.,contributor
