id,type,name
Module,Entity,Module
"Semantic Arts, Inc.",Entity,"Semantic Arts, Inc."
"Copyright (c) 2018-2024 EDM Council, Inc.",Entity,"Copyright (c) 2018-2024 EDM Council, Inc."
"This module contains ontologies of concepts descriptive of a range of loans, excluding real estate, including commercial and consumer, loans differentiated by purpose, and their differentiating characteristics.",Entity,"This module contains ontologies of concepts descriptive of a range of loans, excluding real estate, including commercial and consumer, loans differentiated by purpose, and their differentiating characteristics."
Metadata for the EDMC-FIBO Loans (LOAN) Loans - Specific Module,Entity,Metadata for the EDMC-FIBO Loans (LOAN) Loans - Specific Module
Thematix Partners LLC,Entity,Thematix Partners LLC
Hypercube Ltd.,Entity,Hypercube Ltd.
FIÙTUR,Entity,FIÙTUR
Federated Knowledge LLC,Entity,Federated Knowledge LLC
Wells Fargo,Entity,Wells Fargo
loans specific module,Entity,loans specific module
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
Financial Industry Business Ontology (FIBO) Loans (LOAN) Loans Specific Module,Entity,Financial Industry Business Ontology (FIBO) Loans (LOAN) Loans Specific Module
"Copyright (c) 2018-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2018-2024 Object Management Group, Inc."
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
2018-03-31T18:00:00,Entity,2018-03-31T18:00:00
FIBO LOAN Loans Specific Module,Entity,FIBO LOAN Loans Specific Module
LoansSpecificModule,Entity,LoansSpecificModule
"Adaptive, Inc.",Entity,"Adaptive, Inc."
2024-11-08T18:00:00,Entity,2024-11-08T18:00:00
"This module contains ontologies of concepts descriptive of a range of loans, excluding real estate, including commercial and consumer loans differentiated by purpose.",Entity,"This module contains ontologies of concepts descriptive of a range of loans, excluding real estate, including commercial and consumer loans differentiated by purpose."
owl#Ontology,Entity,owl#Ontology
John F. Gemski,Entity,John F. Gemski
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
MIT,Entity,MIT
agnos.ai U.K. Ltd,Entity,agnos.ai U.K. Ltd
