source_id,target_id,relationship
,2024-10-19T18:00:00,modified
,,owl#imports
RealEstateLoansModule,agnos.ai U.K. Ltd,contributor
RealEstateLoansModule,"This module contains ontologies defining concepts that apply to related to land and anything permanently attached to it, whether natural or man-made, including but not limited to construction loans.",abstract
RealEstateLoansModule,"Semantic Arts, Inc.",contributor
,MIT,license
RealEstateLoansModule,MIT,license
RealEstateLoansModule,real estate loans module,rdf-schema#label
RealEstateLoansModule,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
RealEstateLoansModule,,rdf-schema#seeAlso
,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
,Metadata for the EDMC-FIBO Loans (LOAN) Real Estate Loans Module,rdf-schema#label
RealEstateLoansModule,FIBO LOAN Real Estate Loans Module,title
RealEstateLoansModule,John F. Gemski,contributor
RealEstateLoansModule,"Adaptive, Inc.",contributor
RealEstateLoansModule,Thematix Partners LLC,contributor
,2018-03-31T18:00:00,issued
,,owl#versionIRI
RealEstateLoansModule,Wells Fargo,contributor
,owl#Ontology,22-rdf-syntax-ns#type
RealEstateLoansModule,Office of Financial Research (US Dept of the Treasury),contributor
RealEstateLoansModule,Federated Knowledge LLC,contributor
RealEstateLoansModule,Financial Industry Business Ontology (FIBO) Loans (LOAN) Real Estate Loans Module,title
RealEstateLoansModule,Hypercube Ltd.,contributor
,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
RealEstateLoansModule,,hasPart
RealEstateLoansModule,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
RealEstateLoansModule,Module,22-rdf-syntax-ns#type
RealEstateLoansModule,owl#NamedIndividual,22-rdf-syntax-ns#type
RealEstateLoansModule,Tahoe Blue Ltd,contributor
,"This module contains ontologies defining concepts that apply to loans related to land and anything permanently attached to it, whether natural or man-made, including but not limited to construction loans.",abstract
