source_id,target_id,relationship
LOANDomain,Office of Financial Research (US Dept of the Treasury),contributor
LOANDomain,FIBO LOAN Domain,title
,"The FIBO Loan domain defines concepts that are common to loans in various market categories including but not limited to commercial, small business, automobile, education and mortgage. High-level concepts relevant to loan contracts include the obligations of parties playing different roles, credit and risk, security agreements as well as additional detail for HMDA-specific loans. Details defining debt instruments in general are covered in a separate debt module in the Securities domain.",abstract
,,owl#imports
LOANDomain,Federated Knowledge LLC,contributor
,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
LOANDomain,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
,MIT,license
LOANDomain,LoansGeneralModule,hasPart
LOANDomain,Tahoe Blue Ltd,contributor
,2023-02-03T18:00:00,modified
LOANDomain,Hypercube Ltd.,contributor
LOANDomain,"The FIBO Loan domain defines concepts that are common to loans in various market categories including but not limited to commercial, small business, automobile, education and mortgage. High-level concepts relevant to loan contracts include the obligations of parties playing different roles, credit and risk, security agreements as well as additional detail for HMDA-specific loans. Details defining debt instruments in general are covered in a separate debt module in the Securities domain.",abstract
LOANDomain,owl#NamedIndividual,22-rdf-syntax-ns#type
LOANDomain,agnos.ai U.K. Ltd,contributor
,2018-03-31T18:00:00,issued
,,owl#versionIRI
LOANDomain,Thematix Partners LLC,contributor
LOANDomain,LoansSpecificModule,hasPart
LOANDomain,Module,22-rdf-syntax-ns#type
,owl#Ontology,22-rdf-syntax-ns#type
LOANDomain,RealEstateLoansModule,hasPart
LOANDomain,,rdf-schema#seeAlso
LOANDomain,loan domain,rdf-schema#label
LOANDomain,"Copyright (c) 2018-2023 Object Management Group, Inc.",copyright
LOANDomain,John F. Gemski,contributor
,Metadata for the EDMC-FIBO Loans (LOAN) Domain,rdf-schema#label
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
LOANDomain,MIT,license
LOANDomain,"Semantic Arts, Inc.",contributor
LOANDomain,Wells Fargo,contributor
LOANDomain,"Adaptive, Inc.",contributor
LOANDomain,EDMC Financial Industry Business Ontology (FIBO) Loans (LOAN) Domain,title
