id,type,name
XMLSchema#boolean,Entity,XMLSchema#boolean
has closing date,Entity,has closing date
hasEffectiveDate,Entity,hasEffectiveDate
"Normally, closed-end reverse mortgages are first liens.",Entity,"Normally, closed-end reverse mortgages are first liens."
loan secured by real estate,Entity,loan secured by real estate
"Copyright (c) 2016-2024 EDM Council, Inc.",Entity,"Copyright (c) 2016-2024 EDM Council, Inc."
open-end mortgage loan,Entity,open-end mortgage loan
UseOfProceedsProvision,Entity,UseOfProceedsProvision
"A mortgage prevents transfer of the ownership of the real property unless the financial interest is satisfied. Any loan can be collateralized by a mortgage, including, for example, a bail bond.",Entity,"A mortgage prevents transfer of the ownership of the real property unless the financial interest is satisfied. Any loan can be collateralized by a mortgage, including, for example, a bail bond."
The interest accrued is added to the principal balance.,Entity,The interest accrued is added to the principal balance.
N00f8dea7da3d4ce39eb2d361fc5bf198,Entity,N00f8dea7da3d4ce39eb2d361fc5bf198
hasContractualElement,Entity,hasContractualElement
mortgage,Entity,mortgage
loan secured by real estate with no ability for the borrower to receive additional funds under the loan at a later date,Entity,loan secured by real estate with no ability for the borrower to receive additional funds under the loan at a later date
hasInitialFundingDate,Entity,hasInitialFundingDate
RealProperty,Entity,RealProperty
refersTo,Entity,refersTo
ClosedEndMortgageLoan,Entity,ClosedEndMortgageLoan
isCollateralizedBy,Entity,isCollateralizedBy
Mortgages Ontology,Entity,Mortgages Ontology
owl#ObjectProperty,Entity,owl#ObjectProperty
"reverse mortgage that provides a lump sum payment to the borrower at closing, with no ability for the borrower to receive additional funds under the mortgage at a later date",Entity,"reverse mortgage that provides a lump sum payment to the borrower at closing, with no ability for the borrower to receive additional funds under the mortgage at a later date"
owl#Restriction,Entity,owl#Restriction
has initial funding date,Entity,has initial funding date
LoanSecuredByRealEstate,Entity,LoanSecuredByRealEstate
"Normally, open-end reverse mortgages are first liens. These include combinations of both a lump sum payment to the borrower at closing and payments after the closing of the loan.",Entity,"Normally, open-end reverse mortgages are first liens. These include combinations of both a lump sum payment to the borrower at closing and payments after the closing of the loan."
loan secured by real estate that pays money to the borrower against a set principal limit based on the value of existing equity in the underlying collateral,Entity,loan secured by real estate that pays money to the borrower against a set principal limit based on the value of existing equity in the underlying collateral
OpenEndCredit,Entity,OpenEndCredit
closed-end mortgage loan,Entity,closed-end mortgage loan
Nd0e2ce29f54647b49ffec137ee3e74a0,Entity,Nd0e2ce29f54647b49ffec137ee3e74a0
"Copyright (c) 2016-2024 Object Management Group, Inc.",Entity,"Copyright (c) 2016-2024 Object Management Group, Inc."
indicates whether or not the loan can be converted into an adjustable-rate mortgage contract (ARM),Entity,indicates whether or not the loan can be converted into an adjustable-rate mortgage contract (ARM)
N41803aa020d74adcb7ad1af5656fca6b,Entity,N41803aa020d74adcb7ad1af5656fca6b
OpenEndReverseMortgage,Entity,OpenEndReverseMortgage
,Entity,
ClosedEndReverseMortgage,Entity,ClosedEndReverseMortgage
is ARM convertible,Entity,is ARM convertible
Release,Entity,Release
"relates a mortgage to the date on which the contract is consummated, officially creating the obligations therein",Entity,"relates a mortgage to the date on which the contract is consummated, officially creating the obligations therein"
"Consolidated Reports of Condition and Income for a Bank with Domestic and Foreign Offices - FFIEC 031; Board of Governors of the Federal Reserve System OMB Number 7100-0036, Federal Deposit Insurance Corporation OMB Number 3064-0052, Office of the Comptroller of the Currency OMB Number 1557-0081, dated 20240930",Entity,"Consolidated Reports of Condition and Income for a Bank with Domestic and Foreign Offices - FFIEC 031; Board of Governors of the Federal Reserve System OMB Number 7100-0036, Federal Deposit Insurance Corporation OMB Number 3064-0052, Office of the Comptroller of the Currency OMB Number 1557-0081, dated 20240930"
owl#Class,Entity,owl#Class
ReverseMortgageLoan,Entity,ReverseMortgageLoan
N957a0b925d544e7d9732aa247742d197,Entity,N957a0b925d544e7d9732aa247742d197
hasCreditLimit,Entity,hasCreditLimit
Mortgage,Entity,Mortgage
TransactionDate,Entity,TransactionDate
N5feba859520e452cb9022f5c6fe48f2c,Entity,N5feba859520e452cb9022f5c6fe48f2c
"In the US, to be considered wholly or substantially secured by a lien or liens on real property, the estimated value of the real estate collateral at origination (after deducting any more senior liens held by others) must be greater than 50 percent of the principal amount of the loan at origination.",Entity,"In the US, to be considered wholly or substantially secured by a lien or liens on real property, the estimated value of the real estate collateral at origination (after deducting any more senior liens held by others) must be greater than 50 percent of the principal amount of the loan at origination."
"reverse mortgage structured like a home equity line of credit in that it provides the borrower with additional funds after closing (either as fixed monthly payments, under a line of credit, or both)",Entity,"reverse mortgage structured like a home equity line of credit in that it provides the borrower with additional funds after closing (either as fixed monthly payments, under a line of credit, or both)"
"In general parlance, loans secured by real estate are often called mortgages or mortgage loans. This usage conflates a number of related concepts, which would limit the usability of FIBO for financial institutions and regulators with respect to such loans. As described herein, many different kinds of loans can be secured by real estate, including various commercial, construction, agricultural, and consumer loans.",Entity,"In general parlance, loans secured by real estate are often called mortgages or mortgage loans. This usage conflates a number of related concepts, which would limit the usability of FIBO for financial institutions and regulators with respect to such loans. As described herein, many different kinds of loans can be secured by real estate, including various commercial, construction, agricultural, and consumer loans."
open-end reverse mortgage,Entity,open-end reverse mortgage
Na57e3392ae364df2b886a5ecadc3db62,Entity,Na57e3392ae364df2b886a5ecadc3db62
DisclosureProvision,Entity,DisclosureProvision
MonetaryAmount,Entity,MonetaryAmount
owl#Ontology,Entity,owl#Ontology
"The borrower agrees to pay the lender over time, typically in a series of regular payments divided into principal and interest. The property then serves as collateral to secure the loan.",Entity,"The borrower agrees to pay the lender over time, typically in a series of regular payments divided into principal and interest. The property then serves as collateral to secure the loan."
grant of financial interest in real property to a party that is not an owner of that real property and is recorded by a registration authority,Entity,grant of financial interest in real property to a party that is not an owner of that real property and is recorded by a registration authority
"loan that, at origination, is secured wholly or substantially by a lien or liens on real property for which the lien or liens are central to the extension of the credit - that is, the borrower would not have been extended credit in the same amount or on terms as favorable without the lien or liens on real property",Entity,"loan that, at origination, is secured wholly or substantially by a lien or liens on real property for which the lien or liens are central to the extension of the credit - that is, the borrower would not have been extended credit in the same amount or on terms as favorable without the lien or liens on real property"
Nb0482fd9f9ba4787a4f1043d787b8547,Entity,Nb0482fd9f9ba4787a4f1043d787b8547
"Instructions for the Preparation of Consolidated Reports of Condition and Income, FFIEC 031 and FFIEC 041, Updated March 2023, clause A-91",Entity,"Instructions for the Preparation of Consolidated Reports of Condition and Income, FFIEC 031 and FFIEC 041, Updated March 2023, clause A-91"
owl#DatatypeProperty,Entity,owl#DatatypeProperty
OpenEndMortgageLoan,Entity,OpenEndMortgageLoan
