id,type,name
FundsTax,Entity,FundsTax
swing,Entity,swing
incursFees.1,Entity,incursFees.1
determination date,Entity,determination date
FeePayable,Entity,FeePayable
FundUnit,Entity,FundUnit
Provisional,Entity,Provisional
accrued taxes,Entity,accrued taxes
FundPrice,Entity,FundPrice
incursTransactionFee,Entity,incursTransactionFee
Date,Entity,Date
SwingPrice,Entity,SwingPrice
sigma value of holdings,Entity,sigma value of holdings
SecurityPrice,Entity,SecurityPrice
incursFees,Entity,incursFees
owl#Restriction,Entity,owl#Restriction
fund price,Entity,fund price
DatePeriod,Entity,DatePeriod
determination period,Entity,determination period
determinationDate.1,Entity,determinationDate.1
accrued fees,Entity,accrued fees
"Copyright (c) 2013-2023 EDM Council, Inc.",Entity,"Copyright (c) 2013-2023 EDM Council, Inc."
XMLSchema#string,Entity,XMLSchema#string
owl#ObjectProperty,Entity,owl#ObjectProperty
,Entity,
AccruedIncome,Entity,AccruedIncome
net or gross of fees,Entity,net or gross of fees
CollectiveInvestmentVehicle,Entity,CollectiveInvestmentVehicle
incurs fees,Entity,incurs fees
Nc6deba6b6053495d8667f82768877789,Entity,Nc6deba6b6053495d8667f82768877789
owl#Class,Entity,owl#Class
fee payable,Entity,fee payable
determinationPeriod,Entity,determinationPeriod
determines,Entity,determines
incurs tax,Entity,incurs tax
FundsTemporal,Entity,FundsTemporal
Swing,Entity,Swing
accrued income,Entity,accrued income
incurs,Entity,incurs
AccruedFees,Entity,AccruedFees
Investor,Entity,Investor
swing price,Entity,swing price
owl#Ontology,Entity,owl#Ontology
incursTax.1,Entity,incursTax.1
FundUnitPerformance,Entity,FundUnitPerformance
has performance,Entity,has performance
netOrGrossOfFees,Entity,netOrGrossOfFees
appliesTo,Entity,appliesTo
owl#DatatypeProperty,Entity,owl#DatatypeProperty
incursTax,Entity,incursTax
THe period for which the performance is determined,Entity,THe period for which the performance is determined
hasPerformance,Entity,hasPerformance
funds tax,Entity,funds tax
SigmaValueOfHoldings,Entity,SigmaValueOfHoldings
MIT,Entity,MIT
AccruedTaxes,Entity,AccruedTaxes
FundPortfolio,Entity,FundPortfolio
"Terms which have a time component (either real time, intra-day or dated terms). These include Net Present Value (NPV) and related analytics.",Entity,"Terms which have a time component (either real time, intra-day or dated terms). These include Net Present Value (NPV) and related analytics."
incurs transaction fee,Entity,incurs transaction fee
fund unit performance,Entity,fund unit performance
