source_id,target_id,relationship
CIVTemporalModule,MIT,license
,,owl#imports
CIVTemporalModule,,rdf-schema#seeAlso
CIVTemporalModule,Financial Industry Business Ontology (FIBO) Market Data (MD) Collective Investment Vehicles Temporal Module,title
CIVTemporalModule,This module provides time-dependent concepts specific to funds and other collective investment vehicles.,abstract
,MIT,license
,2018-08-27T18:00:00,issued
,,owl#versionIRI
,Metadata for the EDMC-FIBO Market Data (MD) CIV Temporal Module,rdf-schema#label
,owl#Ontology,22-rdf-syntax-ns#type
,This module provides time-dependent concepts specific to funds and other collective investment vehicles.,abstract
CIVTemporalModule,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
,2023-03-31T18:00:00,modified
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
CIVTemporalModule,,hasPart
CIVTemporalModule,owl#NamedIndividual,22-rdf-syntax-ns#type
CIVTemporalModule,FIBO MD Collective Investment Vehicles Temporal Module,title
CIVTemporalModule,Module,22-rdf-syntax-ns#type
CIVTemporalModule,collective investment vehicles temporal module,rdf-schema#label
