id,type,name
2023-03-31T18:00:00,Entity,2023-03-31T18:00:00
owl#Ontology,Entity,owl#Ontology
This module provides time-dependent concepts specific to funds and other collective investment vehicles.,Entity,This module provides time-dependent concepts specific to funds and other collective investment vehicles.
Metadata for the EDMC-FIBO Market Data (MD) CIV Temporal Module,Entity,Metadata for the EDMC-FIBO Market Data (MD) CIV Temporal Module
Module,Entity,Module
Financial Industry Business Ontology (FIBO) Market Data (MD) Collective Investment Vehicles Temporal Module,Entity,Financial Industry Business Ontology (FIBO) Market Data (MD) Collective Investment Vehicles Temporal Module
FIBO MD Collective Investment Vehicles Temporal Module,Entity,FIBO MD Collective Investment Vehicles Temporal Module
CIVTemporalModule,Entity,CIVTemporalModule
collective investment vehicles temporal module,Entity,collective investment vehicles temporal module
MIT,Entity,MIT
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
