source_id,target_id,relationship
,,owl#imports
,MIT,license
DebtTemporalModule,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
DebtTemporalModule,"This module covers time-dependent concepts related to debt instruments, such as pricing, yields and analytics.",abstract
,2018-08-27T18:00:00,issued
,,owl#versionIRI
DebtTemporalModule,owl#NamedIndividual,22-rdf-syntax-ns#type
,Metadata for the EDMC-FIBO Market Data (MD) DebtTemporal Module,rdf-schema#label
DebtTemporalModule,,hasPart
,owl#Ontology,22-rdf-syntax-ns#type
,2023-03-31T18:00:00,modified
DebtTemporalModule,Module,22-rdf-syntax-ns#type
DebtTemporalModule,Financial Industry Business Ontology (FIBO) Market Data (MD) Debt Temporal Module,title
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
DebtTemporalModule,MIT,license
,"This module covers time-dependent concepts related to debt instruments, such as pricing, yields and analytics.",abstract
DebtTemporalModule,,rdf-schema#seeAlso
DebtTemporalModule,debt temporal module,rdf-schema#label
DebtTemporalModule,FIBO MD Debt Temporal Module,title
