id,type,name
owl#Ontology,Entity,owl#Ontology
2023-03-31T18:00:00,Entity,2023-03-31T18:00:00
Module,Entity,Module
debt temporal module,Entity,debt temporal module
Financial Industry Business Ontology (FIBO) Market Data (MD) Debt Temporal Module,Entity,Financial Industry Business Ontology (FIBO) Market Data (MD) Debt Temporal Module
"This module covers time-dependent concepts related to debt instruments, such as pricing, yields and analytics.",Entity,"This module covers time-dependent concepts related to debt instruments, such as pricing, yields and analytics."
Metadata for the EDMC-FIBO Market Data (MD) DebtTemporal Module,Entity,Metadata for the EDMC-FIBO Market Data (MD) DebtTemporal Module
FIBO MD Debt Temporal Module,Entity,FIBO MD Debt Temporal Module
MIT,Entity,MIT
owl#NamedIndividual,Entity,owl#NamedIndividual
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
,Entity,
DebtTemporalModule,Entity,DebtTemporalModule
