source_id,target_id,relationship
,Metadata for the EDMC-FIBO Market Data (MD) DerivativesTemporal Module,rdf-schema#label
DerivativesTemporalModule,,rdf-schema#seeAlso
,,owl#imports
,MIT,license
DerivativesTemporalModule,"This module covers time-dependent concepts related to derivative instruments, such as the various derivatives-related greeks and other analytics.",abstract
DerivativesTemporalModule,MIT,license
,"This module covers time-dependent concepts related to derivative instruments, such as the various derivatives-related greeks and other analytics.",abstract
,2018-08-27T18:00:00,issued
,,owl#versionIRI
,owl#Ontology,22-rdf-syntax-ns#type
DerivativesTemporalModule,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
DerivativesTemporalModule,Financial Industry Business Ontology (FIBO) Market Data (MD) Derivatives Temporal Module,title
,2023-03-31T18:00:00,modified
DerivativesTemporalModule,derivatives temporal module,rdf-schema#label
,"Copyright (c) 2018-2023 EDM Council, Inc.",copyright
DerivativesTemporalModule,,hasPart
DerivativesTemporalModule,owl#NamedIndividual,22-rdf-syntax-ns#type
DerivativesTemporalModule,FIBO MD Derivatives Temporal Module,title
DerivativesTemporalModule,Module,22-rdf-syntax-ns#type
