id,type,name
owl#Ontology,Entity,owl#Ontology
2023-03-31T18:00:00,Entity,2023-03-31T18:00:00
Module,Entity,Module
FIBO MD Derivatives Temporal Module,Entity,FIBO MD Derivatives Temporal Module
derivatives temporal module,Entity,derivatives temporal module
Financial Industry Business Ontology (FIBO) Market Data (MD) Derivatives Temporal Module,Entity,Financial Industry Business Ontology (FIBO) Market Data (MD) Derivatives Temporal Module
DerivativesTemporalModule,Entity,DerivativesTemporalModule
MIT,Entity,MIT
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
"This module covers time-dependent concepts related to derivative instruments, such as the various derivatives-related greeks and other analytics.",Entity,"This module covers time-dependent concepts related to derivative instruments, such as the various derivatives-related greeks and other analytics."
Metadata for the EDMC-FIBO Market Data (MD) DerivativesTemporal Module,Entity,Metadata for the EDMC-FIBO Market Data (MD) DerivativesTemporal Module
