id,type,name
owl#Ontology,Entity,owl#Ontology
2023-03-31T18:00:00,Entity,2023-03-31T18:00:00
Module,Entity,Module
"This module covers time-dependent concepts common to all instruments, funds and loans, such as pricing, yields and analytics.",Entity,"This module covers time-dependent concepts common to all instruments, funds and loans, such as pricing, yields and analytics."
temporal core module,Entity,temporal core module
Metadata for the EDMC-FIBO Market Data (MD) TemporalCore Module,Entity,Metadata for the EDMC-FIBO Market Data (MD) TemporalCore Module
TemporalCoreModule,Entity,TemporalCoreModule
MIT,Entity,MIT
FIBO MD Temporal Core Module,Entity,FIBO MD Temporal Core Module
Financial Industry Business Ontology (FIBO) Market Data (MD) Temporal Core Module,Entity,Financial Industry Business Ontology (FIBO) Market Data (MD) Temporal Core Module
"Copyright (c) 2018-2023 EDM Council, Inc.",Entity,"Copyright (c) 2018-2023 EDM Council, Inc."
2018-08-27T18:00:00,Entity,2018-08-27T18:00:00
owl#NamedIndividual,Entity,owl#NamedIndividual
,Entity,
