id,type,name
"Copyright (c) 2024 Object Management Group, Inc.",Entity,"Copyright (c) 2024 Object Management Group, Inc."
2024-11-15T18:00:00,Entity,2024-11-15T18:00:00
2024-07-12T18:00:00,Entity,2024-07-12T18:00:00
"Copyright (c) 2024 EDM Council, Inc.",Entity,"Copyright (c) 2024 EDM Council, Inc."
Deutsche Bank,Entity,Deutsche Bank
Nordea Bank AB,Entity,Nordea Bank AB
BIAN,Entity,BIAN
Exprentis,Entity,Exprentis
Thematix Partners LLC,Entity,Thematix Partners LLC
Statistics Canada,Entity,Statistics Canada
"The FIBO Securities (SEC) domain provides a model of concepts that are common to financial instruments that are also securities, including but not limited to exchange-traded securities. High-level concepts relevant to securities classification, identification, issuance, and registration of securities generally are covered, as well as additional detail for equities, debt instruments, and funds. More details defining derivatives in particular are covered in a separate derivatives domain area.",Entity,"The FIBO Securities (SEC) domain provides a model of concepts that are common to financial instruments that are also securities, including but not limited to exchange-traded securities. High-level concepts relevant to securities classification, identification, issuance, and registration of securities generally are covered, as well as additional detail for equities, debt instruments, and funds. More details defining derivatives in particular are covered in a separate derivatives domain area."
Citigroup,Entity,Citigroup
Federated Knowledge LLC,Entity,Federated Knowledge LLC
Goldman Sachs,Entity,Goldman Sachs
"all SEC, European Extension",Entity,"all SEC, European Extension"
John F. Tierney,Entity,John F. Tierney
Mizuho,Entity,Mizuho
,Entity,
Quarule,Entity,Quarule
"ProBanker Simulations, LLC",Entity,"ProBanker Simulations, LLC"
Office of Financial Research (US Dept of the Treasury),Entity,Office of Financial Research (US Dept of the Treasury)
"Adaptive, Inc.",Entity,"Adaptive, Inc."
Credit Suisse,Entity,Credit Suisse
"Wells Fargo Bank, N.A.",Entity,"Wells Fargo Bank, N.A."
"EDMC Financial Industry Business Ontology (FIBO) Securities (SEC) Domain, European Extension",Entity,"EDMC Financial Industry Business Ontology (FIBO) Securities (SEC) Domain, European Extension"
State Street Bank and Trust,Entity,State Street Bank and Trust
owl#Ontology,Entity,owl#Ontology
John F. Gemski,Entity,John F. Gemski
"The 'all' ontology for the European Extension of SEC is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), and Indices and Indicators (IND) domains, including all of FND but excluding individuals for North American governments and jurisdictions, financial services and regulatory organizations and related registries, as well as the related LCC region-specific ontologies.",Entity,"The 'all' ontology for the European Extension of SEC is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), and Indices and Indicators (IND) domains, including all of FND but excluding individuals for North American governments and jurisdictions, financial services and regulatory organizations and related registries, as well as the related LCC region-specific ontologies."
Tahoe Blue Ltd,Entity,Tahoe Blue Ltd
 No Magic,Entity, No Magic
 Mphasis,Entity, Mphasis
MIT,Entity,MIT
Bloomberg LP,Entity,Bloomberg LP
agnos.ai U.K. Ltd,Entity,agnos.ai U.K. Ltd
