source_id,target_id,relationship
,Statistics Canada,contributor
,"Copyright (c) 2024 Object Management Group, Inc.",copyright
,BIAN,contributor
,,owl#imports
,agnos.ai U.K. Ltd,contributor
,Mizuho,contributor
,Exprentis,contributor
,Thematix Partners LLC,contributor
,Deutsche Bank,contributor
,MIT,license
,"The FIBO Securities (SEC) domain provides a model of concepts that are common to financial instruments that are also securities, including but not limited to exchange-traded securities. High-level concepts relevant to securities classification, identification, issuance, and registration of securities generally are covered, as well as additional detail for equities, debt instruments, and funds. More details defining derivatives in particular are covered in a separate derivatives domain area.",abstract
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,Goldman Sachs,contributor
,Bloomberg LP,contributor
,2024-06-07T18:00:00,issued
,Quarule,contributor
,"The 'all' ontology for the North American Extension of SEC is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), and Indices and Indicators (IND) domains, including all of FND but excluding individuals for European governments and jurisdictions, financial services and regulatory organizations and related registries, as well as the related LCC region-specific ontologies.",explanatoryNote
,John F. Gemski,contributor
,,owl#versionIRI
,owl#Ontology,22-rdf-syntax-ns#type
,"Copyright (c) 2024 EDM Council, Inc.",copyright
,Office of Financial Research (US Dept of the Treasury),contributor
, No Magic,contributor
,"EDMC Financial Industry Business Ontology (FIBO) Securities (SEC) Domain, North American Extension",title
,Citigroup,contributor
,Federated Knowledge LLC,contributor
,"Adaptive, Inc.",contributor
, Mphasis,contributor
,Nordea Bank AB,contributor
,John F. Tierney,contributor
,"Wells Fargo Bank, N.A.",contributor
,"ProBanker Simulations, LLC",contributor
,2024-11-15T18:00:00,modified
,Credit Suisse,contributor
,"all SEC, North American Extension",rdf-schema#label
,Tahoe Blue Ltd,contributor
