source_id,target_id,relationship
,EDMC Financial Industry Business Ontology (FIBO) Securities (SEC) Domain,title
,Statistics Canada,contributor
,BIAN,contributor
,,owl#imports
,agnos.ai U.K. Ltd,contributor
,Mizuho,contributor
,Exprentis,contributor
,Thematix Partners LLC,contributor
,Deutsche Bank,contributor
,MIT,license
,"The FIBO Securities (SEC) domain provides a model of concepts that are common to financial instruments that are also securities, including but not limited to exchange-traded securities. High-level concepts relevant to securities classification, identification, issuance, and registration of securities generally are covered, as well as additional detail for equities, debt instruments, and funds. More details defining derivatives in particular are covered in a separate derivatives domain area.",abstract
,State Street Bank and Trust,contributor
,,rdf-schema#seeAlso
,Goldman Sachs,contributor
,"Copyright (c) 2018-2024 Object Management Group, Inc.",copyright
,Bloomberg LP,contributor
,Quarule,contributor
,John F. Gemski,contributor
,2018-03-31T18:00:00,issued
,,owl#versionIRI
,FIÙTUR,contributor
,owl#Ontology,22-rdf-syntax-ns#type
,Citigroup,contributor
, No Magic,contributor
,Office of Financial Research (US Dept of the Treasury),contributor
,Federated Knowledge LLC,contributor
,"Adaptive, Inc.",contributor
, Mphasis,contributor
,Nordea Bank AB,contributor
,"Wells Fargo Bank, N.A.",contributor
,John F. Tierney,contributor
,"ProBanker Simulations, LLC",contributor
,2024-11-15T18:00:00,modified
,Credit Suisse,contributor
,all SEC,rdf-schema#label
,"The 'all' ontology for SEC is provided for convenience for FIBO users. This ontology does not add new assertions, but imports most of the Production (Released) ontologies that comprise the FIBO Foundations (FND), Business Entities (BE), Financial Business and Commerce (FBC), Indices and Indicators (IND), and Securities (SEC) domains, excluding most individuals for governments and jurisdictions (aside from those used in depositary receipts), financial services, regulatory organizations and related registries, and reference individuals, as well as the LCC region-specific ontologies.",explanatoryNote
,"Copyright (c) 2018-2024 EDM Council, Inc.",copyright
,Tahoe Blue Ltd,contributor
