id,type,name
"The main purpose behind Student Loan ABS is to diversify the risk for lenders across many investors. By pooling and then packaging the loans into securities and selling them to investors, agencies can spread around the default risk, which allows them to give out more loans and larger loans. This way, more students have access to loans, investors have a diversifying investment instrument, and lenders can generate consistent cash flow from their securitization and debt collection services.",Entity,"The main purpose behind Student Loan ABS is to diversify the risk for lenders across many investors. By pooling and then packaging the loans into securities and selling them to investors, agencies can spread around the default risk, which allows them to give out more loans and larger loans. This way, more students have access to loans, investors have a diversifying investment instrument, and lenders can generate consistent cash flow from their securitization and debt collection services."
Fully amortizing asset-backed securities are designed to closely reflect the full repayment of the underlying loans through scheduled interest and principal payments.,Entity,Fully amortizing asset-backed securities are designed to closely reflect the full repayment of the underlying loans through scheduled interest and principal payments.
hasRepaymentTerms,Entity,hasRepaymentTerms
ConsumerAssetBackedSecurity,Entity,ConsumerAssetBackedSecurity
"If the credit risk of the pool has been decoupled from the institution via an SPV, then an auto asset-backed security is also a structured finance instrument.",Entity,"If the credit risk of the pool has been decoupled from the institution via an SPV, then an auto asset-backed security is also a structured finance instrument."
owl#Restriction,Entity,owl#Restriction
or leases that are motor vehicle-related,Entity,or leases that are motor vehicle-related
Nd4f2f0c6671d4abab984cefb500806c1,Entity,Nd4f2f0c6671d4abab984cefb500806c1
MotorVehicleLoan,Entity,MotorVehicleLoan
N22e39d0a2b464ffeb3187772978a1df6,Entity,N22e39d0a2b464ffeb3187772978a1df6
"Similar to mortgages, home equity loans are often taken out by borrowers who have less-than-stellar credit scores or few assets - the reason why they didn’t qualify for a mortgage. These are amortizing loans - that is, payment goes toward satisfying a specific sum and consists of three categories: interest, principal, and prepayments.",Entity,"Similar to mortgages, home equity loans are often taken out by borrowers who have less-than-stellar credit scores or few assets - the reason why they didn’t qualify for a mortgage. These are amortizing loans - that is, payment goes toward satisfying a specific sum and consists of three categories: interest, principal, and prepayments."
BondAmortizationPaymentTerms,Entity,BondAmortizationPaymentTerms
N22b501df06d442d7b505c4cdcee09473,Entity,N22b501df06d442d7b505c4cdcee09473
StudentLoan,Entity,StudentLoan
Nd08056d5fcd34dd0a60a6e5aa7a251d5,Entity,Nd08056d5fcd34dd0a60a6e5aa7a251d5
home equity loan asset-backed security,Entity,home equity loan asset-backed security
N3e4b0d9834dc4ed39344ddd0cd3b0091,Entity,N3e4b0d9834dc4ed39344ddd0cd3b0091
ControlledAmortizationAssetBackedSecurity,Entity,ControlledAmortizationAssetBackedSecurity
"Credit card securitizations currently represent the primary funding vehicle for unsecured revolving consumer credit. Similar to mortgage and other asset securitizations, the financial institution that originates the credit card receivables sells a group of these receivables to a trust. The trust then creates and sells certificates backed by the credit card receivables to investors, which are predominately institutional investors. Very few credit card ABS are marketed to retail customers, primarily due to the complex nature of the transactions and the need to continually monitor various performance indices on the underlying receivables. The underlying credit card receivables generate income to support the interest payments on the certificates.",Entity,"Credit card securitizations currently represent the primary funding vehicle for unsecured revolving consumer credit. Similar to mortgage and other asset securitizations, the financial institution that originates the credit card receivables sells a group of these receivables to a trust. The trust then creates and sells certificates backed by the credit card receivables to investors, which are predominately institutional investors. Very few credit card ABS are marketed to retail customers, primarily due to the complex nature of the transactions and the need to continually monitor various performance indices on the underlying receivables. The underlying credit card receivables generate income to support the interest payments on the certificates."
MIT,Entity,MIT
asset-backed security based on a pool of bonds securitized using a controlled amortization structure,Entity,asset-backed security based on a pool of bonds securitized using a controlled amortization structure
asset-backed security based on credit card receivables,Entity,asset-backed security based on credit card receivables
controlled amortization asset-backed security,Entity,controlled amortization asset-backed security
StudentLoanAssetBackedSecurity,Entity,StudentLoanAssetBackedSecurity
FullyAmortizingAssetBackedSecurity,Entity,FullyAmortizingAssetBackedSecurity
"If the credit risk of the pool has been decoupled from the institution via an SPV, then home equity asset-backed securities are also structured finance instruments.",Entity,"If the credit risk of the pool has been decoupled from the institution via an SPV, then home equity asset-backed securities are also structured finance instruments."
BondPool,Entity,BondPool
ch2.html,Entity,ch2.html
N799020c08154453886f55b52b11a7efb,Entity,N799020c08154453886f55b52b11a7efb
consumer asset-backed security,Entity,consumer asset-backed security
asset-backed security based on student loan receivables,Entity,asset-backed security based on student loan receivables
hasUnderlier,Entity,hasUnderlier
N03c75dc602354df085e4b91413b01da6,Entity,N03c75dc602354df085e4b91413b01da6
CreditCardAccountPool,Entity,CreditCardAccountPool
debt pool consisting of home equity loans,Entity,debt pool consisting of home equity loans
"These are typically backed by HELs, auto loans, manufactured-housing contracts and other fully amortizing assets. Prepayment risk is a key consideration with such ABS, although the rate of prepayment may vary considerably by the type of underlying asset.",Entity,"These are typically backed by HELs, auto loans, manufactured-housing contracts and other fully amortizing assets. Prepayment risk is a key consideration with such ABS, although the rate of prepayment may vary considerably by the type of underlying asset."
AssetBackedSecurity,Entity,AssetBackedSecurity
N30dcaac9602b45b08e7f514744e1277d,Entity,N30dcaac9602b45b08e7f514744e1277d
N37255d45b7344971b0f404c7e206eac6,Entity,N37255d45b7344971b0f404c7e206eac6
asset-backed security based on home equity loan receivables,Entity,asset-backed security based on home equity loan receivables
hasConstituent,Entity,hasConstituent
"Revolving debt (primarily credit card receivables, but also HELOCs, trade receivables, dealer floor-plan loans and some leases) may be securitized using a controlled amortization structure. This is a method of providing investors with a relatively predictable repayment schedule, even though the underlying assets are nonamortizing. A risk inherent in this kind of ABS is an early amortization event.",Entity,"Revolving debt (primarily credit card receivables, but also HELOCs, trade receivables, dealer floor-plan loans and some leases) may be securitized using a controlled amortization structure. This is a method of providing investors with a relatively predictable repayment schedule, even though the underlying assets are nonamortizing. A risk inherent in this kind of ABS is an early amortization event."
credit card asset-backed security,Entity,credit card asset-backed security
debt pool of consisting of bonds,Entity,debt pool of consisting of bonds
HomeEquityLineOfCreditPool,Entity,HomeEquityLineOfCreditPool
Asset-backed Securities Ontology,Entity,Asset-backed Securities Ontology
asset-backed security based on a pool of debt instruments that returns principal to investors over the life of the security,Entity,asset-backed security based on a pool of debt instruments that returns principal to investors over the life of the security
student loan pool,Entity,student loan pool
N5aafa172b2264cf5bbf1c6a71b1707be,Entity,N5aafa172b2264cf5bbf1c6a71b1707be
seller will make subsequent additions to the trust in order to keep the seller's interest at the required level.,Entity,seller will make subsequent additions to the trust in order to keep the seller's interest at the required level.
home equity line of credit pool,Entity,home equity line of credit pool
AutoDebtPool,Entity,AutoDebtPool
auto asset-backed security,Entity,auto asset-backed security
debt pool consisting of student loans,Entity,debt pool consisting of student loans
Release,Entity,Release
,Entity,
capital-markets-primer-auto-abs.pdf,Entity,capital-markets-primer-auto-abs.pdf
learnmore.asp?catid=11&subcatid=57&id=15,Entity,learnmore.asp?catid=11&subcatid=57&id=15
"structured finance securities collateralized by pools of auto loans and leases (auto ABS), credit card receivables (credit card ABS) or student loans (student loan ABS)",Entity,"structured finance securities collateralized by pools of auto loans and leases (auto ABS), credit card receivables (credit card ABS) or student loans (student loan ABS)"
student loan asset-backed security,Entity,student loan asset-backed security
Ndd39709e58404f4d9723b90761c7b402,Entity,Ndd39709e58404f4d9723b90761c7b402
"Copyright (c) 2023 Object Management Group, Inc.",Entity,"Copyright (c) 2023 Object Management Group, Inc."
N778861c22b6e49389dd7d034c94e39ba,Entity,N778861c22b6e49389dd7d034c94e39ba
CreditCardAccount,Entity,CreditCardAccount
"Auto asset-backed securities (auto ABS) are typically structured finance securities that are collateralized by auto loans or leases, such as those to prime (good credit standing) and subprime (poor credit standing) borrowers. Loans or leases are bundled into pools and transferred to a special-purpose entity (SPE), which, in turn, transfers the pool to a (bankruptcy remote) trust. Payments on the underlying auto loans and leases are pooled in the trust, and the funds are used to pay note investors their respective principal which, in turn, transfers the pool to a (bankruptcy remote) trust, i.e., one that protects the security from bankruptcy. Payments on the underlying auto loans and leases are pooled in the trust, and the funds are used to pay note investors their respective principal and interest when due. Any leftover funds - known as excess spread, or the net interest margin - are paid to the equity holder (usually the issuer, such as an auto finance company).",Entity,"Auto asset-backed securities (auto ABS) are typically structured finance securities that are collateralized by auto loans or leases, such as those to prime (good credit standing) and subprime (poor credit standing) borrowers. Loans or leases are bundled into pools and transferred to a special-purpose entity (SPE), which, in turn, transfers the pool to a (bankruptcy remote) trust. Payments on the underlying auto loans and leases are pooled in the trust, and the funds are used to pay note investors their respective principal which, in turn, transfers the pool to a (bankruptcy remote) trust, i.e., one that protects the security from bankruptcy. Payments on the underlying auto loans and leases are pooled in the trust, and the funds are used to pay note investors their respective principal and interest when due. Any leftover funds - known as excess spread, or the net interest margin - are paid to the equity holder (usually the issuer, such as an auto finance company)."
"If the credit risk of the pool has been decoupled from the institution via an SPV, then student loan asset-backed securities are also structured finance instruments.",Entity,"If the credit risk of the pool has been decoupled from the institution via an SPV, then student loan asset-backed securities are also structured finance instruments."
StudentLoanPool,Entity,StudentLoanPool
"Controlled-amortization ABS resemble corporate bonds with a sinking fund. After a predetermined 'revolving' period during which only interest payments are made, these securities attempt to return principal to investors in a series of defined periodic payments that usually occur over less than a year.",Entity,"Controlled-amortization ABS resemble corporate bonds with a sinking fund. After a predetermined 'revolving' period during which only interest payments are made, these securities attempt to return principal to investors in a series of defined periodic payments that usually occur over less than a year."
auto debt pool,Entity,auto debt pool
pool of credit card receivables associated with designated accounts,Entity,pool of credit card receivables associated with designated accounts
StructuredFinanceInstrument,Entity,StructuredFinanceInstrument
22-rdf-syntax-ns#nil,Entity,22-rdf-syntax-ns#nil
DebtPool,Entity,DebtPool
MotorVehicleLease,Entity,MotorVehicleLease
"Copyright (c) 2015-2023 EDM Council, Inc.",Entity,"Copyright (c) 2015-2023 EDM Council, Inc."
or leases,Entity,or leases
CreditCardAssetBackedSecurity,Entity,CreditCardAssetBackedSecurity
N1ad73737a788465caf201ea4f79cbec0,Entity,N1ad73737a788465caf201ea4f79cbec0
